step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.014083820662768032,0.7232214259491353
1,10,3.205,0.3006,0.7148,0.015451002645348108,0.8216386546774874
2,20,1.9168,0.3778,0.7949,0.3996354021270353,0.7959516505219283
3,30,1.4948,0.4739,0.8687,0.7204881701108117,0.8199849653070782
4,40,1.3525,0.5048,0.8826,0.6358462746931628,0.7431725560146939
5,50,1.3332,0.512,0.8855,0.6104212572858833,0.7323086396490406
6,60,1.2537,0.5339,0.8956,0.5730029521925033,0.730631343232611
7,70,1.2042,0.5507,0.9027,0.5105802858253098,0.6697512082431887
8,80,1.2319,0.5371,0.8997,0.44673277396389527,0.6161495523429408
9,90,1.1413,0.5786,0.9103,0.40811205114478544,0.5834963337002128
10,100,1.1054,0.5894,0.9144,0.3774757051801236,0.5771434190180584
11,110,1.1312,0.5831,0.9114,0.3643943070757309,0.5652673285159081
12,120,1.0694,0.597,0.9176,0.33858648811581993,0.5518131846734664
13,130,1.0779,0.5958,0.917,0.2852112262476547,0.5227390533286341
14,140,1.134,0.6093,0.9171,0.2588531340864695,0.4996358877459543
15,150,1.0662,0.6344,0.9227,0.2111494294010139,0.4687778596305189
16,160,1.0416,0.6363,0.9241,0.16885980948846235,0.4540199038437931
17,170,1.0296,0.6411,0.9262,0.14951274050035077,0.4451245876603038
18,180,0.9945,0.6496,0.9284,0.152394639193376,0.4422707484921247
19,190,0.9551,0.6526,0.9299,0.15223813398790245,0.45863637794625556
20,200,0.8809,0.6726,0.9357,0.12793022391778847,0.41883191385242163
21,210,0.8748,0.6746,0.9354,0.10748881827106024,0.4014244919182196
22,220,0.8628,0.6827,0.9372,0.07847168413516832,0.40266105117339934
23,230,0.891,0.68,0.9378,0.08220051289130209,0.4149319231567357
24,240,0.8139,0.6948,0.9395,0.07997157164634676,0.4332920014338834
25,250,0.7732,0.7008,0.9428,0.07822251012628041,0.4313712680404484
26,260,0.7698,0.6955,0.9416,0.07909250459080609,0.431935214476134
27,270,0.7868,0.7039,0.9431,0.06860191979178822,0.43190477394249005
28,280,0.7144,0.7205,0.9472,0.06848603052885621,0.4252283888712637
29,290,0.6787,0.7342,0.9493,0.06323724656704717,0.4245624329827502
30,300,0.6953,0.7406,0.9488,0.07964194418408109,0.43753426425226916
31,310,0.6384,0.7474,0.9511,0.07231501264570353,0.4254747450905905
32,320,0.6259,0.7439,0.9539,0.08659074733383904,0.4388045246679269
33,330,0.6402,0.7428,0.9527,0.0743562314782971,0.4274421508117749
34,340,0.6356,0.7505,0.9525,0.06984659264078522,0.4251104356155316
35,350,0.5907,0.7512,0.9527,0.07174300606663578,0.4289604822138301
36,360,0.6261,0.7516,0.9501,0.06775820154202852,0.43317257130627856
37,370,0.572,0.76,0.9533,0.06097847111879258,0.4249889852717956
38,380,0.6106,0.751,0.9534,0.04916622461257675,0.4101764407598546
39,390,0.6209,0.751,0.9526,0.04592156697798982,0.4021744985369879
40,400,0.5718,0.7658,0.9555,0.03522250932791218,0.409520954460273
41,410,0.5231,0.7722,0.9582,0.0417927558618276,0.4107024220228652
42,420,0.4885,0.7724,0.9584,0.04819344140130398,0.4279962949547219
43,430,0.4994,0.7627,0.9569,0.05052029738999231,0.42885110771973456
44,440,0.4955,0.7691,0.9561,0.055378368666461016,0.4366671783237557
45,450,0.4851,0.7763,0.9571,0.058685553943779396,0.44598521767575894
46,460,0.487,0.7719,0.9566,0.05381427984337419,0.45067068938041266
47,470,0.5037,0.7764,0.9559,0.053467096503961475,0.4582280124909767
48,480,0.4329,0.7769,0.9587,0.05298687683853783,0.4282785001733907
