step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0,0.7253207410539975
1,10,9.5234,0.2936,0.7129,0.005079365079365079,0.8449572326720892
2,20,3.0947,0.4047,0.8159,0.01957010582010582,0.7806050255468572
3,30,1.8005,0.4975,0.8687,0.021336897900226186,0.7321676995614809
4,40,1.2974,0.5629,0.8972,0.013955630374463604,0.7534024482421834
5,50,1.0041,0.6176,0.9205,0.015988911844175002,0.711270892444563
6,60,0.9522,0.6241,0.9239,0.015986611618494264,0.6642235387155466
7,70,0.8884,0.6452,0.9306,0.022909537041105574,0.6370679709945125
8,80,0.829,0.6591,0.9351,0.02970409502541802,0.6211372608329563
9,90,0.7733,0.6722,0.9393,0.020185242051645305,0.5841912378731591
10,100,0.6989,0.703,0.9468,0.024313158869652705,0.5719675994081685
11,110,0.6147,0.726,0.9498,0.2940699374593458,0.582803704079818
12,120,0.5926,0.7244,0.9495,0.04892278040210414,0.5671655197531775
13,130,0.5355,0.7292,0.9521,0.29698661650350505,0.5761849529132395
14,140,0.4734,0.7435,0.9547,0.2875126525358293,0.5733580636798739
15,150,0.4332,0.7492,0.9568,0.24377921997225632,0.559360485757219
16,160,0.3827,0.7576,0.9585,0.2185819641108259,0.5496924763347194
17,170,0.3582,0.7561,0.9573,0.21350106948717523,0.5350078095242742
18,180,0.3263,0.7588,0.9575,0.1428055873100983,0.5478154770655747
19,190,0.2558,0.7664,0.9603,0.03951684295472264,0.5356287677813708
20,200,0.2216,0.7667,0.9605,0.043289450453200956,0.5395235286659039
21,210,0.2049,0.7659,0.9589,0.03858896374174097,0.5363231745176422
22,220,0.1726,0.7688,0.9597,0.17070718112581418,0.5502811589688712
23,230,0.1378,0.7667,0.9604,0.17477804685011117,0.5556714413868632
24,240,0.1115,0.7661,0.96,0.16266659796872943,0.5595775582071357
25,250,0.0756,0.7745,0.9624,0.1395942618765073,0.5326110188327579
26,260,0.0859,0.7693,0.9615,0.13097101932105173,0.5324561582610533
27,270,0.0554,0.776,0.9628,0.12792909258770885,0.5303725956102935
28,280,0.0412,0.7799,0.9642,0.11670162079358425,0.5154526817751908
29,290,0.0359,0.779,0.9628,0.05409627630004386,0.5011621988555176
30,300,0.0259,0.7853,0.9646,0.08130656542093681,0.514163460963383
31,310,0.0199,0.7813,0.9645,0.05032596727640832,0.5290242227911321
32,320,0.0141,0.7852,0.9653,0.044666578129543555,0.4983676658810547
33,330,0.0122,0.7824,0.965,0.07611167522896171,0.5076637628989623
34,340,0.0083,0.7861,0.9653,0.06167616046097625,0.5131382707982399
35,350,0.0158,0.7779,0.9635,0.045015373457764025,0.4783283254411212
36,360,0.0074,0.7854,0.9653,0.045537701203969876,0.49636092106581825
37,370,0.0068,0.7882,0.9656,0.04914646692413941,0.5036601198564787
38,380,0.0051,0.788,0.9661,0.0406768936072703,0.495769954680145
39,390,0.0156,0.7724,0.9603,0.043095641721255254,0.4804498370296036
40,400,0.0046,0.7839,0.9656,0.05292682880009763,0.5046186517024029
41,410,0.0035,0.7878,0.9656,0.05157414429051524,0.5047824109263597
42,420,0.0043,0.7855,0.9654,0.04677477141790355,0.48675127765177495
43,430,0.0029,0.7883,0.9657,0.04349981717627035,0.4916589178095466
44,440,0.0024,0.7871,0.9661,0.04718653962899584,0.4984269676458147
45,450,0.0025,0.7885,0.9663,0.04865785405190657,0.47636544618518467
46,460,0.0022,0.7881,0.9664,0.053034546133354066,0.48688624321357826
47,470,0.002,0.788,0.9659,0.050350177566672295,0.4944271390534634
48,480,0.0025,0.7859,0.9659,0.04229405784815008,0.49175396800138466
49,490,0.0047,0.7834,0.9658,0.053553326077592264,0.5021535165326637
50,500,0.0085,0.776,0.9637,0.046733432527150086,0.4993282799159248
51,510,0.0024,0.7844,0.966,0.04907839242335934,0.48779688037574953
52,520,0.0018,0.7853,0.9663,0.051475707814279494,0.49585529786434585
53,530,0.0014,0.7861,0.9665,0.05802662545569958,0.5273861398647399
54,540,0.0013,0.7877,0.9664,0.058957489981270775,0.525115257015754
55,550,0.1613,0.74,0.953,0.05838080119416771,0.5236184157404051
56,560,0.0374,0.7696,0.9617,0.0540971253990693,0.5251312343674154
57,570,0.0115,0.7774,0.9644,0.061314349225946446,0.5288240439433369
58,580,0.0093,0.7808,0.9644,0.06479783180863016,0.525508554233282
59,590,0.0031,0.7865,0.966,0.05619297388391397,0.5291690150568279
60,600,0.0022,0.7902,0.9665,0.05185212140163515,0.507324773483131
61,,,,,0.05459189223744472,0.5178751252430032
62,,,,,0.04142576282846718,0.4916726733106833
63,,,,,0.03865538916611907,0.5048334691074624
64,,,,,0.04243355407234503,0.51333018529422
65,,,,,0.04705690761066857,0.5220377739036053
66,,,,,0.050803559169576754,0.5223649568693258
67,,,,,0.0437268168457167,0.5188873391930132
68,,,,,0.04622148322410321,0.522574917063015
69,,,,,0.04330966796394481,0.508129023974164
70,,,,,0.05057488657544266,0.5072710283747289
71,,,,,0.0547660325890139,0.5254121879334315
72,,,,,0.050040373184769046,0.5149791626973665
73,,,,,0.048326014637126935,0.528242610621897
74,,,,,0.05323669197460603,0.5303408963106921
75,,,,,0.0383640544240114,0.4907145211142533
76,,,,,0.050873884847168274,0.5258035901741206
77,,,,,0.04756634632466288,0.5278804950372701
78,,,,,0.055496621189999276,0.533908856606297
79,,,,,0.045185259234037704,0.5057129856490508
80,,,,,0.04568127236492635,0.5095718686849147
81,,,,,0.05370538510815878,0.5352001392247744
82,,,,,0.05423420397817348,0.5293965119499611
83,,,,,0.048958398783759204,0.5227638436036177
84,,,,,0.05082813764267347,0.5230981721468131
85,,,,,0.04565482814663644,0.5121100091625751
86,,,,,0.04510509956388028,0.5127443588757196
87,,,,,0.04692135631876525,0.5215930343294619
88,,,,,0.03624798802080088,0.49925925424506573
89,,,,,0.042030567918046886,0.5168361038023168
90,,,,,0.047116045751521236,0.5094233931114677
91,,,,,0.05383754162816454,0.5359317678926208
92,,,,,0.05340428304558206,0.5283367733086958
93,,,,,0.05832683952398521,0.5299619586412974
94,,,,,0.048011639099627926,0.5222920268562015
95,,,,,0.04784158396053723,0.527861871727495
96,,,,,0.0631852342347981,0.5613916147897589
97,,,,,0.062352012388350295,0.5861256115751352
98,,,,,0.05139650877804154,0.5737301817099513
99,,,,,0.045459449208754735,0.561096220655613
100,,,,,0.049187653001929704,0.5684601561047538
101,,,,,0.047458946500916185,0.5654630132830082
102,,,,,0.04843880762480594,0.5669385030561335
103,,,,,0.05145795380248032,0.5695922480996288
104,,,,,0.06761316439615153,0.5972490894929032
105,,,,,0.08034155317152154,0.6199256558333481
106,,,,,0.09548826263795429,0.6421119348274384
107,,,,,0.102797983349386,0.6569391377444863
108,,,,,0.10265353685916218,0.647026699879021
109,,,,,0.09269850152471693,0.6531100877450738
110,,,,,0.15557407231245574,0.7105806900385552
111,,,,,0.14775331642480707,0.7001511868684734
112,,,,,0.185303093306549,0.7252730645038451
113,,,,,0.20698203708837326,0.7482310256494394
114,,,,,0.18038200476002772,0.7314447088189575
115,,,,,0.19217305955827008,0.7434726779806513
116,,,,,0.232729918464182,0.7691463620102228
117,,,,,0.17443634241528183,0.7256306710038555
118,,,,,0.18702471646158456,0.7441439654794468
119,,,,,0.20714959736443225,0.7541789119836474
120,,,,,0.21615580730827025,0.751497379047533
121,,,,,0.18431510146487304,0.7342097870650904
122,,,,,0.19576139193670983,0.7385258912169772
123,,,,,0.22499155347305996,0.7551413926264005
124,,,,,0.19736927771185925,0.7383330741806047
125,,,,,0.2675793366517525,0.7826410817739805
