step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.0,0.7183749777770054
1,10,3.5324,0.3154,0.7131,0.7956890983998136,0.8298953020100653
2,20,2.2799,0.3924,0.81,0.4370697588781401,0.7562176298595091
3,30,1.644,0.4534,0.8537,0.032434539802960856,0.5785842302084038
4,40,1.4561,0.4954,0.8754,0.03405887833168082,0.6881473967283147
5,50,1.3221,0.5138,0.8876,0.5506624757536498,0.7484560803155343
6,60,1.2204,0.5392,0.8992,0.08785441215532858,0.6709910569403733
7,70,1.2777,0.5146,0.8932,0.2928345891244548,0.7100101974302007
8,80,1.2697,0.5174,0.8951,0.043884795656048727,0.6527632914656238
9,90,1.5117,0.5145,0.8871,0.3767435619010928,0.6548161279811527
10,100,1.3545,0.5272,0.8941,0.17629265083210466,0.6362426141004809
11,110,1.3223,0.5437,0.8974,0.1425894296788106,0.6241692927117296
12,120,1.2824,0.5667,0.9051,0.17196840520437098,0.5869591753417477
13,130,1.1016,0.5969,0.9175,0.26742599373714976,0.5754329170227243
14,140,1.1289,0.5913,0.9154,0.25525509717735767,0.5688007301096673
15,150,1.0321,0.6108,0.9224,0.15509844521023117,0.583387764113636
16,160,1.0942,0.5922,0.9182,0.20541801536046808,0.5708879154442308
17,170,1.2391,0.5258,0.8996,0.04413755763029554,0.5440787276953172
18,180,0.9638,0.634,0.9258,0.05758454396047336,0.5351767303421242
19,190,0.9822,0.6432,0.926,0.17569728553909547,0.5587064358719636
20,200,0.9057,0.6585,0.9345,0.05505461322322125,0.5236260307681768
21,210,0.8685,0.6667,0.9369,0.12987529152535976,0.5077734118186876
22,220,0.8418,0.6741,0.9389,0.1534070681510767,0.5155090045380378
23,230,0.8363,0.6752,0.9381,0.07583661054818375,0.510875929633648
24,240,0.7923,0.6818,0.9415,0.03998571697114445,0.4877807906575805
25,250,0.8442,0.6727,0.9395,0.04632884847819984,0.48319951821449514
26,260,0.8297,0.6738,0.9397,0.045790058462961525,0.4796017208236818
27,270,0.8062,0.6844,0.9412,0.04804079998598746,0.4897220549430306
28,280,0.7758,0.6995,0.9449,0.043050804724727686,0.4870619102702635
29,290,0.7595,0.703,0.9451,0.058752434121644784,0.5010279897742996
30,300,0.7143,0.7185,0.9487,0.04632190861165675,0.47437144380952034
31,310,0.7123,0.7154,0.9476,0.0463368295647377,0.48875259475660504
32,320,0.7334,0.7136,0.9462,0.05352155225060393,0.5018742891171906
33,330,0.6877,0.7214,0.95,0.0592398912439157,0.5182735827796472
34,340,0.6478,0.7276,0.952,0.058347430762684026,0.5145445248070407
