step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.00011574074074074073,0.7080950169685907
1,10,10.4111,0.3587,0.7503,0.011209439528023599,0.7794714284818142
2,20,2.6736,0.4706,0.8295,0.023515293769361713,0.7214159558053219
3,30,1.5804,0.5407,0.8781,0.0246807992202729,0.7198438021645271
4,40,1.2848,0.5766,0.9023,0.03133486982795382,0.6998816773242525
5,50,1.0819,0.6121,0.9189,0.02927752057246215,0.6851417016794801
6,60,0.9893,0.629,0.9255,0.5137162614320131,0.702218552063614
7,70,0.9018,0.6431,0.9295,0.037802400850439885,0.6512264729434921
8,80,0.838,0.6638,0.9347,0.04341501771393319,0.6420123503944039
9,90,0.8133,0.6717,0.937,0.041379889434978015,0.5998748591767838
10,100,0.7831,0.681,0.9388,0.04428741374240527,0.59073051723725
11,110,0.7396,0.6999,0.9444,0.03195560970552816,0.5531408608529916
12,120,0.676,0.7034,0.9459,0.01810291945831538,0.5306389123895672
13,130,0.6316,0.711,0.947,0.026312221263797352,0.5283718870252371
14,140,0.5756,0.7216,0.948,0.027781186211777713,0.5063184381778458
15,150,0.5613,0.7248,0.9507,0.03519336120506656,0.5099929040221473
16,160,0.5383,0.727,0.9505,0.033323028360364416,0.5352761781073272
17,170,0.5024,0.73,0.9525,0.03505357162228097,0.4802356844834299
18,180,0.4595,0.7399,0.9538,0.04342123692107794,0.5085075696057255
19,190,0.438,0.7415,0.9534,0.04213444468844334,0.5117691681467598
20,200,0.3967,0.7448,0.9552,0.04646362960970489,0.5183333209035357
21,210,0.3438,0.7541,0.9563,0.04743229480868137,0.5046190869756481
22,220,0.3321,0.744,0.9554,0.03941529996376411,0.48859933638772246
23,230,0.2616,0.757,0.9577,0.05067773136960195,0.5243194882447174
24,240,0.3412,0.742,0.9544,0.03563817483649154,0.5048715365968545
25,250,0.3687,0.7485,0.9544,0.035432697441830446,0.48491076143165146
26,260,0.296,0.7598,0.9569,0.04859109737380988,0.5082878962410485
27,270,0.2987,0.752,0.9559,0.04457622320853746,0.5076202248807115
28,280,0.2533,0.7564,0.9567,0.04099839524787932,0.5068468429776564
29,290,0.2077,0.7577,0.957,0.047451580484023655,0.514757757800177
