step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.011111111111111112,0.7179658443338656
1,10,12.7566,0.3612,0.7469,0.8501822846820634,0.8660402604805052
2,20,2.9599,0.4617,0.8372,0.02678489439853076,0.6485075880589276
3,30,1.9983,0.5422,0.8887,0.030721197701467886,0.5320584841651486
4,40,1.2219,0.587,0.9114,0.03149171871300471,0.5582214165633366
5,50,1.2626,0.5993,0.9142,0.03422306617554301,0.5450966769324611
6,60,1.4548,0.6034,0.9099,0.03370777241046438,0.5388291336057971
7,70,1.0332,0.6513,0.9295,0.04367450307925928,0.4732352155325349
8,80,0.8686,0.6608,0.9341,0.05600087753356047,0.4997109155550505
9,90,0.8228,0.6674,0.9377,0.0476009630518553,0.48071240329983667
10,100,0.7392,0.6941,0.9431,0.06390596042791014,0.4959562443187365
11,110,0.7224,0.6952,0.9443,0.07009578807537106,0.47644249002154326
12,120,0.6913,0.7094,0.9474,0.07749546796288996,0.5425110314564147
13,130,0.6392,0.7187,0.947,0.06917768622726107,0.4814587493649535
14,140,0.5819,0.7245,0.9509,0.0649048678029976,0.48708595861650034
15,150,0.5556,0.7245,0.9505,0.07068468837312429,0.5447641728643691
16,160,0.5354,0.7192,0.9481,0.07322106167019479,0.536216382967054
17,170,0.4883,0.7296,0.9509,0.06418348637917555,0.5306938458743209
18,180,0.4365,0.736,0.9541,0.05885764740268371,0.5219514121402752
19,190,0.4375,0.7335,0.9521,0.07544088936647417,0.5432702103458631
20,200,0.3943,0.7438,0.9546,0.0709224669548305,0.5264872635105159
21,210,0.3463,0.745,0.9539,0.06352989765737863,0.5000478912850743
22,220,0.3034,0.7462,0.9544,0.05911470103035684,0.49731437202088324
23,230,0.324,0.7326,0.9521,0.06829204703835866,0.5374373782915076
24,240,0.3295,0.7379,0.9535,0.06871659261341144,0.5177311699792077
25,250,0.2216,0.7551,0.9573,0.06995058257925132,0.5163173850480048
26,260,0.2237,0.7514,0.9567,0.06350029740252769,0.48355229245297005
27,270,0.2489,0.7478,0.9544,0.06911105158820091,0.5188956790736814
28,280,0.1965,0.7539,0.9546,0.061649906184581944,0.503215617434759
29,290,0.2098,0.7472,0.9533,0.06337040626780563,0.4994705496461991
30,300,0.1471,0.7674,0.9587,0.06227095595630578,0.5021551438285088
31,310,0.2044,0.7491,0.9532,0.06518002494409392,0.4991897589011326
32,320,0.2424,0.7427,0.951,0.07114629528255366,0.5032636136274398
33,330,0.2211,0.746,0.9521,0.06935378115937156,0.5091516313312503
34,340,0.1793,0.751,0.9535,0.07698631332547898,0.5114978582250015
35,350,0.2433,0.7416,0.9494,0.0847053597905084,0.5361473935372746
