step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.015377777777777777,0.7386668092937457
1,10,3.2901,0.3078,0.7218,0.022339181286549707,0.09325191993768786
2,20,1.8623,0.4048,0.8085,0.04093567251461988,0.16353358760703784
3,30,1.5588,0.4512,0.8543,0.0322972972972973,0.26759367030922304
4,40,1.2637,0.5169,0.8921,0.04084934558618769,0.3599430310041229
5,50,1.2118,0.5464,0.9009,0.04212862827408282,0.3782133012255836
6,60,1.1915,0.5584,0.9024,0.06255866372094442,0.43310495111091285
7,70,1.0935,0.5814,0.9139,0.06626776281715259,0.4756609820280733
8,80,1.0868,0.5883,0.9145,0.39952149232179596,0.6840843551995511
9,90,1.0562,0.5905,0.9178,0.05491362451543229,0.6238440386993422
10,100,1.0106,0.6127,0.9211,0.054814951190809307,0.5952390982893792
11,110,0.9575,0.6349,0.9291,0.2891526051184486,0.6098198267967361
12,120,1.0072,0.638,0.9263,0.24806973463994134,0.5793805089251576
13,130,0.9284,0.6461,0.9306,0.24438522939678656,0.5761412753341226
14,140,0.9415,0.6576,0.9318,0.2423859777276139,0.5616376472022238
15,150,0.8806,0.6775,0.9367,0.22674298674676863,0.5348083637679282
16,160,0.8435,0.6818,0.9382,0.10141286670949157,0.5291180926738055
17,170,0.8331,0.6818,0.9397,0.23324344782742673,0.5333062209914328
18,180,0.7638,0.7006,0.9418,0.18130897079246627,0.48127859725958433
19,190,0.7853,0.6961,0.9415,0.1846884925145584,0.492952694959663
20,200,0.7496,0.7056,0.9435,0.07306366111175176,0.4399435173990008
21,210,0.7323,0.7092,0.9456,0.1365986833817981,0.4947894831625374
22,220,0.6872,0.7167,0.949,0.10887214495822983,0.4539576393338226
23,230,0.6884,0.7205,0.9489,0.09851033491755946,0.43692514051653797
24,240,0.678,0.7233,0.9487,0.10096362397891644,0.45303287859629165
25,250,0.6527,0.7334,0.9504,0.08441135750997686,0.4454434840670564
26,260,0.6002,0.7423,0.9526,0.06976893214611397,0.41292787686123567
27,270,0.5996,0.7445,0.9539,0.06841090386567646,0.4176487784362583
28,280,0.5953,0.7491,0.9552,0.08034142613291373,0.43337911494327847
29,290,0.6113,0.7455,0.9525,0.07853473512388963,0.43286567779313373
30,300,0.5721,0.752,0.9551,0.08430434188668348,0.438939621307081
31,310,0.5929,0.7431,0.9524,0.07347977994312134,0.4344405325180588
32,320,0.5351,0.7593,0.957,0.04778956449540266,0.4205378224902644
33,330,0.4985,0.7723,0.9583,0.055806223760457324,0.42902513686722854
34,340,0.4695,0.7708,0.96,0.055398089630991416,0.4393319938715452
35,350,0.465,0.7636,0.9586,0.07435947606296876,0.44787427239160565
36,360,0.4508,0.7726,0.9582,0.07108005618809485,0.4306219467918197
37,370,0.4903,0.7693,0.9583,0.0745707889787448,0.4418736276916095
38,380,0.5098,0.762,0.9565,0.08104908392561652,0.46588662173175743
39,390,0.5125,0.7549,0.9569,0.09247142959676807,0.48748216471773126
40,400,0.5165,0.7555,0.9585,0.0924303748436415,0.49142768484924426
41,410,0.5247,0.7432,0.9572,0.08800314895435855,0.48412777796786677
42,420,0.4462,0.7737,0.9619,0.08461742092699596,0.48072167880253036
43,430,0.4333,0.7721,0.9612,0.06800360844930074,0.45610644490281405
44,440,0.4791,0.7686,0.9583,0.07328124120601091,0.45853927337727846
45,450,0.479,0.7596,0.9581,0.06188396799640612,0.47094759592019914
46,460,0.4583,0.7598,0.9598,0.05057277892737556,0.4474212127942607
47,470,0.4007,0.7715,0.9608,0.056650318657864386,0.4494919606541391
48,480,0.6675,0.7493,0.9501,0.058974366413591085,0.4664408000174615
49,490,0.3959,0.7627,0.9602,0.060190128577938734,0.4907808814864823
50,500,0.4802,0.751,0.9574,0.07165324737411377,0.5036769011627203
51,510,0.4559,0.752,0.9554,0.06305772699317218,0.48812701715969525
52,520,0.3668,0.7649,0.9598,0.06568324364080454,0.4948872266136465
53,530,0.4019,0.7593,0.9589,0.06585287724841907,0.5043532895596493
54,540,0.6137,0.7444,0.9482,0.041589278167118084,0.468288799626165
55,550,1.0402,0.7124,0.9374,0.06176591476712695,0.4923811456049033
56,560,0.695,0.7447,0.9498,0.0713996457304793,0.5105172381099952
57,570,0.4547,0.7599,0.957,0.06488192333985511,0.48639637820697695
58,580,0.4243,0.7659,0.9557,0.06027833898539542,0.4828275516716144
59,590,0.4791,0.7578,0.9516,0.06735023535929259,0.49191511994347537
60,600,0.2962,0.7785,0.9599,0.06754208813337384,0.49691967491132494
61,610,0.3123,0.7673,0.9579,0.06796760638708677,0.5064847043559844
62,620,0.6152,0.7211,0.947,0.06946403461000808,0.5116970589058734
63,630,0.4285,0.7456,0.9521,0.0735983443176725,0.5189463935035138
64,640,0.3345,0.7582,0.9581,0.08265761477421828,0.5456348885373251
65,650,0.2771,0.7667,0.9582,0.08098766017852593,0.5352609468994542
66,660,0.2608,0.7592,0.9581,0.07659471588181366,0.5290238318625199
67,670,0.2958,0.7576,0.9573,0.08408162807854073,0.5426011601763993
68,680,0.3577,0.7446,0.9527,0.07698664352305519,0.5402152987478166
69,690,0.2623,0.7711,0.9586,0.07037391406247004,0.5321644838887285
70,700,0.2262,0.7731,0.9591,0.0768958670602686,0.5399938305134186
71,710,0.2271,0.7749,0.9573,0.07760900784736996,0.5439794032336362
72,720,0.2088,0.7825,0.9598,0.07821885925619125,0.543733451592758
73,730,0.445,0.7299,0.9482,0.0906009689008963,0.5527899822233688
74,740,0.3166,0.7488,0.9519,0.08576200868247283,0.5434174405592737
75,750,0.3214,0.7551,0.9531,0.07553458898295526,0.5339688665903857
76,760,0.2671,0.749,0.9565,0.07174915157118902,0.531644503247305
77,770,0.1996,0.7727,0.9604,0.07045256748378574,0.5289656881559833
78,780,0.235,0.7712,0.9584,0.07468760682373905,0.5310326328376271
79,790,0.2405,0.7683,0.9578,0.07427024311544837,0.5432053345750587
80,800,0.178,0.7782,0.9606,0.06903892313337133,0.5366287078683074
81,,,,,0.06470946756584875,0.5144469188423972
82,,,,,0.07050964427399964,0.5262608583217434
83,,,,,0.06327400462481075,0.5209827453921807
84,,,,,0.06528941130288578,0.5222840065987369
85,,,,,0.06397168188848362,0.5249260877854032
86,,,,,0.06836634176101869,0.5338322521204627
87,,,,,0.06914779367561198,0.5310568765911068
88,,,,,0.0691494361020789,0.5260288632707091
89,,,,,0.07037059009903858,0.5320047122574838
90,,,,,0.08881714196469113,0.5572647712509816
91,,,,,0.08778418736636437,0.5528681844424095
92,,,,,0.08407058559656932,0.5582408305643385
93,,,,,0.09157530490046162,0.5591702418636543
94,,,,,0.08416631690232892,0.5507545388118589
95,,,,,0.08223396657351928,0.5572093352844288
96,,,,,0.0892081672564726,0.5525105054127492
97,,,,,0.0748796362346206,0.5386381020779722
98,,,,,0.07135836094706267,0.5285011611549985
99,,,,,0.07565676320254044,0.5422414893344888
100,,,,,0.07970747402820998,0.5478794719233627
101,,,,,0.06103668253613565,0.5286620588301967
102,,,,,0.05710855158415532,0.5219368672497003
103,,,,,0.07010742900490992,0.5444367312823969
104,,,,,0.06965809583627289,0.5412983738571845
