step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.0014814814814814814,0.7328537927819129
1,10,7.4833,0.3386,0.7383,0.02840259614453163,0.27426330913953156
2,20,5.4608,0.4401,0.816,0.03264755077658304,0.273852730199776
3,30,2.4843,0.5029,0.8571,0.03700702278048319,0.347288706433125
4,40,1.8867,0.5736,0.8892,0.03527334460457985,0.3306027723960617
5,50,0.9886,0.6168,0.922,0.0422458850067674,0.34823517038153284
6,60,0.9145,0.6413,0.93,0.04102098497952593,0.33847570681337724
7,70,0.8596,0.6631,0.9345,0.047478306868959,0.4037899241221231
8,80,0.8469,0.6645,0.936,0.05872467487150274,0.38960351959967565
9,90,0.8115,0.6671,0.9359,0.04795552290801964,0.4105233761116679
10,100,0.74,0.6904,0.9416,0.04850116549765062,0.49458997867855775
11,110,0.6945,0.7004,0.9446,0.03368670357616397,0.39586282154356767
12,120,0.6552,0.7084,0.9465,0.03764576711973166,0.39784230524784936
13,130,0.6133,0.7195,0.9488,0.04105975946421465,0.4156479312865784
14,140,0.5847,0.7217,0.9499,0.04484443527577981,0.45387897295645085
15,150,0.5798,0.7151,0.9488,0.0509123701043195,0.4373316205495979
16,160,0.4967,0.7378,0.9537,0.056792897448257385,0.49189858986664836
17,170,0.4739,0.7406,0.9531,0.06037738081342935,0.48804201705310185
18,180,0.4489,0.74,0.9536,0.057338326531398025,0.4763167354576969
19,190,0.422,0.7393,0.9534,0.055457320309794896,0.47550387456422233
20,200,0.4734,0.7293,0.951,0.051641056038510644,0.48929633052938887
21,210,0.3762,0.744,0.9539,0.044562444152528545,0.48655048542847296
22,220,0.311,0.7491,0.9553,0.04121622717558848,0.5081121825855546
23,230,0.299,0.7515,0.9563,0.04700369138551334,0.5190791514404735
24,240,0.2934,0.7477,0.955,0.05041992756085369,0.5275588931294422
25,250,0.2419,0.7518,0.9562,0.05611112889145052,0.5482492836748846
26,260,0.2128,0.7604,0.9587,0.04171111853775027,0.5138917370682947
27,270,0.2065,0.7579,0.9579,0.04899280364274025,0.5070660513491309
28,280,0.1718,0.7603,0.9595,0.04465824297640166,0.5131295476636141
29,290,0.2063,0.7516,0.9569,0.04403649874147486,0.491428903587338
30,300,0.1722,0.7575,0.9579,0.04539588201286415,0.5108132249978965
31,310,0.1591,0.7636,0.9587,0.05414103889775741,0.5395525673155764
32,320,0.1621,0.7609,0.9579,0.044085320867274895,0.5333481837110168
33,330,0.1241,0.768,0.9608,0.0499787819480306,0.5092080674634633
34,340,0.1472,0.7601,0.9604,0.05356726731282582,0.5153642054607402
35,350,0.1489,0.7619,0.9602,0.05434031067598515,0.5259221747800873
36,360,0.1502,0.7656,0.959,0.048346073298619785,0.5138577034507705
37,370,0.1752,0.763,0.9588,0.06067356221134193,0.5416761475529815
38,380,0.1703,0.769,0.9597,0.056643420012798346,0.5215141890388041
39,390,0.1287,0.7696,0.9615,0.06558219225103946,0.5244209832492928
40,400,0.0912,0.7751,0.9625,0.06691890955510706,0.5465562366853103
41,410,0.1093,0.7657,0.9605,0.07291077233148738,0.5542888486242774
42,420,0.251,0.754,0.9506,0.0579142067264669,0.5467835334523029
43,430,0.1808,0.7644,0.9604,0.06866121891766769,0.5627688911873511
44,440,0.1163,0.771,0.9613,0.052762920163210346,0.5371624464078059
45,450,0.1947,0.7665,0.9573,0.050295883587710734,0.5216199656431896
46,460,0.2058,0.7679,0.9578,0.053695698504572294,0.5375220892700354
47,470,0.2181,0.7701,0.9579,0.049173251651728665,0.5264880262025661
48,480,0.2441,0.7677,0.9561,0.06333327688752062,0.5553244510934131
49,490,0.2546,0.7667,0.9562,0.07996749154209278,0.5699888693048858
50,500,0.2327,0.7672,0.9599,0.071303846204338,0.5678159854686212
51,510,0.1745,0.769,0.958,0.0672403243403681,0.5569285932298015
52,520,0.1122,0.7757,0.9617,0.07165000311296775,0.575683445986622
53,530,0.1081,0.7789,0.9618,0.056455106189431996,0.5523647386555531
54,540,0.1414,0.766,0.9586,0.05287353728191236,0.5426060099321093
55,550,0.2046,0.7714,0.9576,0.05827898657170829,0.5453557440513672
56,560,0.0666,0.7825,0.9646,0.04479521739476142,0.5309270577601521
57,570,0.049,0.7853,0.965,0.04413076326355468,0.5101404832723079
58,580,0.1003,0.7779,0.963,0.04777517302853523,0.5074524486454703
59,590,0.0936,0.7748,0.9632,0.04850804746866887,0.5260340341156956
60,600,0.1083,0.7725,0.9626,0.061238072261632706,0.54323304055109
61,610,0.0927,0.7766,0.964,0.06674310883652793,0.5520176764987702
62,620,0.1198,0.771,0.9632,0.07201763162648578,0.5584776436918508
63,630,0.2585,0.7737,0.9593,0.06608964182901506,0.5448964394948089
64,640,0.0574,0.7838,0.9649,0.07115632602478893,0.5567414787940681
65,650,0.0593,0.7846,0.9651,0.08243581998328128,0.5757319054534283
66,660,0.146,0.7737,0.9628,0.0848256168165957,0.5798143811247379
67,670,0.1616,0.773,0.9626,0.08593197324787852,0.5737582497887304
68,680,0.1096,0.7715,0.9606,0.0829575860037392,0.5810280521346675
69,690,0.0893,0.7771,0.9628,0.08149049075175492,0.5790972815367557
70,700,0.0876,0.7815,0.9643,0.07537443872049501,0.5596774771475328
71,710,0.0776,0.7839,0.9646,0.07243535061703728,0.5698421404417361
72,720,0.0928,0.7793,0.9644,0.11023070993618435,0.6106161489461926
73,730,0.0956,0.7784,0.9638,0.10572519348845834,0.6098100722734162
74,740,0.0713,0.7801,0.9647,0.09538737345981044,0.5924861659645632
75,750,0.1705,0.782,0.9629,0.08460194205052747,0.5790751828582131
76,760,0.1987,0.7779,0.9624,0.09497654830728584,0.6068892434286863
77,770,0.2251,0.7774,0.9603,0.0921476911537694,0.5925624093100912
78,780,0.2257,0.7785,0.9607,0.09997003990846173,0.5999177810363674
79,790,0.2158,0.7844,0.9618,0.08767417769248177,0.5888515070718172
80,800,0.2181,0.781,0.9614,0.07742204697598531,0.5682276253871932
81,,,,,0.07584588328901416,0.5740467881075685
82,,,,,0.07665796565568526,0.574843525984903
83,,,,,0.07407094646456633,0.5717118243754664
84,,,,,0.07502799235507622,0.5799778487660557
85,,,,,0.05060336220762362,0.5437297840168301
86,,,,,0.06673923168548512,0.5774707492692686
87,,,,,0.056315281743142875,0.5593983743445006
88,,,,,0.04686424012292678,0.541034646283568
89,,,,,0.061380184733713504,0.5642650429561389
90,,,,,0.08416328466021532,0.6101581210521988
91,,,,,0.06055008881070864,0.5674675237217125
92,,,,,0.05583942605805004,0.557977434859948
93,,,,,0.051312236007789835,0.558267759611102
94,,,,,0.06499351156046346,0.5822520996182488
95,,,,,0.05027700734898518,0.5515975937960345
96,,,,,0.04361716037440064,0.5169157454267324
97,,,,,0.04781419192274197,0.5373219939264207
98,,,,,0.05529638066929708,0.5541604010082747
99,,,,,0.06375286357304098,0.5618037864278976
100,,,,,0.07948435501833151,0.5990534150251432
101,,,,,0.0712833271281058,0.5892002469083261
102,,,,,0.07847167956579428,0.5800772714951231
103,,,,,0.07222123622772739,0.5599561723074564
104,,,,,0.06905962004057045,0.5754804925804801
105,,,,,0.06839538882738436,0.5756160178892392
106,,,,,0.08099817401183818,0.5871898332779215
107,,,,,0.07147296633400367,0.5846762723251282
108,,,,,0.10786557997962232,0.6225354425599728
109,,,,,0.1035385313501572,0.6183577151953442
110,,,,,0.0902157670680497,0.6033209312134524
111,,,,,0.1016259113174712,0.6219100793864094
112,,,,,0.13968362156745312,0.6622229441795666
113,,,,,0.12980713592543325,0.6525738688444441
114,,,,,0.09835141109488879,0.6217249184974328
115,,,,,0.1137812082913499,0.6438277036192029
116,,,,,0.07978725180439218,0.6016687790297588
117,,,,,0.07936568777842065,0.6035648048212378
118,,,,,0.11652291583695269,0.6472408379709615
119,,,,,0.09681576238619305,0.6337015985590199
120,,,,,0.0793833864499216,0.61138664871485
121,,,,,0.11470895219285968,0.6503437798351247
122,,,,,0.11361608234903638,0.651287846893233
123,,,,,0.09882277294232839,0.6229224771783236
124,,,,,0.08425101553602367,0.603251522010868
125,,,,,0.11143956688834995,0.6260193928330745
126,,,,,0.12345654428084661,0.64822025895365
127,,,,,0.10881544291498858,0.6295167915866877
128,,,,,0.11848669385706426,0.6433073315827934
129,,,,,0.10713026033778732,0.6404422368681424
130,,,,,0.09321174589677024,0.6205893570469228
131,,,,,0.0834328904842269,0.6080551981420526
132,,,,,0.0732059916541374,0.5816315933852353
133,,,,,0.10965182869979301,0.6421782815764273
134,,,,,0.11967103780051641,0.6589549181506339
135,,,,,0.10933255920759942,0.634768927401166
136,,,,,0.11163369948137224,0.6486231162523094
137,,,,,0.06351149774359657,0.5830861066882614
