step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.022222222222222223,0.71602840779618
1,10,7.2332,0.2794,0.6899,0.03333333333333333,0.6645809032697675
2,20,3.3193,0.3922,0.8053,0.03333333333333333,0.5256148868905767
3,30,1.8098,0.4472,0.8494,0.04346989846989847,0.6901102750124469
4,40,1.6594,0.4579,0.8558,0.02790899772381254,0.7185917229060803
5,50,1.5101,0.4714,0.8675,0.03617617617617618,0.7070187897269687
6,60,1.3317,0.4904,0.8872,0.03840840840840841,0.6827184947937303
7,70,1.3189,0.4965,0.889,0.472437913543796,0.7028984712604782
8,80,1.276,0.52,0.8942,0.447327462573303,0.7036640758296991
9,90,1.3513,0.4867,0.889,0.4395550325314724,0.7191263048422649
10,100,1.2035,0.5387,0.9045,0.3941137894003821,0.7030932147587428
11,110,1.241,0.5301,0.9031,0.3384548484230855,0.652573358598075
12,120,1.2134,0.5446,0.9027,0.299264575090402,0.6133799454046436
13,130,1.1737,0.5569,0.9074,0.2738462101902569,0.5693393431166216
14,140,1.1784,0.5549,0.9086,0.22805256995140438,0.5393667729104081
15,150,1.2531,0.5314,0.8963,0.23374294945634888,0.5334488707045643
16,160,1.2115,0.5409,0.9011,0.21487695295613612,0.4896734152815095
17,170,1.044,0.6015,0.9201,0.20599977320837412,0.4803644536421934
18,180,1.0988,0.6058,0.9166,0.17549296680076876,0.45834568178166024
19,190,1.0236,0.6148,0.9239,0.15184126303477982,0.4460756755728796
20,200,0.9824,0.6281,0.9274,0.1414562290014232,0.44142204020280607
21,210,1.0566,0.61,0.9196,0.13682012491934065,0.4384521159103134
22,220,0.9958,0.6304,0.9259,0.1314453319730568,0.45872587929325037
23,230,0.9442,0.6494,0.9306,0.12941867144909777,0.4655130369181593
24,240,1.0383,0.6574,0.9332,0.13026344857321503,0.46087744419964893
25,250,0.8746,0.6672,0.9352,0.1321723999306799,0.4799453862422446
26,260,0.9185,0.6604,0.9332,0.13487567338594036,0.49228401723870413
27,270,0.8379,0.6811,0.9396,0.12176979181885059,0.4873532645759834
28,280,0.9303,0.6726,0.9326,0.10651743092951546,0.44853751368180195
29,290,0.7806,0.6964,0.9442,0.10190199507026042,0.4564384988125961
30,300,0.8201,0.6909,0.9411,0.0855736788088553,0.4306244241783788
31,310,0.7608,0.7011,0.9442,0.08676154685505687,0.42616612208671256
32,320,0.7299,0.7101,0.9462,0.02524763942490661,0.3955098587087428
