step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.011111111111111112,0.700798033515072
1,10,7.8389,0.3269,0.745,0.012916666666666668,0.8251918883326314
2,20,3.0539,0.4579,0.823,0.013956911071690947,0.7648383820003779
3,30,1.3879,0.5548,0.8901,0.6366870327682406,0.7568144750976677
4,40,1.0343,0.6001,0.9179,0.5486568424417082,0.7203831112927433
5,50,0.936,0.6334,0.9256,0.48808107401526357,0.6879855948451613
6,60,0.9007,0.6351,0.9287,0.45268115714781576,0.6707262581146229
7,70,0.8303,0.6533,0.9343,0.40173845839572025,0.6228426507689704
8,80,0.7879,0.669,0.938,0.3577725856709411,0.5808844502833769
9,90,0.7395,0.6806,0.9411,0.34400242601739345,0.5733380355049966
10,100,0.7078,0.6877,0.943,0.32103345013289547,0.5621104869285654
11,110,0.6316,0.7128,0.9482,0.29940479106609136,0.5361924396002961
12,120,0.6104,0.7095,0.9468,0.2728483026816866,0.5095302197389994
13,130,0.5689,0.7183,0.9491,0.2674099020272618,0.5268534335038592
14,140,0.5082,0.7373,0.9529,0.23734130650369523,0.49898782306661327
15,150,0.4697,0.7399,0.9538,0.20944008827573854,0.4871511661341765
16,160,0.4631,0.7387,0.954,0.1918459116576303,0.46697023943428323
17,170,0.4207,0.7429,0.9552,0.16984945277581523,0.4545844448326211
18,180,0.384,0.751,0.956,0.16269101639220654,0.4533674346021974
19,190,0.363,0.7466,0.9559,0.15365921150170722,0.46887219453346024
20,200,0.3438,0.7461,0.9556,0.1416756040842292,0.4569648891781938
21,210,0.307,0.7526,0.9569,0.1343422808073387,0.4681057541147722
22,220,0.2697,0.7552,0.9569,0.12467828687319771,0.4696045842259672
23,230,0.2642,0.7515,0.9565,0.09792968380811132,0.4265307178762112
24,240,0.2202,0.7559,0.9578,0.09998442176768205,0.44622864592151534
25,250,0.256,0.7506,0.9549,0.07434600544260235,0.4322842886676105
26,260,0.1683,0.7697,0.9603,0.07639715474616869,0.4370748095310526
27,270,0.1495,0.7682,0.9598,0.056190393922717075,0.4234419736401232
28,280,0.1478,0.761,0.9595,0.053908736180366644,0.43039419203415985
29,290,0.1542,0.7642,0.9594,0.04331164258883878,0.41668791116771914
30,300,0.1338,0.7715,0.9598,0.03974823715171308,0.4120082295217448
31,310,0.1362,0.7657,0.9601,0.025005724520205393,0.3986373900652736
32,320,0.1035,0.773,0.9612,0.027820629290601365,0.4112215828477336
33,330,0.1341,0.7627,0.9584,0.028873485600191155,0.42063780459186934
34,340,0.0789,0.775,0.9616,0.029083642283472808,0.42848356974831264
35,350,0.0822,0.7729,0.9614,0.03398818562789046,0.4372379687169613
36,360,0.1255,0.7612,0.9586,0.03062234893222351,0.4336060960261573
37,370,0.0921,0.7705,0.9613,0.026338514925374302,0.4377393179105159
38,380,0.1002,0.7682,0.9604,0.021639291122792226,0.43674914858955205
39,390,0.0653,0.7726,0.9617,0.02307676525090514,0.45452710748802805
40,400,0.0733,0.7723,0.9614,0.025327209619488256,0.4708360964260408
41,410,0.1338,0.7685,0.9612,0.032751827375050405,0.4778097251516087
42,420,0.0759,0.7735,0.9628,0.02582598957388003,0.4774413410212615
43,430,0.0783,0.7732,0.9626,0.02202871934124151,0.4540765868424685
44,440,0.1312,0.7711,0.9602,0.017610550604694047,0.4544639869733463
45,450,0.0863,0.7726,0.9609,0.017805001176500856,0.4842692630007376
46,460,0.0534,0.7779,0.9635,0.01825295030702848,0.4886596838549449
47,470,0.0482,0.7816,0.9639,0.015646642128467895,0.48062454645241104
48,480,0.148,0.7776,0.9634,0.022377535680623995,0.49798130361988585
49,490,0.1679,0.7774,0.9614,0.025843730143203597,0.48600955004390045
50,500,0.1037,0.7757,0.9609,0.01905443518635989,0.4688927097892012
51,510,0.0732,0.7792,0.9631,0.022424212276800262,0.4707396038980369
52,520,0.0514,0.7806,0.9642,0.0136493361219575,0.45084232553312525
53,530,0.0637,0.7772,0.9637,0.011591262443788875,0.4387406355890085
54,540,0.0971,0.7705,0.9611,0.012906215869822633,0.4465526676237919
55,550,0.1745,0.773,0.9626,0.01586683234822482,0.47013459415481984
56,560,0.0746,0.7805,0.9641,0.014220676695638968,0.4630254930937009
57,570,0.0482,0.7801,0.9639,0.015336253588272895,0.4563205956941045
58,580,0.1308,0.7755,0.9634,0.01987171977271239,0.46855838830776775
59,590,0.1859,0.774,0.962,0.017961071003532388,0.4770106324603539
60,600,0.1214,0.7799,0.9635,0.01633649849552396,0.46577238015669054
61,610,0.0876,0.7744,0.9623,0.020656544497597584,0.4681396812269582
62,620,0.0719,0.7799,0.9652,0.012380864431597922,0.4737570555635584
63,630,0.0834,0.7769,0.9629,0.015703338917795042,0.46710544666096276
64,640,0.1008,0.7778,0.9631,0.014214518571654894,0.48959828003007433
65,650,0.1016,0.7769,0.9631,0.013337948087018815,0.48651651554327874
66,660,0.101,0.779,0.9637,0.01802437302174675,0.4862177072588085
67,670,0.1658,0.7737,0.961,0.017740570178160855,0.4982442211618664
68,680,0.0708,0.7784,0.9641,0.015542529507870629,0.5086638566470948
69,690,0.1002,0.7788,0.9649,0.01296426183971763,0.4996963485685512
70,700,0.0945,0.7854,0.9652,0.014366469749324845,0.5041891894742977
71,710,0.0602,0.7877,0.9654,0.017155041935359956,0.5205614211535877
72,720,0.2106,0.7674,0.962,0.017177301802696776,0.5213712282973718
73,730,0.2519,0.775,0.9631,0.02806667259794724,0.5197750080901659
74,740,0.1806,0.778,0.9641,0.02394125747355006,0.5304595896195653
75,750,0.0423,0.7862,0.966,0.017461947203032575,0.5301955988438374
