step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.011889943203074517,0.7248028582282486
1,10,3.5846,0.1682,0.5658,0.8677094202440961,0.8871567820570391
2,20,2.6922,0.1506,0.6269,0.013383862171403884,0.4502829596506215
3,30,2.1469,0.2601,0.7103,0.7639883795825206,0.8740986921939342
4,40,2.0039,0.2847,0.7393,0.008694067794168906,0.5790540453743909
5,50,1.7897,0.3583,0.7845,0.5841631293296208,0.792902019448885
6,60,1.8071,0.3684,0.7672,0.5489814930170862,0.7306850512065638
7,70,1.7431,0.3714,0.7847,0.01609165570344108,0.5341359241268998
8,80,1.6955,0.3676,0.7819,0.4122201143103953,0.5785654762527419
9,90,1.6651,0.3729,0.7784,0.2580716829779533,0.5463221020687932
10,100,1.5635,0.4237,0.7916,0.39425706786363796,0.5983730981434996
11,110,1.6924,0.3856,0.7636,0.32067399212930375,0.5691412950265928
12,120,1.6298,0.4137,0.7617,0.3805957688077154,0.6416346373930659
13,130,1.6027,0.415,0.7595,0.3159006467445956,0.5748454470943366
14,140,1.6728,0.4062,0.7508,0.2710003989164351,0.5177736099947587
15,150,1.7638,0.3844,0.7414,0.35495467490889043,0.7056286232653142
16,160,1.7134,0.4067,0.7334,0.28723397584751426,0.6422815349836934
17,170,1.6661,0.4224,0.7351,0.11750846787984223,0.519080918589576
18,180,1.8584,0.3809,0.6951,0.23609060854818892,0.6719769884932283
19,190,1.7292,0.385,0.6894,0.22230423883388828,0.5682812985084276
20,200,1.6778,0.4158,0.7018,0.05286238557081514,0.5065447583330525
21,210,1.6901,0.3943,0.6854,0.0052694700224207225,0.4051487506282712
22,220,1.833,0.3922,0.6809,0.2170968843728437,0.581989721598758
23,230,1.7668,0.3959,0.6801,0.15763839957012912,0.5469545157356964
24,240,1.9387,0.3852,0.6677,0.2967656682477508,0.6810431505737308
25,250,1.787,0.3981,0.6657,0.12197084011475796,0.5407635269547977
26,260,2.0235,0.3601,0.6627,0.19734973136465936,0.6176911633588579
27,270,1.7972,0.3799,0.6701,0.1544002764746724,0.5675331352708173
28,280,1.8545,0.3707,0.6514,0.22936826648424394,0.5954293041324326
29,290,1.8315,0.3874,0.6647,0.03152847735384027,0.37652844224754645
30,300,1.8684,0.3699,0.6505,0.18101588103412575,0.5485317839890365
31,310,1.8687,0.3715,0.6413,0.05810087735206839,0.4714182422266625
32,320,1.9238,0.3742,0.6627,0.3484947183634735,0.7505911265812003
33,330,2.2911,0.3634,0.6576,0.2776055124743914,0.6521562569999466
34,340,1.7879,0.391,0.6425,0.13600129265764277,0.48216060900487345
35,350,1.8645,0.3954,0.6437,0.03404375476583288,0.48781407311604913
36,360,1.8918,0.3771,0.6407,0.1850883194297872,0.566917322392994
37,370,1.7343,0.4111,0.633,0.034849943248709596,0.4567062050934304
38,380,1.7544,0.4008,0.6432,0.028063524219750974,0.45566335151878
39,390,1.8471,0.39,0.635,0.28542024013600487,0.6469912818637158
40,400,1.7269,0.4018,0.6448,0.01020701268901395,0.3931759009906116
41,410,1.9469,0.3883,0.6437,0.07798516812538574,0.5568516912841183
42,420,1.651,0.4117,0.6332,0.0019058092170950397,0.39329496826396954
43,430,1.7914,0.4032,0.6262,0.0800329600159244,0.5643726921932819
44,440,1.5203,0.4116,0.6437,0.01717871353386686,0.48358136304472854
45,450,1.5212,0.435,0.6381,0.009924013791165474,0.405793506155147
46,460,1.5847,0.4064,0.6228,0.20755978454315158,0.6798209720988455
47,470,1.5933,0.4258,0.6312,0.056964498791768764,0.4877455777992435
48,480,1.7118,0.4304,0.6383,0.017256449601823917,0.43645573517605235
49,490,1.7564,0.4278,0.6339,0.057071316616740995,0.45323392358739656
50,500,1.6844,0.4395,0.6409,0.10433651080133262,0.5470567480791494
51,510,1.6057,0.426,0.6362,0.13388183671952486,0.5333470497054597
52,520,1.5675,0.4406,0.6399,0.026128798701066182,0.49485350490137753
53,530,1.423,0.4475,0.6386,0.035451373386454856,0.49554710309568306
54,540,1.3675,0.4451,0.6332,0.11198424952394137,0.6344761759483093
55,550,1.3186,0.4535,0.6427,0.15722316883262172,0.579075165707324
56,560,1.2263,0.4478,0.6344,0.16492622887803643,0.5798256059654509
57,570,1.4281,0.4376,0.6346,0.0508036871923053,0.532859355419344
58,580,1.3535,0.455,0.6328,0.16803243973971443,0.6393746876163551
59,590,1.3477,0.4611,0.6299,0.06636077532498158,0.5991516951981114
60,600,1.5732,0.4528,0.6365,0.0609638869061471,0.5134376605592598
61,610,1.4449,0.4509,0.6327,0.2719152671787948,0.7211027882865411
62,620,1.469,0.4539,0.6361,0.22239633273011816,0.6933607682146898
63,630,1.5752,0.4474,0.6256,0.17723488912206004,0.6050716371139736
64,640,1.482,0.4473,0.6164,0.15209976649591542,0.5748214190698909
65,650,1.5394,0.461,0.6376,0.15842514876135197,0.5799221058351618
66,660,1.4241,0.4599,0.6271,0.18686084531087813,0.6309183967524564
67,670,1.3187,0.4689,0.634,0.15828885936621484,0.6188027423685641
68,680,1.2794,0.4673,0.6304,0.17037597467795937,0.647341612353265
69,690,1.3011,0.4641,0.6251,0.01650959236969323,0.5271270532584683
70,700,1.2644,0.4623,0.6244,0.05455687689443613,0.5829904560996725
71,710,1.2881,0.4676,0.6302,0.26721613060891286,0.7084765368630078
72,720,1.1833,0.4641,0.6121,0.24862813835832687,0.6873961380659023
73,730,1.1097,0.4634,0.6265,0.08408618312821549,0.5468315282839954
74,740,1.1614,0.4745,0.628,0.04440276909848086,0.5014621794384305
75,750,1.2336,0.4713,0.6181,0.027422917725630273,0.46607945648727556
76,760,1.2207,0.4574,0.6131,0.3193980858365751,0.727219686333532
77,770,1.2974,0.4753,0.6209,0.23612225804019454,0.6975204275068722
78,780,1.2105,0.4809,0.6121,0.23332111063437427,0.6941846711853323
79,790,1.237,0.4609,0.6085,0.30983324839134363,0.732881230683285
80,800,1.1398,0.4777,0.6263,0.09672051748742175,0.6283088888908526
81,,,,,0.00837623086911424,0.4309763929265671
82,,,,,0.1403897833607769,0.6378108752287778
83,,,,,0.3660604286244243,0.7780071294511182
84,,,,,0.17799915413264636,0.6817019798329637
85,,,,,0.09659564175286375,0.6564119983054657
86,,,,,0.22924390629007413,0.7233878710074682
87,,,,,0.6126073535767671,0.8794508894337782
88,,,,,0.621642254997137,0.880648633422961
89,,,,,0.13501735576549387,0.6679211297020915
90,,,,,0.6115349326283146,0.875778772323443
91,,,,,0.34616988751175976,0.7779399443346465
92,,,,,0.485830668830038,0.8183197776908465
93,,,,,0.6486013221631052,0.8871002435753564
94,,,,,0.7442277627744419,0.9201473952303453
95,,,,,0.44847212295159117,0.8336254601937617
96,,,,,0.58034451085256,0.8781251030223841
97,,,,,0.7609462508318295,0.9338434882150963
98,,,,,0.6035776880781376,0.9006391308892826
99,,,,,0.4053884395662009,0.8270379240841944
100,,,,,0.5028813718729012,0.8403625431061168
101,,,,,0.6988566321552591,0.9162945887643783
102,,,,,0.6470645695355649,0.8865921144711747
103,,,,,0.5606964199745685,0.8584554726489535
104,,,,,0.7256473769419202,0.9192266835277274
105,,,,,0.8080738479210022,0.9494735068960148
106,,,,,0.580112514236196,0.8512173446879298
107,,,,,0.6116238530954897,0.8799860337053722
108,,,,,0.776160874732123,0.9379476435713657
109,,,,,0.6994679530579434,0.9257561560733969
110,,,,,0.7217501058581585,0.9183203569842148
111,,,,,0.572168710950061,0.8816915026639855
112,,,,,0.7858512037294788,0.9385552480398298
113,,,,,0.6613666175914995,0.8988053720724489
114,,,,,0.829742867615439,0.9563450649670584
115,,,,,0.6597345269739538,0.8792133302349129
116,,,,,0.7152965961398474,0.9252615925021811
117,,,,,0.8327536940528921,0.9578021521428116
118,,,,,0.6632030512959879,0.8869827723093865
119,,,,,0.6802335720123265,0.8990401946598213
120,,,,,0.7768820497181851,0.9300069234901157
121,,,,,0.7646958692688326,0.9335257014607131
122,,,,,0.7430127986153702,0.9223053908942558
123,,,,,0.785766383055604,0.9439450441110145
124,,,,,0.821006965622741,0.9523586703594387
125,,,,,0.7695647957052505,0.937880013830273
126,,,,,0.7587592188629704,0.9295232002429626
127,,,,,0.780824166887721,0.9373990832643989
128,,,,,0.869678055810488,0.9671218582457412
129,,,,,0.858757383660352,0.9635398903945025
130,,,,,0.7861364098107982,0.9373727706526184
131,,,,,0.8375473964859371,0.9625295334945653
132,,,,,0.7994788543603139,0.9478630554177314
133,,,,,0.8937490425396908,0.9720128150269296
134,,,,,0.9056044194614982,0.9800574926282596
135,,,,,0.883627210994491,0.9691283310140414
136,,,,,0.8314174331359145,0.9596499264509595
137,,,,,0.7680121494181201,0.939540982424921
138,,,,,0.7958836554783405,0.9398803732610864
139,,,,,0.7601608699125648,0.9229168611698911
140,,,,,0.7778722310349409,0.9316352129026187
141,,,,,0.8115887076807557,0.9459007459014955
142,,,,,0.7198618669507701,0.9043482613252326
143,,,,,0.7365082626383076,0.9167073177245268
144,,,,,0.869721234756155,0.9661650369434551
145,,,,,0.8896646984499361,0.9675074158170847
146,,,,,0.9192625586211319,0.9778965767668446
147,,,,,0.9350570068081421,0.9823725766547765
148,,,,,0.8627843732459703,0.9567627792226054
149,,,,,0.8607148865199139,0.9621818277177882
150,,,,,0.896376283968319,0.9750685012928116
151,,,,,0.890437765132754,0.9719421868736887
152,,,,,0.8534167476396106,0.9504882203981267
153,,,,,0.7817327155676209,0.9288212356776366
154,,,,,0.8652084024692421,0.952418842172918
155,,,,,0.8183694680545457,0.9394865154910409
156,,,,,0.8270495496464471,0.9431317453386375
157,,,,,0.7966526702817575,0.9097042470379827
158,,,,,0.8830128547686769,0.9540515987678199
159,,,,,0.9401036323615789,0.9792395557336511
160,,,,,0.9226779259472473,0.9774006342807651
161,,,,,0.9351592620693072,0.9820783320570016
162,,,,,0.8910331519200665,0.9634730291415156
163,,,,,0.8497141925641423,0.9411973142230315
164,,,,,0.9132422318622875,0.9729724255365912
165,,,,,0.8862151507015109,0.9599474729270873
166,,,,,0.8978502548611125,0.96707700002675
167,,,,,0.8738922000683492,0.9512646044861318
168,,,,,0.8775928990522908,0.9603047021138758
169,,,,,0.9047174562531359,0.967910985657054
170,,,,,0.8821864507559588,0.9605870598187722
171,,,,,0.782253370088122,0.9335691014961794
172,,,,,0.8617307493937608,0.9501403713879981
173,,,,,0.9079559371029834,0.9728641012601567
174,,,,,0.9127885825779709,0.974719583580282
175,,,,,0.9427298679138046,0.9811498264196189
176,,,,,0.8780238221625105,0.9588204086153447
177,,,,,0.8736197674595952,0.9547673491740339
178,,,,,0.8848320599545295,0.9489219331640998
179,,,,,0.926543220145641,0.9706234093482082
180,,,,,0.9288873428021804,0.9711808599484998
181,,,,,0.9044326585189578,0.9524123070937273
182,,,,,0.898120119091045,0.9621692898288863
183,,,,,0.9172093478648007,0.9655319931948919
184,,,,,0.9406625764024577,0.9754195333663508
185,,,,,0.8752827980705133,0.9528802559942811
186,,,,,0.8795701419601234,0.9443146594258452
187,,,,,0.8896055453957694,0.9616442544098173
188,,,,,0.9019210635459013,0.9641634099525375
189,,,,,0.9297695250526133,0.97152898014969
190,,,,,0.9175370687477864,0.9599401702910195
191,,,,,0.9226630586592719,0.9664366332598952
192,,,,,0.9177797147754777,0.9610765384115082
193,,,,,0.8630695612422739,0.9450822224432085
194,,,,,0.9161521719922596,0.9706951301362274
195,,,,,0.8780410675029269,0.9495783861085878
196,,,,,0.880855043182054,0.9559749389165982
197,,,,,0.9237498172081808,0.9672038642447366
198,,,,,0.9057794587432065,0.9573727088252992
199,,,,,0.876842080875411,0.9329933116309489
200,,,,,0.8951619815180746,0.9537686651050102
201,,,,,0.9241804997227235,0.963255167381101
202,,,,,0.9249827956811997,0.9670924325198241
203,,,,,0.8989188491512612,0.949707099441023
204,,,,,0.9317417475116881,0.9646442334415419
205,,,,,0.8938933956488496,0.9534706865273932
206,,,,,0.9097260586744361,0.9573157004824309
207,,,,,0.9045251783976732,0.950011672800567
208,,,,,0.9364143232352495,0.9657231257596085
209,,,,,0.9263084689173112,0.9650521426648786
210,,,,,0.8769435722575813,0.9344401593177583
211,,,,,0.9046809991173483,0.9491571507354665
212,,,,,0.8900531343043432,0.9415876330851856
213,,,,,0.8811708374318464,0.9255820960688003
214,,,,,0.9232578736725793,0.9607952260485686
215,,,,,0.8950461318144138,0.9412806792402634
216,,,,,0.911083690836948,0.9401700414286583
217,,,,,0.8838345119781107,0.934220288613446
218,,,,,0.8965790197723442,0.9398475280646666
219,,,,,0.9049019454581657,0.9462753830241208
220,,,,,0.9074020066694517,0.9520951935333931
221,,,,,0.9299097634489846,0.9619650433799437
222,,,,,0.9039943050122593,0.9425893873393372
223,,,,,0.9012334211584662,0.9395478647137822
224,,,,,0.8864320224760268,0.9369846752508342
225,,,,,0.9083543051038614,0.9464785975943514
226,,,,,0.8893640646167559,0.9395133679253964
227,,,,,0.8912646727655258,0.9270178209831893
228,,,,,0.9037481474163763,0.9418654220735994
229,,,,,0.9166957156520539,0.9531853098178527
230,,,,,0.928288469523401,0.9568502691933325
231,,,,,0.9044447935390528,0.9463662960468391
232,,,,,0.9176777514997798,0.9376630468686493
233,,,,,0.9133322533131318,0.9447172956809539
234,,,,,0.9504749399431781,0.9632361475706355
235,,,,,0.9099740909669366,0.9451588831193483
236,,,,,0.8958865625407721,0.9354975465879901
237,,,,,0.8888449083645156,0.9393564254038251
238,,,,,0.8020434692831496,0.8934391838697143
239,,,,,0.8189538149949841,0.8840803136392004
240,,,,,0.7710508589375411,0.8664776236560812
241,,,,,0.8873119307765392,0.9185555746180054
242,,,,,0.9125245734252737,0.9357952345596816
243,,,,,0.8934608394133547,0.9371372652535512
244,,,,,0.9059002635149003,0.9240107594689098
245,,,,,0.9203954699586575,0.9500432723762102
246,,,,,0.9095068175215448,0.934651456680887
247,,,,,0.8957842196682715,0.9266525300393044
248,,,,,0.894209666172281,0.9264283416417838
249,,,,,0.8551087448615851,0.8980859647609689
250,,,,,0.85757786261582,0.903636353722363
251,,,,,0.8133170265797943,0.8948409100214681
252,,,,,0.9081986149638577,0.9422928137187662
253,,,,,0.8678400399383223,0.9188808989313614
254,,,,,0.8869092078048325,0.9313019202625228
255,,,,,0.8671445027722398,0.9141115533650307
256,,,,,0.858757724637878,0.9190408754037019
