step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.011111111111111112,0.7310421771406614
1,10,4.5668,0.192,0.5914,0.0,0.7356873683671482
2,20,2.879,0.1868,0.6245,0.023331790437053593,0.49702126514331724
3,30,2.523,0.2037,0.664,0.8248688987565019,0.9441599609214794
4,40,2.2299,0.2109,0.7151,0.7309886161398542,0.9250409108399497
5,50,2.0572,0.2485,0.732,0.6085010809793244,0.8248015729518531
6,60,1.8496,0.327,0.7646,0.018515765147977425,0.4822319096662074
7,70,1.8674,0.318,0.7633,0.6153916963818733,0.8412860252214701
8,80,1.7017,0.3844,0.7942,0.06166211978523008,0.6049970030895563
9,90,1.816,0.3483,0.7871,0.4732853833322669,0.7117630677170574
10,100,1.7914,0.3705,0.7721,0.44072366106119903,0.6974332815250436
11,110,1.8336,0.3502,0.7535,0.009319979286319556,0.5028899204059831
12,120,1.5723,0.4292,0.7626,0.06372790260918153,0.6126691225097053
13,130,1.586,0.4234,0.7724,0.41677095141408993,0.6788602742244911
14,140,1.699,0.3987,0.7465,0.1282876072646148,0.5341092774000357
15,150,1.5822,0.4175,0.7543,0.008131931258446893,0.5589054911659207
16,160,1.7295,0.3994,0.7227,0.002324481955715513,0.44157827300606356
17,170,2.0195,0.3761,0.712,0.015951813616047077,0.42635990950976776
18,180,1.6926,0.4124,0.697,0.2411865523236508,0.5969429474141127
19,190,1.8843,0.3792,0.6941,0.2544970295258698,0.6049745849203528
20,200,1.9608,0.3746,0.6818,0.0050838230127205454,0.45196807319433446
21,210,1.6617,0.4214,0.6734,0.1246635474226156,0.4787381866518291
22,220,2.1488,0.3506,0.6533,0.1979264212114815,0.6112106517091754
23,230,1.8084,0.3945,0.6862,0.2775501578433452,0.6172145199051792
24,240,1.7899,0.3938,0.665,0.010251579185305061,0.5670733315229496
25,250,1.8794,0.3902,0.669,0.01559582105665909,0.4807673337339782
26,260,1.8576,0.3851,0.6558,0.16412063049563594,0.5614968046778899
27,270,1.7086,0.405,0.6791,0.00833751157156267,0.517164451530463
28,280,1.8577,0.3999,0.6696,0.1308923828251572,0.6205708577146832
29,290,1.7973,0.4025,0.6646,0.3622475155842649,0.7380412619349234
30,300,2.4586,0.3298,0.6438,0.3810121533608878,0.7527473782852327
31,310,2.0104,0.3727,0.6445,0.412928738321383,0.7584673945068164
32,320,1.6575,0.4092,0.6477,0.39733285990346956,0.7622564481383475
33,330,1.7878,0.3963,0.6496,0.19418547520587842,0.6377481366912565
34,340,1.8262,0.3861,0.6399,0.001960892789316547,0.48561961836249296
35,350,1.9005,0.4015,0.6525,0.005292462097375669,0.4954340714707953
36,360,1.7908,0.3974,0.6314,0.0015330665531823181,0.41572194188580436
