step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.011111111111111112,0.7126884149217331
1,10,7.3891,0.1395,0.5871,0.8601769468123937,0.9113875477545649
2,20,2.7405,0.1918,0.6735,0.001399369294106136,0.6229956523714748
3,30,2.3613,0.2016,0.6809,0.6839757357053146,0.7747294079455086
4,40,1.873,0.3125,0.7784,0.005203731348728157,0.5741761158068247
5,50,1.8342,0.3457,0.7711,0.5721158726256481,0.6746805184311792
6,60,1.6967,0.3878,0.7905,0.004913898039037299,0.5840574909462057
7,70,1.8933,0.3212,0.76,0.4579274740144027,0.6309166032445592
8,80,1.7246,0.3631,0.7851,0.4433663057092461,0.6557154043911374
9,90,1.6539,0.3948,0.783,0.012649482224769784,0.567598908884049
10,100,1.6516,0.3886,0.786,0.013770765729092731,0.5182876369729861
11,110,1.7539,0.386,0.7559,0.42274125025629194,0.65766130510179
12,120,1.535,0.4315,0.7749,0.3334860515959977,0.6363547695706528
13,130,1.5164,0.4243,0.7542,0.001635307665285663,0.37012546781646144
14,140,1.6725,0.3908,0.7395,0.2576074296155785,0.5529294786566896
15,150,1.5371,0.4233,0.7298,0.2580137140429357,0.5541868168656733
16,160,1.6238,0.4188,0.7181,0.262362609785972,0.5595517525740307
17,170,1.6992,0.3964,0.7132,0.2568569313437325,0.5304029605008366
18,180,1.645,0.4051,0.707,0.021732353846971746,0.40229427101527326
19,190,1.5957,0.4194,0.7063,0.24787717259419131,0.6223853727030607
20,200,1.6349,0.389,0.7017,0.14373688097257306,0.48905931596701296
21,210,1.6697,0.4092,0.7037,0.030774842324572487,0.38330384188371536
22,220,1.581,0.4112,0.6903,0.01966400005332977,0.4496026022265669
23,230,1.6691,0.4094,0.6866,0.22025891733519185,0.5994666040983505
24,240,1.6551,0.3994,0.6719,0.08438946691142807,0.5404741839102312
25,250,1.7528,0.4029,0.663,0.070938977796767,0.42362225263441233
26,260,1.7816,0.3845,0.6543,0.2447431253889963,0.572503967268392
27,270,1.8307,0.3871,0.6643,0.16387827568496216,0.5164815339664988
28,280,1.8828,0.37,0.6475,0.009817011955743478,0.4479226823610719
29,290,1.7415,0.3793,0.6437,0.00038491278868844854,0.393974909683048
30,300,1.6327,0.3989,0.6569,0.020287991598062168,0.474140322903032
31,310,1.8744,0.3889,0.6476,0.0874931918357633,0.5740352949003
32,320,1.7971,0.3764,0.6474,0.20452898734532457,0.7100524024816797
33,330,1.6609,0.392,0.6514,0.3475726313093574,0.7692723156040207
34,340,1.7202,0.3884,0.6538,0.3242241654977466,0.7120976895631211
35,350,1.5969,0.3935,0.656,0.23768988398373836,0.6901909668789145
