step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.006814814814814814,0.7204358126610488
1,10,2.8274,0.3116,0.716,0.010524524524524525,0.47532525924620095
2,20,1.9353,0.3967,0.8087,0.010812918181339233,0.7433489258478538
3,30,1.9004,0.4322,0.8399,0.006808704474913201,0.7185246981290847
4,40,1.3725,0.5113,0.8828,0.0008636654985721086,0.7144968826908441
5,50,1.2434,0.5438,0.9004,0.006521189381601281,0.5577227160033219
6,60,1.1776,0.5603,0.9075,0.01514980292407352,0.6489945985870276
7,70,1.1878,0.5708,0.9076,0.021411026232257404,0.31862513272744253
8,80,1.2068,0.5712,0.9055,0.030593696288139786,0.49519392265461715
9,90,1.224,0.5747,0.9059,0.028087049344122032,0.48598609852402624
10,100,1.1443,0.5913,0.9122,0.02886613849688459,0.5156490263216225
11,110,1.1622,0.5849,0.9118,0.03191887376619085,0.5447019337533395
12,120,1.0695,0.6134,0.9193,0.25974006643991104,0.5582946604327863
13,130,1.0752,0.6085,0.9188,0.25044821466128664,0.5547212099493926
14,140,1.0374,0.6234,0.9233,0.1978821707369942,0.518076486168596
15,150,0.9834,0.6467,0.9275,0.17515019839413057,0.49920084055648806
16,160,0.9572,0.65,0.9297,0.1731663228968813,0.49617384814445287
17,170,0.9514,0.6489,0.9302,0.14844784975767122,0.4818236894740341
18,180,0.9035,0.6646,0.9341,0.12855126608754142,0.46578258560953256
19,190,0.8624,0.6746,0.9379,0.12178224747912167,0.4722710427975454
20,200,0.9727,0.6785,0.9329,0.10795997297578191,0.4474712753369446
21,210,0.8095,0.701,0.9413,0.10534760597600575,0.44765228969242016
22,220,0.7925,0.6997,0.9431,0.10157695482841447,0.4467803619624062
23,230,0.7798,0.7072,0.945,0.10398874409581954,0.44596592039188054
24,240,0.7765,0.7046,0.9446,0.10132213300564932,0.4539327881902834
25,250,0.7978,0.7106,0.9438,0.09760603334354875,0.4432943193674959
26,260,0.8103,0.6924,0.9446,0.11147186631839787,0.46705563277512047
27,270,0.7692,0.7051,0.9476,0.10536448987131505,0.47228450305091835
28,280,0.7576,0.7087,0.9477,0.10136079238211365,0.4701665556386497
29,290,0.682,0.7304,0.9521,0.07216283602270013,0.4214720826738904
30,300,0.6831,0.7314,0.953,0.07805036879344864,0.42195588999859573
31,310,0.6966,0.7348,0.9503,0.08800977083655513,0.43422708929516446
32,320,0.7292,0.7167,0.9497,0.08629687512678225,0.44674550817110875
33,330,0.6888,0.7282,0.9525,0.058112985816188484,0.439993214550222
34,340,0.7015,0.7219,0.951,0.06518969394751015,0.4593654063092746
35,350,0.716,0.7162,0.9498,0.05402660942402487,0.441029714500263
36,360,0.7336,0.7064,0.9464,0.058651558450962586,0.4277911755604742
37,370,0.6736,0.7314,0.9522,0.04502640862776044,0.4343540042240666
38,380,0.6581,0.7421,0.9535,0.047115726008586496,0.4376620441307421
39,390,0.6077,0.7502,0.9556,0.049973408606318784,0.44467208992957175
40,400,0.5696,0.7608,0.9566,0.054900252796679205,0.4560792517328094
41,410,0.6006,0.7502,0.9549,0.057009325652492136,0.4730069853123448
42,420,0.6771,0.7343,0.9512,0.056218180649911825,0.4746559935234896
43,430,0.5855,0.7574,0.9551,0.05916277791380204,0.47658756540661246
44,440,0.569,0.7644,0.9566,0.0555714376591129,0.48258200586564864
45,450,0.555,0.7658,0.958,0.0608644987172508,0.4777653863962528
46,460,0.6126,0.7654,0.955,0.05940470912887989,0.4681011148825342
47,470,0.5316,0.7691,0.958,0.054433571723904124,0.4757987716221571
48,480,0.5798,0.7694,0.9554,0.06385888881849383,0.4787494695129955
49,490,0.5205,0.773,0.9601,0.06827513666028026,0.480352697576277
50,500,0.5194,0.7684,0.9609,0.06292377974501898,0.4830557461446655
51,510,0.5062,0.775,0.9622,0.06437137822749522,0.4950075893541579
52,520,0.492,0.7779,0.9621,0.060784824339691505,0.48986715696279126
