step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.02204724409448819,0.7397617874342203
1,10,9.85,0.3303,0.7422,0.03141025641025641,0.7020363514133632
2,20,4.4349,0.4035,0.8151,0.03342516069788797,0.787377014063565
3,30,2.1265,0.4548,0.8527,0.31778614782017617,0.752646386952043
4,40,1.5844,0.506,0.8787,0.02794237642220972,0.6547344218126608
5,50,1.6194,0.5259,0.8879,0.03232231594499819,0.6156822828648202
6,60,1.3185,0.5243,0.8897,0.0426698277340202,0.5806724752363076
7,70,1.3223,0.5388,0.8917,0.04537049708112274,0.5446217509764422
8,80,1.2307,0.5473,0.9006,0.02974076059336549,0.5338621181006733
9,90,1.1516,0.5819,0.9086,0.034192555186318405,0.4937315800318194
10,100,1.0954,0.5875,0.9144,0.05029052038193603,0.5074293053891896
11,110,1.0772,0.5859,0.9155,0.04207314906548828,0.45164389572908914
12,120,1.0549,0.5997,0.9185,0.043800205150682066,0.45701432412496185
13,130,1.0547,0.603,0.9192,0.0493279481276518,0.4911610677035766
14,140,1.0249,0.6124,0.9213,0.05514517494720888,0.4899573306379809
15,150,0.9954,0.6233,0.9236,0.09586867013857607,0.49190125342712326
16,160,1.0108,0.6158,0.9213,0.18166430682814905,0.49186071008026205
17,170,0.973,0.6372,0.9277,0.20615153707747375,0.5083991790287714
18,180,0.9613,0.6369,0.9283,0.18347098981832646,0.5023923022911772
19,190,1.0244,0.6294,0.9249,0.1854347220154758,0.49587636052285283
20,200,0.9504,0.6379,0.9276,0.18976424839539688,0.49321773350687453
21,210,0.9265,0.6599,0.9323,0.0867255952770387,0.4590354460775474
22,220,0.8792,0.6664,0.9362,0.06698613253091104,0.4643105892419943
23,230,0.8572,0.6752,0.9392,0.0535537126242052,0.4424457140962193
24,240,0.8195,0.6839,0.9393,0.036891692520032944,0.4206322092304855
25,250,0.8057,0.6863,0.9402,0.04519294105178758,0.4121046796364079
26,260,0.7774,0.6988,0.9426,0.04754179428179217,0.40512617606325585
27,270,0.7724,0.6948,0.9432,0.040541422523370854,0.41122646448291483
28,280,0.8406,0.6877,0.9389,0.04250206019879166,0.4179451527396911
29,290,0.7533,0.7046,0.9447,0.05535615513292349,0.43421652136597655
30,300,0.7803,0.7025,0.9421,0.049295079354262764,0.4268928255880576
31,310,0.7357,0.7185,0.9463,0.06257845797264248,0.4313629274225004
32,320,0.6924,0.7272,0.9488,0.06076665680700103,0.4561017233298537
33,330,0.6876,0.73,0.9494,0.05431529375429323,0.4351065395853369
34,340,0.6719,0.732,0.9502,0.07052586554713577,0.4452477626689953
35,350,0.6777,0.7307,0.9475,0.0710439580340391,0.4572416923859399
36,360,0.6581,0.7355,0.9483,0.06565702198167615,0.44113133895099066
37,370,0.6338,0.7393,0.9508,0.0662800482335292,0.4342770292666634
38,380,0.6128,0.7467,0.9516,0.07402909844711608,0.46078399763464895
39,390,0.6259,0.7437,0.952,0.07500566681763578,0.46973104327603815
40,400,0.6408,0.7417,0.9516,0.07960806486855491,0.48629577576969996
41,410,0.6116,0.7545,0.9537,0.07425943046227947,0.4817879630172627
42,420,0.5952,0.7593,0.955,0.07037793946692912,0.4700745320864039
43,430,0.566,0.7608,0.9555,0.06935679406638627,0.4752007350398909
44,440,0.6288,0.7524,0.9508,0.0649066949605016,0.4746644611694249
45,450,0.613,0.7503,0.9525,0.057793085098015715,0.46615602788829164
46,460,0.5745,0.7619,0.9536,0.05104625652994694,0.4401083432388294
47,470,0.5185,0.7711,0.9583,0.05445464540949227,0.4533606594301502
48,480,0.5382,0.7667,0.9567,0.04853846593728102,0.4342280466476384
49,490,0.5404,0.7696,0.9571,0.058075748892739844,0.46450655432552795
50,500,0.5146,0.7736,0.9596,0.06377368739793939,0.4752913285911917
51,510,0.5191,0.7709,0.9579,0.06392687158363274,0.47486338234569964
52,520,0.5138,0.773,0.9569,0.0711662783865987,0.47371109927470606
53,530,0.4929,0.7779,0.9581,0.06649257583664082,0.4794341470953036
