step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.011111111111111112,0.7050807193563486
1,10,5.1489,0.3016,0.7351,0.011111111111111112,0.7744151080238652
2,20,2.2497,0.3921,0.801,0.7303257443564108,0.8202812706031218
3,30,1.7489,0.4472,0.8488,0.6558774896880956,0.7831599079934871
4,40,1.3859,0.4985,0.8758,0.5924482805825627,0.7709643432862862
5,50,1.3202,0.5078,0.8868,0.532495914620127,0.7254639396292859
6,60,1.2481,0.5258,0.8945,0.47827918144909515,0.701095132696859
7,70,1.2003,0.5446,0.9041,0.427910809226067,0.6303846241194748
8,80,1.1675,0.5597,0.9066,0.3962323872408588,0.6141073255108641
9,90,1.1604,0.5653,0.909,0.3447043193497609,0.5954414146479913
10,100,1.2988,0.5125,0.8948,0.31063051697581756,0.5586351246803234
11,110,1.1303,0.5664,0.9097,0.2480966004043516,0.5315824657201791
12,120,1.1757,0.5618,0.9076,0.2721729923025891,0.5340092130325598
13,130,1.0809,0.5847,0.9173,0.2770645694323278,0.5326186680772336
14,140,1.1407,0.5696,0.9126,0.2798363639919541,0.5439733215593551
15,150,1.1471,0.5624,0.9101,0.2701823328917535,0.5389615680490885
16,160,1.0661,0.5889,0.917,0.27122955378778696,0.5382624836676867
17,170,1.0376,0.6016,0.9203,0.24227265693756644,0.5173730668770078
18,180,1.0861,0.5905,0.9163,0.22110706507849767,0.4660022930855772
19,190,0.965,0.6218,0.9271,0.16974447629767153,0.45001056100590503
20,200,0.913,0.6388,0.9312,0.1746714047589722,0.4479490188955142
21,210,0.9363,0.6422,0.9298,0.043757641160592435,0.4378160809524135
22,220,0.8833,0.654,0.9347,0.0886092280744011,0.4408521216071646
23,230,0.8163,0.6756,0.9403,0.11586090163661847,0.4290336129215205
24,240,0.8305,0.6737,0.9386,0.10924678056182575,0.4455771056933988
25,250,0.8222,0.6776,0.9386,0.10597378815272332,0.4540689901716737
26,260,0.7715,0.6934,0.9431,0.09167850749385967,0.43740628849235297
27,270,0.7542,0.7007,0.9445,0.09844200343509549,0.45290986360390884
28,280,0.8261,0.6989,0.9407,0.05458906502466781,0.43618561708522885
29,290,0.7108,0.713,0.9482,0.06391300138245422,0.4394525323770535
30,300,0.6867,0.7187,0.9494,0.05498630458073082,0.44771576252904643
31,310,0.6818,0.7162,0.9499,0.056472336176693456,0.4590748002717368
32,320,0.7019,0.7118,0.9485,0.07609089663286235,0.46478398509582997
33,330,0.7141,0.7202,0.9489,0.059041060297347195,0.47003985017070793
34,340,0.6294,0.7332,0.9528,0.053241800132497234,0.45383789233569705
35,350,0.6561,0.728,0.952,0.052529597189304174,0.4471486894406954
36,360,0.6121,0.7413,0.9554,0.06069162804337498,0.45172333735086534
37,370,0.6175,0.7414,0.9532,0.05924543065879938,0.43423148082456525
38,380,0.5857,0.7486,0.9551,0.06181453914990151,0.4511804268672896
39,390,0.5502,0.7554,0.9576,0.06200217569828317,0.4368760029745308
40,400,0.552,0.7547,0.9573,0.052852769099585264,0.4435787426778382
41,410,0.545,0.749,0.9561,0.05246647366386866,0.44041269055199506
42,420,0.5446,0.7485,0.9566,0.04992665132411218,0.4223641785595784
43,430,0.5273,0.7551,0.9577,0.04757303305113936,0.4292677131409411
44,440,0.5077,0.7598,0.9582,0.03489530178574561,0.42698973112859345
45,450,0.5111,0.7597,0.9571,0.01660685685939392,0.4110821490317826
46,460,0.467,0.7745,0.9602,0.021341941268543926,0.4136764684639299
47,470,0.449,0.7705,0.961,0.023268474288420573,0.4337432651537555
48,480,0.4564,0.7711,0.9609,0.02883792471056778,0.43797877652626593
49,490,0.4598,0.7721,0.9612,0.024397349652659765,0.4287921816679189
50,500,0.4389,0.7783,0.9623,0.03278061662045453,0.42167655638560253
51,510,0.425,0.7759,0.9633,0.039078328972330434,0.4360414305809378
52,520,0.4303,0.7825,0.9629,0.039209864198158514,0.44137287500274974
53,530,0.4126,0.7838,0.9633,0.03711913859263098,0.42998491181570014
54,540,0.4098,0.7848,0.9619,0.05198909859095598,0.4438159607010601
