step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.017958656330749355,0.7337942660611265
1,10,6.1937,0.2046,0.621,0.024477113010446343,0.31678942533014137
2,20,5.1914,0.2642,0.7029,0.038008558181107197,0.30206752208898535
3,30,3.5315,0.3435,0.7708,0.03667613453592557,0.21599329285736454
4,40,1.9476,0.3704,0.8044,0.0464115971316005,0.2062861863609086
5,50,1.6788,0.4287,0.8301,0.046470245416992975,0.20927486251354913
6,60,1.487,0.4717,0.8605,0.052137348534026004,0.5175935508325592
7,70,1.5658,0.4576,0.8538,0.056122994803367555,0.4762064589343079
8,80,1.4713,0.4643,0.8633,0.06296855005123758,0.611106763162665
9,90,1.4744,0.4613,0.8696,0.05876242575910918,0.7199986213103952
10,100,1.3451,0.491,0.8848,0.6171286955859968,0.7602235387116023
11,110,1.3524,0.4977,0.8852,0.5922885640778769,0.7393907123914484
12,120,1.445,0.4675,0.8718,0.5663479373022929,0.7364247442119723
13,130,1.2693,0.5119,0.8929,0.525040810199983,0.7075676386313845
14,140,1.289,0.5105,0.8916,0.5089522587548265,0.6994673986498797
15,150,1.2128,0.5448,0.9023,0.5068350599850808,0.7101659061225742
16,160,1.1804,0.5592,0.9058,0.4762600028958642,0.669687445549052
17,170,1.2462,0.5448,0.9008,0.47269187846257177,0.6625266613552381
18,180,1.457,0.4867,0.8754,0.4272324926898831,0.6257848784311671
19,190,1.2184,0.5588,0.9014,0.3949956904656212,0.6116428583595115
20,200,1.2486,0.553,0.8992,0.3813965988335113,0.6017266483585116
21,210,1.2441,0.5862,0.9062,0.34948856858521476,0.5813912594331418
22,220,1.1558,0.594,0.9123,0.3262933896873105,0.5550098986901381
23,230,1.1799,0.6049,0.9129,0.3330298166915838,0.5745989067673517
24,240,1.1456,0.6041,0.9128,0.3269214114760932,0.5574455292434853
25,250,1.1865,0.6095,0.9142,0.3048042939741833,0.5426311294096948
26,260,1.3994,0.6108,0.905,0.30548636907407223,0.5496993377488434
27,270,1.4835,0.6073,0.9038,0.3141931703441584,0.5630068441803683
28,280,2.2185,0.5857,0.8934,0.3040270610398605,0.5566514098453704
