step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.0031111111111111114,0.753552948212586
1,10,6.1925,0.1949,0.6354,0.012717536813922356,0.5818401039587598
2,20,3.4104,0.2916,0.7074,0.012484198579036647,0.6691863425443174
3,30,2.1058,0.3394,0.7641,0.8414834979557871,0.8701834953892649
4,40,1.7994,0.412,0.8238,0.8071276770746649,0.8438829506818709
5,50,1.7388,0.4038,0.8267,0.7952931726907632,0.8408094911905181
6,60,1.6386,0.4089,0.8464,0.7488444571938547,0.8110093800727493
7,70,1.6345,0.4393,0.8522,0.7148385748120688,0.7720246887682489
8,80,1.5146,0.4544,0.8672,0.6903999999999999,0.7545931704920602
9,90,1.5186,0.4792,0.8759,0.6679245564892623,0.7449475757785091
10,100,1.3996,0.4745,0.8772,0.646859622647858,0.7126416940154597
11,110,1.5073,0.4567,0.8647,0.6190986127487677,0.6951351814828474
12,120,1.3512,0.5263,0.8882,0.6147189080954165,0.6928308315225817
13,130,1.5137,0.4607,0.864,0.5947893633171001,0.6912531208357425
14,140,1.3732,0.4991,0.88,0.5684651798973915,0.674391282209165
15,150,1.2722,0.5268,0.8948,0.5429924372265065,0.6553178356306586
16,160,1.2126,0.5499,0.9015,0.5422751627717707,0.6577686623525403
17,170,1.1964,0.5502,0.9037,0.507879481314937,0.6289402477702369
18,180,1.2714,0.5228,0.8949,0.47440344502739595,0.6133716572572399
19,190,1.1867,0.5551,0.905,0.23459774621280202,0.5856254050556593
20,200,1.1866,0.5604,0.9048,0.03658167909034902,0.5227702154909679
21,210,1.2097,0.5492,0.9023,0.029680521892205963,0.4309592692451263
22,220,1.2633,0.5399,0.8959,0.0316978861003435,0.3426827821904313
23,230,1.2297,0.5533,0.9023,0.028653551242827233,0.4037162706117303
24,240,1.1311,0.5855,0.9118,0.031868587990100825,0.38470082825768986
25,250,1.0954,0.5825,0.9158,0.033076836785144316,0.4847203140297992
26,260,1.1175,0.581,0.9138,0.08331205185766527,0.5224263982962966
27,270,1.1223,0.5817,0.9129,0.17138866487729223,0.519944546435474
28,280,1.4254,0.558,0.8918,0.2940500652795388,0.5476491024443937
29,290,1.1452,0.5639,0.9117,0.043313583602332846,0.52081280616202
30,300,1.0722,0.5923,0.9202,0.07883260360633067,0.5186695611635344
31,310,1.0497,0.5966,0.9195,0.04487099692520574,0.4959063574251233
32,320,1.0077,0.6197,0.9245,0.058896812852024916,0.5190684080609451
33,330,1.0093,0.619,0.9248,0.04732911261018966,0.47342525192489276
34,340,1.0529,0.6129,0.9197,0.1797178325584333,0.49490900025474416
35,350,1.1081,0.5976,0.9144,0.09556117617724856,0.4920160116741122
36,360,1.2207,0.6135,0.9093,0.04699994715403496,0.48741612951282975
37,370,1.2186,0.622,0.9124,0.0371205091213953,0.43079467950399875
38,380,1.2417,0.6055,0.9148,0.03541369430042407,0.4513719501755147
39,390,1.0713,0.6559,0.9273,0.03947160771268247,0.44207141304931546
40,400,0.96,0.6589,0.9311,0.03898819540988134,0.441490044265744
41,410,1.0341,0.6503,0.9287,0.033930280273248285,0.43888296776245456
42,420,0.9438,0.6678,0.9337,0.03628502515224548,0.44593477721667474
43,430,0.9718,0.6638,0.9306,0.030303464971517494,0.42485525137279817
44,440,0.9316,0.6569,0.931,0.03736725424279451,0.4349444040092825
45,450,1.0018,0.6624,0.929,0.03559706915358707,0.4495786330942047
46,460,1.1033,0.5976,0.9172,0.033194721409907306,0.441491262146792
47,470,0.93,0.6529,0.9301,0.034721759451381076,0.4399113215260447
48,480,0.9441,0.6672,0.9294,0.03646388453928727,0.4542509417347113
