step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.02240621981704025,0.6892802431398463
1,10,1.8393,0.3935,0.8237,0.04349031007751938,0.6813780438777013
2,20,1.4264,0.4887,0.8757,0.09008128214486055,0.668725313034454
3,30,1.2368,0.5429,0.8993,0.05115833839524281,0.57000668129548
4,40,1.1468,0.5715,0.9081,0.06099816784074422,0.5936463204002526
5,50,1.0878,0.5943,0.9136,0.05495009172251218,0.5911579071477711
6,60,1.0362,0.6073,0.9181,0.0413207509139287,0.5298685371829062
7,70,0.9841,0.6197,0.9215,0.03679275024296218,0.5002133626212673
8,80,0.9191,0.6387,0.9257,0.040107687063819036,0.48557505056601125
9,90,0.8662,0.6576,0.9313,0.039866540333016,0.44297664022010314
10,100,0.8387,0.6606,0.9323,0.038271858044944845,0.4525032387255291
11,110,0.8197,0.6728,0.9346,0.038821751311224416,0.46405517497818694
12,120,0.8059,0.6671,0.9356,0.038031679834542566,0.46635891829801945
13,130,0.775,0.681,0.9377,0.0526728009541264,0.47685511568531463
14,140,0.734,0.6946,0.9393,0.04760922130528349,0.4756117724490369
15,150,0.7175,0.6961,0.9419,0.048222693247896846,0.4536422630964772
16,160,0.6788,0.7099,0.9442,0.04777472945712584,0.4433422351474516
17,170,0.6777,0.7128,0.9447,0.03681487022584567,0.4222234724445976
18,180,0.6234,0.7246,0.9468,0.06158878671610711,0.4385304156574017
19,190,0.6058,0.723,0.9478,0.052440753398337016,0.44776778968946124
20,200,0.5718,0.7355,0.9487,0.06253413373853754,0.460581873081595
21,210,0.5675,0.732,0.9488,0.061792712610894876,0.45834320592080874
22,220,0.5328,0.7393,0.952,0.05791630399314334,0.4481538406390449
23,230,0.5214,0.747,0.9521,0.05888113707119151,0.44773083420484266
24,240,0.5214,0.7427,0.952,0.0504497562719495,0.45680464549475336
25,250,0.467,0.7514,0.9535,0.04398102770081293,0.44096438035276214
26,260,0.4904,0.7477,0.9521,0.03950071421255981,0.429493650222861
27,270,0.4425,0.7559,0.9543,0.041957237971699306,0.44092279987631366
28,280,0.4384,0.7522,0.9529,0.03688656775333606,0.43120918846011624
29,290,0.4247,0.753,0.9543,0.03858894545712229,0.4422679614953274
30,300,0.3936,0.7618,0.9546,0.047755551964193926,0.45567270907019203
31,310,0.351,0.7658,0.957,0.04381920252742373,0.4366504106735887
32,320,0.3545,0.7618,0.9564,0.03406377220946179,0.4233723868251458
33,330,0.3735,0.7547,0.9561,0.0299694455667251,0.42098879644650017
34,340,0.3491,0.7608,0.956,0.028951941862190432,0.42282610948779137
35,350,0.3464,0.7574,0.9553,0.03754366406887788,0.42982409445764796
36,360,0.3113,0.7631,0.9546,0.030961272533140315,0.43430481638917884
37,370,0.4064,0.7431,0.9537,0.03075198543534707,0.4284702444290643
38,380,0.3824,0.75,0.9521,0.026578090343921282,0.43150731182491786
39,390,0.359,0.7567,0.9566,0.02827763622975471,0.42772941270812215
40,400,0.3284,0.7629,0.9566,0.02811094642843437,0.43513589315911344
41,410,0.2766,0.7668,0.9576,0.03241507263582735,0.4511560628513631
42,420,0.2975,0.7548,0.9554,0.021346436346931726,0.4476749447567132
43,430,0.2992,0.7539,0.9559,0.026435353183403374,0.4629732817735288
44,440,0.3123,0.7465,0.9552,0.03263756479310582,0.46685561434837547
45,450,0.2689,0.7593,0.9576,0.029834463458704018,0.46916652381078155
46,460,0.2525,0.7546,0.9574,0.028163854227674152,0.47105766074807776
47,470,0.24,0.7579,0.957,0.02963271138991576,0.4685034939923697
48,480,0.1855,0.77,0.9574,0.03143506442696056,0.47594824312909023
49,490,0.3057,0.742,0.9537,0.02589603665324602,0.47637355338626214
50,500,0.3019,0.7387,0.9505,0.018023474324566253,0.4803012429573214
51,510,0.2589,0.7484,0.9533,0.017865899794900286,0.4686973223178221
52,520,0.2288,0.7487,0.9545,0.019120192530378707,0.4687310486420897
53,530,0.2256,0.7511,0.9554,0.016043992617647333,0.47299868717677546
54,540,0.3009,0.74,0.9521,0.0174132470959495,0.47010474060797014
55,550,0.3428,0.7354,0.9495,0.02283333328645158,0.4727313075669171
56,560,0.213,0.7504,0.9541,0.016658473277164236,0.464791904172718
57,570,0.1928,0.7547,0.955,0.01572056786462882,0.47862678114969387
58,580,0.2283,0.7509,0.9526,0.016813564289624255,0.4744913954405092
59,590,0.2383,0.7504,0.953,0.017554505162232763,0.46434410304726464
60,600,0.274,0.7432,0.9528,0.016299613177548678,0.463517842782626
61,610,0.1962,0.7518,0.9553,0.013964705315437411,0.46082152040681645
62,620,0.2215,0.7495,0.9545,0.016482323813234185,0.47204974656959586
63,630,0.2758,0.7369,0.9521,0.012080658714990809,0.4666940263080621
64,640,0.1417,0.7614,0.9565,0.01470195202650421,0.4773811208431763
65,650,0.1835,0.7526,0.9548,0.015239566223795393,0.4688987139568703
66,660,0.1564,0.7583,0.9562,0.012546361083830178,0.46891832803837913
67,670,0.2208,0.742,0.9536,0.015542040069009224,0.48489304155321306
68,680,0.2338,0.7466,0.9527,0.01899832816244782,0.4809536192809846
69,690,0.238,0.7482,0.9505,0.014835374210422953,0.47484871161295394
70,700,0.1968,0.749,0.9527,0.0141150912947797,0.4684434374995943
71,710,0.2088,0.7498,0.9532,0.013548860111520766,0.472912215288643
72,720,0.2023,0.7613,0.9538,0.012389585214763136,0.47033544743130395
73,730,0.1066,0.7593,0.9552,0.01620561671717177,0.48132350336939733
74,740,0.1106,0.7677,0.9573,0.01421142980635649,0.4792910862243228
75,750,0.1966,0.7477,0.953,0.018958485496737607,0.48514063098648996
76,760,0.1767,0.7505,0.9541,0.019605422032253298,0.4869788390533033
77,770,0.1735,0.7471,0.9534,0.018142603147408357,0.4748948498937322
78,780,0.1508,0.7484,0.9534,0.01622184862481592,0.4691575822321009
79,790,0.317,0.73,0.9449,0.01182171515767431,0.4750215751300756
80,800,0.2004,0.7423,0.9505,0.00964816968081818,0.4716333689525254
81,,,,,0.010124368059924007,0.46739397538584687
82,,,,,0.011812632263473547,0.48424941724610227
83,,,,,0.014143316844808957,0.4826151283965577
84,,,,,0.01215099567104433,0.46925246384203145
85,,,,,0.016613900457677723,0.47715088104877584
86,,,,,0.017322442409783482,0.4701948430281294
87,,,,,0.021014308060613756,0.46786708178120767
88,,,,,0.018909838577410285,0.46959538935653755
89,,,,,0.018751375623388557,0.46359884144079344
90,,,,,0.01818797781352124,0.4619858921165039
91,,,,,0.0188764691406836,0.4727715822310462
92,,,,,0.02151684864100547,0.4761211716949086
93,,,,,0.01838262209406995,0.46653498195448445
94,,,,,0.018448202563481328,0.4688085505487836
95,,,,,0.009344156871889232,0.4739326384848679
96,,,,,0.01090481272810911,0.47647680921145413
97,,,,,0.013309191326767694,0.4724303946835631
98,,,,,0.012619657827277498,0.4802942629902755
99,,,,,0.011584237959765698,0.4744147434158066
100,,,,,0.009135593266665559,0.47807158717173
101,,,,,0.010018530253081427,0.4742768829864872
102,,,,,0.009237900914665358,0.4688996633752965
103,,,,,0.009147094017377174,0.4765809749903376
104,,,,,0.01315388804513874,0.47960533290931107
105,,,,,0.008247668471853212,0.4569824659854206
106,,,,,0.009304473883767818,0.4685003376715559
107,,,,,0.015554321196919345,0.48099602950747383
108,,,,,0.015047137309073937,0.4861589694132539
109,,,,,0.00984683066000255,0.4731013218885915
110,,,,,0.012508021288173108,0.47929982992275216
111,,,,,0.009771689525983984,0.4749041403550113
112,,,,,0.01337439418131603,0.4734069233396169
113,,,,,0.009099298468447465,0.4634967315094108
114,,,,,0.010085735301037109,0.45495134567298484
115,,,,,0.008723789275020226,0.46357902696556935
116,,,,,0.009686052849037226,0.47479794335384545
117,,,,,0.007496769596693796,0.4755902386739429
118,,,,,0.007653054529957181,0.47998891897818746
119,,,,,0.008986527289096966,0.4895641459057802
120,,,,,0.006493882901206142,0.4806514217117662
121,,,,,0.010352003778019732,0.49068388801320195
122,,,,,0.025491123746612165,0.499630422944229
123,,,,,0.014154690148135004,0.5000312354373189
124,,,,,0.013808726643224816,0.49963809886925503
125,,,,,0.01839976739899698,0.5029264670808804
126,,,,,0.02422076085180105,0.5209389229218484
127,,,,,0.02087318847971616,0.5063676583683284
128,,,,,0.023027406710921423,0.5098332935171054
129,,,,,0.02548598738798234,0.500728453328533
130,,,,,0.013742427175472605,0.48449348974442646
131,,,,,0.015477802845032546,0.4763600805858277
132,,,,,0.01453849560774,0.4819551716821543
133,,,,,0.01695003069835713,0.48773735026635057
134,,,,,0.01241256520556298,0.4940160511456041
135,,,,,0.015716796751036995,0.5016929320754818
136,,,,,0.014086891418349496,0.5023182951974131
137,,,,,0.01134558338532096,0.4818415248733898
138,,,,,0.013053422655039643,0.4870847662091618
139,,,,,0.012238810145036257,0.49451456766195984
140,,,,,0.015466680346077302,0.5036943093828912
141,,,,,0.014382039133274009,0.49537225949746816
142,,,,,0.021955330648816013,0.4861218007359769
143,,,,,0.01670877752568351,0.4950511246200836
144,,,,,0.021143366865846582,0.506501988525183
145,,,,,0.014538700369606,0.4908770416285254
146,,,,,0.015826520949804173,0.49224976109631147
147,,,,,0.016337990543559968,0.5053049314132845
148,,,,,0.02172732465691434,0.5164182356511197
149,,,,,0.01678514166351143,0.5087429917250603
150,,,,,0.024567166392721544,0.520709128956404
151,,,,,0.02581188641953504,0.524000890436435
152,,,,,0.017222880607335855,0.5094508233814685
153,,,,,0.02046817842610266,0.5133625590204425
154,,,,,0.01413752643364264,0.5085875258368526
155,,,,,0.01544083147466448,0.5153595372625025
156,,,,,0.015245333831777617,0.5100330752673694
157,,,,,0.01537815597309568,0.507988050224604
158,,,,,0.015805611003045745,0.5063412805195646
159,,,,,0.022259523602202673,0.5140240935699538
160,,,,,0.011990351674721213,0.5029847739380702
161,,,,,0.022239411360661196,0.5049587385401944
162,,,,,0.017751812466690615,0.5211764725497738
163,,,,,0.018197796377097113,0.5376325954531951
164,,,,,0.018292157920078152,0.5430901274940769
165,,,,,0.021313285106703606,0.5305191620762393
166,,,,,0.01790026670512923,0.5258942493064914
167,,,,,0.014557321454667104,0.525391044203985
168,,,,,0.014971134314092858,0.5180069531845118
169,,,,,0.020295747863662544,0.5108338288568748
170,,,,,0.018287483878925308,0.5153347226298233
171,,,,,0.014278841187330629,0.5210423863442897
172,,,,,0.022906900770082114,0.5421527167080403
173,,,,,0.01604731333019294,0.535058340717857
174,,,,,0.017229274528809953,0.5309978590179688
175,,,,,0.016894030349733722,0.523673226339178
176,,,,,0.018674632295770533,0.5203315539996403
177,,,,,0.02028902491665628,0.534693122302412
178,,,,,0.017594648412310256,0.5322468361918362
179,,,,,0.017964894787039044,0.5368652318942725
180,,,,,0.016626354534809318,0.5313385299050438
181,,,,,0.019972155704719215,0.5352851768876875
182,,,,,0.01577017921226433,0.5239682428670741
183,,,,,0.021311467012942693,0.5320163083961706
184,,,,,0.02101032421876445,0.5410363610156799
185,,,,,0.019355793800867518,0.5319518892956451
186,,,,,0.02164456930243319,0.5428142639579284
187,,,,,0.01778825184637659,0.5225218885061735
188,,,,,0.020319640084851983,0.5307981758912668
189,,,,,0.021345961061073872,0.5290848019753231
190,,,,,0.016995159431497216,0.5211037806616382
191,,,,,0.018369932374092658,0.522795632990236
192,,,,,0.015572691903682063,0.5313523326690585
193,,,,,0.020150330353918236,0.536596325325794
194,,,,,0.03133360328139873,0.5353214459774258
195,,,,,0.029203015221095353,0.5441462275717199
196,,,,,0.02250543619649499,0.5404032536050214
197,,,,,0.021981606347526248,0.5334523476240969
198,,,,,0.01909774330153454,0.5328519320486339
199,,,,,0.027416215097904498,0.5388690864617856
200,,,,,0.03845314894330873,0.5598926064425812
201,,,,,0.032397741802962315,0.5558821016391189
202,,,,,0.029021420143437688,0.5574628389844783
203,,,,,0.029613996427324315,0.5572013592582953
204,,,,,0.03579333935175995,0.5676363083139387
205,,,,,0.03673400440861344,0.5542775464557324
206,,,,,0.0325612544732139,0.5443216645009883
207,,,,,0.021023980012391582,0.5404754541125613
208,,,,,0.02023114814619798,0.5315688897069586
209,,,,,0.023191511289486957,0.5314564337820633
210,,,,,0.022513325537475953,0.5330610573537103
211,,,,,0.03148909018661078,0.529834249095217
212,,,,,0.02487130274532283,0.5406539534510395
213,,,,,0.03028895519051444,0.5445881093094158
214,,,,,0.0352955886915422,0.5529261202044683
215,,,,,0.04090217238556192,0.5542575363932781
216,,,,,0.0369227822587345,0.5523064834215541
217,,,,,0.028056580209532958,0.5490818472666577
218,,,,,0.03311679668803794,0.5561611409609852
219,,,,,0.037101022298647424,0.5513088866808424
220,,,,,0.03127183652346258,0.5376352991123903
221,,,,,0.026228738308910978,0.549257084587673
222,,,,,0.03055110674297365,0.5485565977605354
223,,,,,0.026550381312069982,0.5511479377141102
224,,,,,0.03884496046642941,0.5535044795760993
225,,,,,0.03789516001517952,0.5589991751783909
226,,,,,0.030388834393852395,0.544576045826701
227,,,,,0.023741186648610486,0.5462762847720928
228,,,,,0.022036352121480484,0.5297574364283654
229,,,,,0.01973022906595373,0.5464659307423969
230,,,,,0.026612600575748747,0.5490309788335944
231,,,,,0.024751736677342536,0.5582504766022757
232,,,,,0.02817421076635774,0.5469981470627338
233,,,,,0.03829128749294506,0.573549972527119
234,,,,,0.03603873342928995,0.564880197189847
235,,,,,0.033207848702408775,0.5762107855616614
236,,,,,0.05092213726622108,0.571084062476109
237,,,,,0.044681614131819,0.5625667006860096
238,,,,,0.03797031758439506,0.5640715809605701
239,,,,,0.036798994805829155,0.5661621727944021
240,,,,,0.037135052642377646,0.5634577867142371
241,,,,,0.05488663505728931,0.5701303721624544
242,,,,,0.044981044314213785,0.5730094661989611
243,,,,,0.04413403170850132,0.5760457465767826
244,,,,,0.05019167750170365,0.5771709761265825
245,,,,,0.03905266802868895,0.5715286385720663
246,,,,,0.034042074570619356,0.5634178520011256
247,,,,,0.05069667917585688,0.5657989913643838
248,,,,,0.037930670937393225,0.5823520565391876
249,,,,,0.05415379595503156,0.5992243064274846
250,,,,,0.05082967822236873,0.5957197422448277
251,,,,,0.04155947108028645,0.5864786655960468
252,,,,,0.04497245642821423,0.5917786594533716
253,,,,,0.048191885748188744,0.5955611353294701
254,,,,,0.06355017562530017,0.6037018165710389
255,,,,,0.060183902627086276,0.6021096907243353
256,,,,,0.05639220457941241,0.5889452744108726
257,,,,,0.05470285729382425,0.5847040865067523
258,,,,,0.047678797539244706,0.5762040961837559
259,,,,,0.04718633741452353,0.5752877531669278
260,,,,,0.05237369507003184,0.5788395536341651
261,,,,,0.04496211329963052,0.5838436276693921
262,,,,,0.05458390197494594,0.5846696286190771
263,,,,,0.03884131253125778,0.577598898641161
264,,,,,0.036904959753290674,0.5752045667969774
265,,,,,0.048813860682418914,0.5775618789829686
266,,,,,0.040260509330762195,0.564328299056948
267,,,,,0.04029326057565026,0.5557178285740164
268,,,,,0.03942135803941676,0.5641809721594264
269,,,,,0.04151258893362966,0.5766786174937757
270,,,,,0.04283799990461494,0.5759857439696893
271,,,,,0.0430401445737727,0.5792831460908487
272,,,,,0.04342405732793307,0.572438082593758
273,,,,,0.05233019086037168,0.5916153629087506
274,,,,,0.04373724797965979,0.5796941121677333
275,,,,,0.04470086054273922,0.5800594341453762
276,,,,,0.04683968844546323,0.5754506689981501
277,,,,,0.05201390010731134,0.5798412812599841
278,,,,,0.048379439712239826,0.5898383582192177
279,,,,,0.047321859000020595,0.589939900153912
280,,,,,0.041926593391586504,0.5964426509622919
281,,,,,0.05603360251539083,0.6123197650210515
282,,,,,0.07365150246209945,0.6099565952762547
283,,,,,0.055416641041596125,0.5948002284685245
284,,,,,0.05646099975415727,0.5891913317315908
285,,,,,0.04747597619808083,0.5932991271045763
286,,,,,0.05119016410192015,0.6009028707492692
287,,,,,0.05833012919043515,0.6096148768492046
288,,,,,0.05114320552788051,0.5884915653436125
289,,,,,0.05291540695217781,0.6057320632679045
290,,,,,0.0664726375212723,0.6038700395938472
291,,,,,0.07336577164939842,0.6106115278253679
292,,,,,0.07155768402359669,0.6209640221128178
293,,,,,0.06996552855354864,0.6208450102583394
294,,,,,0.0661071054948121,0.6152120086951134
295,,,,,0.058837054483998,0.5956511129408892
296,,,,,0.05877796317720231,0.5949089423263527
297,,,,,0.060882082141584665,0.5980108411476789
298,,,,,0.06744585941550178,0.5937424773283838
299,,,,,0.08114276684778238,0.6114190346284402
300,,,,,0.07054534828782545,0.621262135060556
301,,,,,0.06742488327937445,0.6175623471777492
302,,,,,0.06430578264176422,0.628259637933923
303,,,,,0.06831910375429298,0.6214385614793518
304,,,,,0.07620544644493035,0.6370773061191018
305,,,,,0.07920487082119121,0.6387335993585613
306,,,,,0.0823786035720372,0.6365183644260392
307,,,,,0.07485076219689855,0.6267486283740236
308,,,,,0.05770650548055785,0.614361570263092
309,,,,,0.06714914901345224,0.6203927925615894
310,,,,,0.07712190897055117,0.6314489424614489
311,,,,,0.07676816175792685,0.6418819646430004
312,,,,,0.08063670222698628,0.644165092147277
313,,,,,0.09400283150085673,0.6461116971264368
314,,,,,0.09720794195477635,0.6461995857928718
315,,,,,0.1100359955452199,0.6674794557554331
316,,,,,0.10282248206887008,0.6689346951106133
317,,,,,0.10885750855003394,0.6658323633878981
318,,,,,0.08921202618615465,0.6519504959735622
319,,,,,0.07644933294444575,0.635839363492922
320,,,,,0.0671523922103547,0.6171145424113662
321,,,,,0.057253284640387855,0.6114382787922512
322,,,,,0.0843880903533719,0.6177580346959206
323,,,,,0.07861703518110072,0.6350189968503982
324,,,,,0.07202813179953174,0.6154188028941976
325,,,,,0.0774447501011477,0.6331236807469875
326,,,,,0.07268971590795231,0.6139920005833422
327,,,,,0.06559224485996236,0.6025856556453467
328,,,,,0.04719811595305982,0.583317864938899
329,,,,,0.08727503953765367,0.5954211900262121
330,,,,,0.07933664797947902,0.610946728233233
331,,,,,0.08874879440330537,0.6152064152402765
332,,,,,0.09977000287183624,0.6391560590235795
333,,,,,0.1149285226728918,0.6387622212519118
334,,,,,0.10951256546822662,0.6508037230418566
335,,,,,0.1040446844640505,0.6370490490580143
336,,,,,0.1187171694377896,0.6585523740515711
337,,,,,0.11265033623019123,0.6505374858395899
338,,,,,0.0980089344734502,0.639796237148558
339,,,,,0.08533008351407503,0.6255066768977003
340,,,,,0.10169000426524494,0.632591517969013
341,,,,,0.11316876444381747,0.658628979673085
342,,,,,0.11261010383707228,0.6574850481490682
343,,,,,0.10026427397794807,0.6628275187860921
