step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.008444444444444445,0.7179302389857611
1,10,4.2324,0.1574,0.6043,0.0023234848842265724,0.7786803469331034
2,20,3.3151,0.2001,0.6337,0.8134887767401212,0.9165779970341315
3,30,2.1987,0.2709,0.7082,0.7526651035573678,0.8949662021910251
4,40,2.0383,0.2756,0.7349,0.6326894654485535,0.7549454984554158
5,50,1.9557,0.3162,0.7591,0.5650876222024328,0.7781530454458249
6,60,1.8056,0.3195,0.7891,0.006537005015933807,0.3475704873433236
7,70,1.7116,0.3914,0.8046,0.5795916417878916,0.8619497694806041
8,80,1.651,0.4013,0.8168,0.3852838325288698,0.6242370300690653
9,90,1.6542,0.3993,0.8198,0.469053900289122,0.733232798287728
10,100,1.521,0.4415,0.8322,0.35201241066758754,0.5793550051218506
11,110,1.6216,0.3959,0.8193,0.11733279177269572,0.5864716842383866
12,120,1.5936,0.4282,0.8155,0.3151822405505727,0.5783710348266723
13,130,1.555,0.4361,0.8294,0.23788074924849217,0.4903865074824249
14,140,1.5031,0.4381,0.8391,0.13579190124965385,0.43175049166751234
15,150,1.517,0.4278,0.8321,0.20985079414614488,0.5192166821251658
16,160,1.4885,0.4338,0.8387,0.3131452683704185,0.7144320807801948
17,170,1.629,0.3984,0.8162,0.27746197017269536,0.6700513470435078
18,180,1.7817,0.4029,0.7827,0.2535915752026037,0.6360083615947928
19,190,1.6474,0.4034,0.8109,0.20169193199706573,0.5730580291570179
20,200,1.6838,0.4078,0.794,0.32179555907206875,0.7414906763193773
21,210,1.8252,0.3926,0.7992,0.12494258110913768,0.5375400691058368
22,220,1.6781,0.4086,0.8049,0.07798869589663941,0.5386088398919723
23,230,1.6278,0.4046,0.7991,0.3157663924775115,0.6953648957825237
24,240,1.729,0.3979,0.7857,0.32273724583576924,0.7394602542600771
25,250,1.8553,0.3671,0.7799,0.08079069190832769,0.4943844059739554
26,260,1.6987,0.3823,0.7865,0.23924877293464547,0.6709924848945287
27,270,2.3225,0.3547,0.756,0.22526452729420268,0.5750237475725072
28,280,1.8971,0.3848,0.7796,0.0451306115760712,0.3757081149369507
29,290,1.5716,0.4048,0.7908,0.008964274978629045,0.48691570297112763
30,300,1.7514,0.3876,0.7805,0.06909982140074254,0.501685267800887
31,310,1.786,0.3788,0.7766,0.052848037433938594,0.5069714825572994
32,320,1.8926,0.3855,0.7632,0.21112829995778667,0.5828962669836077
33,330,1.5654,0.4099,0.7857,0.0775423376206489,0.41206241430694085
34,340,1.8004,0.3957,0.7703,0.15083476342512633,0.5803363593531465
35,350,2.4117,0.3417,0.7603,0.18703521752062993,0.6275920706871073
36,360,1.7905,0.3656,0.7682,0.000347383713295855,0.44131340509433786
37,370,1.741,0.41,0.7755,0.010599525210820398,0.44633846308840924
38,380,2.3328,0.3708,0.7572,0.15083823346783284,0.5717949906967954
39,390,1.6595,0.4179,0.7863,0.027221048188071587,0.5268059766955798
40,400,1.5543,0.422,0.7891,0.18588865576379154,0.585443652753667
41,410,1.5679,0.4141,0.781,0.1628756484577012,0.5699317908287822
42,420,1.7983,0.3651,0.772,0.24512510334097165,0.6244484485570045
43,430,1.5894,0.4095,0.7807,0.031110548135570435,0.45681387615958313
44,440,1.4275,0.425,0.7902,0.20982648726818517,0.5930816057629584
45,450,1.4319,0.4227,0.7885,0.07795259370037036,0.5150004419155603
46,460,1.3108,0.4246,0.8019,0.20062234601474074,0.5526683883512182
