step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.0208994708994709,0.7353802705574343
1,10,5.8718,0.2062,0.6304,0.8746324516769279,0.9210387012166776
2,20,2.8905,0.1818,0.64,0.021838775242591132,0.11116992334567335
3,30,2.1974,0.2498,0.7089,0.040603723620348225,0.2510993200863879
4,40,2.0854,0.2372,0.7279,0.15293969154032372,0.30633830636527015
5,50,2.0881,0.2522,0.7303,0.04047395567367165,0.3387121545159071
6,60,1.8691,0.3285,0.767,0.2867722848748434,0.6745898161503296
7,70,1.6292,0.392,0.8144,0.13639475275744417,0.3718164882498182
8,80,1.6333,0.4019,0.8228,0.2812800216757049,0.5739146496417761
9,90,1.7561,0.3563,0.8079,0.01863025309168676,0.423717486115772
10,100,1.628,0.4227,0.837,0.20844418581989135,0.6602131599259665
11,110,1.634,0.4252,0.8243,0.2766739655713119,0.7211926612961032
12,120,1.5867,0.4328,0.8382,0.15260191971926323,0.5455366920286197
13,130,1.5034,0.439,0.8447,0.10195413714281824,0.5491473719818807
14,140,1.5689,0.4569,0.8481,0.16173028578421988,0.5404932429098719
15,150,1.6758,0.4008,0.821,0.19952995201260496,0.5811732192265477
16,160,1.8905,0.4027,0.8255,0.18420520252931485,0.6594894300832803
17,170,1.5963,0.4127,0.8154,0.2436176805104198,0.7331543187363584
18,180,1.8145,0.3837,0.7956,0.1142655677906612,0.6231438259069305
19,190,1.8257,0.4082,0.7947,0.17288286390625968,0.5697037790783779
20,200,1.6854,0.4102,0.8156,0.01962323652708193,0.5510193464457873
21,210,1.5866,0.4203,0.8155,0.3153427138348864,0.7381256726827233
22,220,1.8233,0.3808,0.8013,0.008276058560550045,0.585044277295741
23,230,1.6072,0.4165,0.8116,0.015614990555834688,0.5960898873115346
24,240,1.7447,0.4022,0.8002,0.28712507509515,0.6749591696652227
25,250,2.4292,0.362,0.776,0.019836459341436276,0.5227218105481265
26,260,1.9506,0.39,0.7755,0.27670122664128655,0.7130237227173887
27,270,1.9366,0.3886,0.7796,0.2355588115748374,0.6593586756084541
28,280,1.7398,0.3976,0.7933,0.0562764099228049,0.5288716742500968
29,290,1.6825,0.4132,0.7893,0.01710912287561812,0.5723582008952881
30,300,1.9907,0.3969,0.782,0.0714145149906786,0.593224460573688
31,310,2.7137,0.3607,0.761,0.24876413590337107,0.6973087975037208
32,320,2.3801,0.3725,0.7658,0.31775897021931027,0.7301766009362606
33,330,2.1187,0.3815,0.7611,0.14861577226148345,0.6392905256843814
34,340,1.9447,0.3503,0.7545,0.4193623083322376,0.7728723337214815
35,350,1.9767,0.391,0.7589,0.06521497597215913,0.5594575754870763
36,360,1.7961,0.3734,0.7763,0.01588830867574429,0.5400010759148149
37,370,1.9117,0.3847,0.7726,0.019470680398757916,0.5397489216941914
38,380,1.7931,0.3919,0.7773,0.3461522225016293,0.7416532375078362
39,390,1.6341,0.3937,0.7622,0.041541728447940476,0.4958306685669316
40,400,1.7144,0.3889,0.7806,0.03728123430067311,0.5804743569565546
41,410,2.1073,0.3976,0.7625,0.040026853553192646,0.6203957838805032
42,420,1.8439,0.402,0.7672,0.005454089148353279,0.4814627400147274
43,430,1.5724,0.3956,0.778,0.1276405040414775,0.575257940570527
44,440,1.8757,0.4237,0.7686,0.07881780965635496,0.5263776583180211
45,450,1.5549,0.4241,0.7854,0.031763525217406496,0.5087866311004632
46,460,1.8695,0.415,0.7702,0.12660270003219068,0.5534279780030728
47,470,1.7907,0.4171,0.7699,0.06229915985707424,0.5890232291938235
48,480,1.7597,0.4187,0.7717,0.03683045821466411,0.5416357481595924
49,490,1.8313,0.4109,0.7648,0.0650812862417733,0.583462337175704
50,500,1.7455,0.4172,0.7652,0.1583795221528326,0.6191585545440269
51,510,1.7664,0.4307,0.7707,0.04335419206119459,0.5280343266672491
52,520,1.783,0.4243,0.7688,0.10837011655545048,0.6050997907264294
53,530,1.736,0.4252,0.7785,0.18507367174524086,0.6290918194971341
54,540,1.6675,0.4332,0.7732,0.23216969343786617,0.7160895527850357
55,550,1.6252,0.4239,0.7784,0.27826574506558305,0.7228142026990987
56,560,1.5771,0.449,0.7869,0.17114854842745594,0.6753348378005805
57,570,1.4581,0.4485,0.7916,0.0721688171318093,0.5628840177853298
58,580,1.4927,0.4541,0.7897,0.14899251892164192,0.5868534069864185
59,590,1.2729,0.4362,0.7936,0.043205857742823095,0.5613508688065512
60,600,1.4468,0.4498,0.789,0.16477205137243905,0.6598895853101343
61,610,1.2369,0.4459,0.7938,0.2340536727936193,0.6842349927058754
