step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.014927275453591245,0.7181138751576626
1,10,12.0224,0.1906,0.6016,0.0,0.5115712102882286
2,20,5.609,0.192,0.6543,0.00581420092194699,0.6082269765846356
3,30,3.0554,0.2802,0.7079,0.009239906345143616,0.6836913754924396
4,40,2.2109,0.2883,0.7552,0.6290175781599765,0.7681280499530316
5,50,1.8112,0.3279,0.7834,0.004879421065906137,0.15045734532924368
6,60,1.8552,0.3009,0.7953,0.4980974665284632,0.6492020318967826
7,70,1.6597,0.3838,0.8148,0.4877256185949077,0.697428077163804
8,80,1.6937,0.3633,0.8226,0.4717795477356382,0.651536443946612
9,90,1.5437,0.4209,0.8425,0.015107802255808895,0.5732730520228304
10,100,1.5745,0.392,0.8359,0.002662428115567143,0.4868276090000673
11,110,1.532,0.436,0.8499,0.3877464193831927,0.603966488602331
12,120,1.5394,0.43,0.8386,0.009216963395021672,0.508926507950464
13,130,1.6845,0.3929,0.8212,0.04456667696213024,0.5731377179192856
14,140,1.4982,0.4413,0.8469,0.062286146647303635,0.5971358687697993
15,150,1.3932,0.4789,0.8506,0.30508736010831744,0.5995318331174166
16,160,1.6394,0.4249,0.8247,0.2707308190770028,0.5726903423340642
17,170,1.8617,0.3953,0.8186,0.011886267219468618,0.33480311166051396
18,180,1.5122,0.4402,0.831,0.3107545312738918,0.6088470086275198
19,190,1.6081,0.4288,0.8141,0.33761270956812717,0.6706489817468368
20,200,1.504,0.4302,0.8149,0.3133768009092413,0.6035178424737603
21,210,1.7162,0.4153,0.8124,0.013586468183312177,0.33432562891538004
22,220,1.5209,0.4328,0.8101,0.20206702440859187,0.4558142677174759
23,230,1.9405,0.3839,0.7928,0.04029072439478908,0.41137634894858954
24,240,1.9311,0.3583,0.7938,0.0035617034104573502,0.2567058181221605
25,250,1.698,0.4217,0.8002,0.20849073708117624,0.5162345458912616
26,260,1.9198,0.3855,0.785,0.03658969574522316,0.42663152298608226
27,270,2.0217,0.3941,0.7672,0.10803819594035874,0.37869149705277727
28,280,1.6922,0.3933,0.7844,0.01926274346500501,0.35772995622016335
29,290,1.8457,0.3908,0.7842,0.16835423774598487,0.46647100790092566
30,300,2.1019,0.3784,0.7739,0.0010540750975820941,0.28411377949667516
31,310,1.9757,0.3768,0.7811,0.11417677410359958,0.4381732626247243
32,320,2.078,0.3545,0.7679,0.13944552019157258,0.4397235604678884
33,330,2.0323,0.3716,0.7629,0.13207320128490538,0.49061534509419336
34,340,1.6709,0.4013,0.778,0.2245260720121435,0.5407878242170743
35,350,1.8077,0.3703,0.7786,0.0015442421239522687,0.28077710481154566
36,360,1.9059,0.3861,0.7622,0.04124764292961922,0.38056320584807735
37,370,1.9673,0.3659,0.7685,0.016742792408174757,0.34817327689480476
38,380,1.5583,0.4054,0.7778,0.03664666874495785,0.41521404514324234
39,390,1.6939,0.3786,0.7761,0.0977212301499513,0.49060703875586553
40,400,1.6391,0.4152,0.7722,0.004302901197660001,0.28538276293481163
41,410,1.5392,0.4231,0.7812,0.015998981410359124,0.36913963636509695
42,420,1.4786,0.4245,0.7885,0.09095647475702542,0.4363556781886078
43,430,1.5505,0.409,0.7853,0.05444298019539184,0.43538753198411534
44,440,1.4046,0.44,0.7907,0.009277908901663223,0.3239477709323205
45,450,1.3312,0.4398,0.7946,0.15448943912363924,0.6874070183805918
46,460,1.5172,0.4302,0.7855,0.7335588944634581,0.9312628398836703
47,470,1.5465,0.426,0.784,0.4645729589053609,0.8171319431924748
48,480,1.2278,0.441,0.7929,0.721855472100358,0.9422750060939726
49,490,1.5097,0.4302,0.7851,0.45810174758816885,0.8158792188198448
50,500,1.5079,0.394,0.7766,0.5683470291111637,0.8537924385308565
51,510,1.3265,0.4384,0.7963,0.361504121946775,0.7321273581382498
52,520,1.136,0.4449,0.8001,0.5709585593787381,0.8550541011113543
53,530,1.3072,0.4177,0.7933,0.3943022660729213,0.779791576974069
54,540,1.2233,0.4591,0.801,0.3603081058894364,0.751077245017284
55,550,1.3597,0.4481,0.7903,0.7189865908853185,0.9206121785086484
56,560,1.2756,0.4638,0.8018,0.5847790347197794,0.8762155933071796
57,570,1.322,0.4637,0.8011,0.804257064820486,0.9525139193885724
58,580,1.3613,0.4655,0.7992,0.8573353444501112,0.9665186703501948
59,590,1.1658,0.4743,0.8025,0.678102691090352,0.9212289968163723
60,600,1.0941,0.4562,0.8023,0.6611541663062149,0.9270408027132997
61,610,1.0946,0.4725,0.8045,0.8081485415228916,0.9499475399222143
62,620,1.3393,0.4339,0.8019,0.8044792882624773,0.94968492878995
