step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.011916264090177134,0.7402070658594436
1,10,2.8946,0.3749,0.7624,0.8272979066022543,0.862428161862157
2,20,1.7083,0.4942,0.8556,0.023517784906845297,0.7792675018347874
3,30,1.1607,0.5865,0.9056,0.6707305757509491,0.7553522867748139
4,40,1.0791,0.6025,0.9161,0.028819101593950354,0.6701544504280864
5,50,0.9949,0.6299,0.9239,0.05172349774166392,0.6945971912821719
6,60,0.9705,0.6379,0.9286,0.06937214116501152,0.6629141553565513
7,70,0.884,0.6581,0.9348,0.05506094672214822,0.6357557750032934
8,80,0.7984,0.6747,0.94,0.4071966987626288,0.6181269895678985
9,90,0.755,0.682,0.9414,0.04343592203930199,0.603087736610343
10,100,0.6712,0.7084,0.9484,0.35210376542228083,0.6109503908454381
11,110,0.6068,0.7125,0.9485,0.32210104098944076,0.6016629673866949
12,120,0.584,0.7094,0.9472,0.297823898051776,0.5758955312451947
13,130,0.593,0.7162,0.95,0.2799492515388576,0.5815431302080055
14,140,0.5564,0.7205,0.9489,0.27910178394547364,0.5830973450263521
15,150,0.5575,0.7113,0.946,0.236809149243366,0.579772540429406
16,160,0.4722,0.72,0.9501,0.21478224027047743,0.5626799484197366
17,170,0.4533,0.7237,0.9514,0.1800182111094414,0.5336928277755089
18,180,0.4808,0.7148,0.949,0.16676165840119497,0.5315781629729995
19,190,0.4393,0.7275,0.9509,0.15336323250415704,0.5518254705948727
20,200,0.3398,0.7348,0.9535,0.11783301747336794,0.5106674245166457
21,210,0.3434,0.7337,0.9535,0.1178796927358992,0.5171814907655278
22,220,0.3322,0.733,0.9541,0.11799878657221535,0.526187878572397
23,230,0.2425,0.7412,0.956,0.1244611377972474,0.5531442118316585
24,240,0.2604,0.7328,0.9549,0.11833987769107993,0.5600868351440694
25,250,0.2927,0.7338,0.9546,0.10650306473549444,0.5432382664639352
26,260,0.2801,0.7367,0.9555,0.10259649436801636,0.5329213979672673
27,270,0.2856,0.7397,0.954,0.10469845641402299,0.5444257570750369
28,280,0.278,0.7319,0.9543,0.11232211526246719,0.5609569453197965
29,290,0.2309,0.7429,0.9572,0.09596220000042256,0.5513198086350967
30,300,0.2555,0.7368,0.9543,0.09615703230061301,0.5552576429370885
31,310,0.2911,0.7217,0.9526,0.08245509544405924,0.5455262617747964
32,320,0.2414,0.7304,0.9544,0.09047121584493227,0.5494851590521265
33,330,0.1575,0.7463,0.9583,0.08314356247833628,0.5352837326542216
34,340,0.1746,0.7457,0.9583,0.08863265993428243,0.5354370642918641
35,350,0.2367,0.7432,0.9561,0.08674250317158028,0.533882930186863
36,360,0.1945,0.7373,0.957,0.09170000844041805,0.53629543734081
37,370,0.1733,0.7432,0.9552,0.07360571674735886,0.5107013076420601
38,380,0.2154,0.7323,0.9553,0.07847814876608507,0.539120984204138
39,390,0.2355,0.7126,0.9522,0.08298307013150928,0.5360325625943273
40,400,0.2454,0.7202,0.9506,0.07947560651384387,0.5420718443477126
41,410,0.2706,0.7275,0.9535,0.08174651415852834,0.5394248150975025
42,420,0.21,0.7244,0.9512,0.06718604645460038,0.5315308534769756
43,430,0.2615,0.7211,0.9513,0.07179700340529167,0.547378795824711
44,440,0.236,0.7282,0.9553,0.056830584207589546,0.5206264952716894
45,450,0.2527,0.7271,0.9542,0.062044303376601634,0.5289124367195784
46,460,0.169,0.7485,0.9566,0.07841031420929781,0.5430921078127169
47,470,0.1511,0.7427,0.9555,0.07005089820412531,0.5292164101521734
48,480,0.2038,0.7417,0.9548,0.0628772885454265,0.4950928606051134
49,490,0.1615,0.7377,0.956,0.060664454148438886,0.48238524448262565
50,500,0.1818,0.7314,0.9557,0.056450329663308256,0.46683550394607565
51,510,0.2744,0.7302,0.9538,0.06870248607711528,0.4974610937740312
52,520,0.2804,0.7421,0.9571,0.04661258344494371,0.49506179562408625
53,530,0.257,0.7427,0.9558,0.05227025326489684,0.48484095916082826
54,540,0.2438,0.7394,0.9549,0.05767932424024703,0.5032141105766135
55,550,0.1783,0.7445,0.9581,0.05433749146310068,0.5002078763937721
56,560,0.1565,0.7509,0.9571,0.05766331953257849,0.5022419872503164
57,570,0.1746,0.7422,0.9585,0.062306406262200534,0.5237747246436736
58,580,0.1821,0.7473,0.9576,0.06306265393638898,0.5299613613003885
59,590,0.1857,0.7438,0.9558,0.062018269431757755,0.5339089468753566
60,600,0.1647,0.7479,0.9584,0.049788160256260275,0.4993053752930364
61,610,0.1687,0.7324,0.9553,0.054990406748069515,0.5234828218111144
62,620,0.1317,0.7447,0.9563,0.051247404259423056,0.5173616166649545
63,630,0.1022,0.7484,0.958,0.047502426608342,0.5194317499382538
64,640,0.1045,0.7476,0.9573,0.054921143974760965,0.52576794875375
65,650,0.2192,0.7425,0.9549,0.053930781938136975,0.5085789456903161
66,660,0.221,0.7373,0.9534,0.044374235961459216,0.4920151709534108
67,670,0.2007,0.7335,0.9554,0.05162934367791312,0.4994926702149011
68,680,0.2341,0.7227,0.9541,0.055828963001873906,0.5138330525710759
69,690,0.1765,0.7308,0.9556,0.06263510567240696,0.5165649054179718
70,700,0.1553,0.7373,0.9563,0.05768536113036093,0.5131518798906912
71,710,0.1877,0.7334,0.9535,0.05139515690557957,0.5040460611944435
72,720,0.1865,0.7404,0.9543,0.05112168446937657,0.5167777263107125
73,730,0.1499,0.747,0.9575,0.04762372628169956,0.5113138010953671
74,740,0.1365,0.7441,0.9582,0.048097094759700816,0.5162929756571069
75,750,0.0816,0.749,0.9588,0.04139173488573612,0.5036775980845414
76,760,0.1264,0.7345,0.9556,0.033661959084320764,0.47922882739272665
77,770,0.1748,0.7225,0.9539,0.04712665285010813,0.5138486769822886
78,780,0.2001,0.7191,0.9534,0.04921572726965489,0.5328736481491455
79,790,0.1264,0.7382,0.9579,0.06545216120927574,0.5567169374563011
80,800,0.1179,0.7477,0.9588,0.0712019196739966,0.5527468946848932
81,,,,,0.05356661589300324,0.5213823386827978
82,,,,,0.06310183073773247,0.5495498731145718
83,,,,,0.05248450253462325,0.5391501570439517
84,,,,,0.047982126708543314,0.5181122112807673
85,,,,,0.04710893250780366,0.5119549899563156
86,,,,,0.05246987777756132,0.5311164523523003
87,,,,,0.0588324308141126,0.5603918596606757
88,,,,,0.04573872042887554,0.5205047708155468
89,,,,,0.06043422448979739,0.567630827039273
90,,,,,0.04781714300699222,0.536000087906779
91,,,,,0.060745095073972306,0.5555052898500892
92,,,,,0.0560594315930949,0.5630466573004274
93,,,,,0.05100834473625923,0.5494948461505796
94,,,,,0.048710700748726105,0.5450639910514868
95,,,,,0.04875087499707325,0.5479116833633682
96,,,,,0.053907533867193436,0.5536171508170123
97,,,,,0.06044483608877345,0.5576451351675491
98,,,,,0.06692285332370419,0.5776749394602922
99,,,,,0.062785391322202,0.5690209532531714
100,,,,,0.06009208212424572,0.557169963733632
101,,,,,0.051767097873312434,0.5420550659979829
102,,,,,0.06175343479928598,0.5637151114469692
103,,,,,0.050921250758488364,0.5476968093284652
104,,,,,0.0692073776736003,0.5906729752898984
105,,,,,0.06537600179737867,0.5833118359613215
106,,,,,0.06397778427301398,0.5866095918143398
107,,,,,0.06719960602135978,0.6027359691161658
108,,,,,0.07379934860611448,0.6172842047118402
109,,,,,0.06621218969732255,0.5933726596036154
110,,,,,0.08824175983226722,0.6244591706129474
111,,,,,0.08376743821051572,0.6168950723076551
112,,,,,0.07658416356228648,0.6219642894927355
113,,,,,0.068994193617967,0.6093812737607359
114,,,,,0.08050060640069309,0.626536920444179
115,,,,,0.08165061713973319,0.6380335688707676
116,,,,,0.10185391240732054,0.6679621163636373
117,,,,,0.09385848602549593,0.6474519588026398
118,,,,,0.09737554473758586,0.6647437265115215
119,,,,,0.11481747562085813,0.6667005814198345
120,,,,,0.12346746580211827,0.6691453477865481
121,,,,,0.13114816400586965,0.6750799116272437
122,,,,,0.13842559437818297,0.6755815481151666
123,,,,,0.12289894067169847,0.661006793214946
124,,,,,0.10505019392200728,0.6325562631963367
125,,,,,0.11448053676703362,0.6457500555474038
126,,,,,0.1198503217249531,0.6540595781301912
127,,,,,0.13539650890763685,0.6724635579650189
128,,,,,0.13139426432953322,0.6747309374369642
129,,,,,0.08766191351859891,0.6298058585954768
130,,,,,0.09345813640541006,0.6134335011539835
131,,,,,0.11328882528302109,0.6380994769711127
132,,,,,0.11974536928946253,0.6457414598409853
133,,,,,0.1068041582002288,0.6306891824812644
134,,,,,0.11591863590322807,0.6391613884779154
135,,,,,0.12650985075011495,0.664067064927774
136,,,,,0.1403517191023891,0.6747183496800568
137,,,,,0.11847492704349499,0.6469975943816977
138,,,,,0.12025920908134628,0.6602321051353932
139,,,,,0.14831310070696055,0.6827554234775232
140,,,,,0.10091920165216113,0.6341816079092402
141,,,,,0.1206506729956763,0.6637501185073369
142,,,,,0.13339046191491552,0.6720547251658431
143,,,,,0.12090219203143625,0.654139525464195
144,,,,,0.11737039215728381,0.6380015667666031
145,,,,,0.1111740891472975,0.6339265045253208
146,,,,,0.09799150231930108,0.6087599921436175
147,,,,,0.1171430354103289,0.6295709379243796
148,,,,,0.13728256973594172,0.6710864284985256
149,,,,,0.09752864968061428,0.6108194306465833
150,,,,,0.10550539746317558,0.6290069926426439
151,,,,,0.12939097489955717,0.6571297855886045
152,,,,,0.13659503620283214,0.6680939618662523
153,,,,,0.12266788019363656,0.6413074897162937
154,,,,,0.1200211312620596,0.64438188249323
155,,,,,0.14424204094826976,0.6762110400594062
156,,,,,0.11144357481377323,0.6331214457293148
157,,,,,0.13028018831002114,0.6529528359533686
158,,,,,0.1403814706336756,0.6745145010825354
159,,,,,0.1220567608370132,0.6491820706872146
160,,,,,0.11548135335645468,0.641501150201998
161,,,,,0.1460949947768014,0.6750049595245028
162,,,,,0.1459231784497021,0.6871993349199272
163,,,,,0.10862527524881098,0.6312222619347273
164,,,,,0.13256391496038966,0.6716381518452262
165,,,,,0.1334015618388394,0.6737347403100732
166,,,,,0.14816118254730234,0.7022975826462579
167,,,,,0.14544028473353857,0.6967327824662103
168,,,,,0.1541766853423218,0.6983673054267688
169,,,,,0.13871016620104018,0.684762563604862
170,,,,,0.13008665597746014,0.675782877581837
171,,,,,0.133765334513826,0.6812658020577508
172,,,,,0.15945219550126585,0.7008413604049037
173,,,,,0.1709576552294552,0.712171303396926
174,,,,,0.14305011812906837,0.6976428280297778
175,,,,,0.14561232842011648,0.6969747831750053
176,,,,,0.16191322878242975,0.7053779031258776
177,,,,,0.12491838864490498,0.6586244516366611
178,,,,,0.16087469168411822,0.7029594088198446
179,,,,,0.14760722669334742,0.689187663212787
180,,,,,0.1498052252631247,0.6982915476681012
181,,,,,0.1301378288370304,0.6692700254784192
182,,,,,0.12641845619014583,0.6695135757684044
183,,,,,0.1428542452193563,0.6677035719690678
184,,,,,0.12218521148483982,0.6465437140186935
185,,,,,0.11751811056985838,0.6461490730828252
186,,,,,0.10932787743661676,0.6362068534824026
187,,,,,0.10170731267215134,0.6296387136644611
188,,,,,0.11390145782532711,0.6504470918322288
189,,,,,0.11308789863522231,0.668698586870395
190,,,,,0.11531419226545986,0.6641219983049858
191,,,,,0.12813551659243697,0.6793868977834697
192,,,,,0.11129306196203442,0.6636037256969126
193,,,,,0.11415804766255572,0.6580904025072442
194,,,,,0.1134975715716977,0.6613196536001625
195,,,,,0.1148414909140614,0.6579263565285305
196,,,,,0.13381182926986834,0.6829237782312224
197,,,,,0.12690244905955742,0.6811347141957618
198,,,,,0.1137135007351673,0.6595236058382654
199,,,,,0.13253372150271156,0.6797976346451995
200,,,,,0.14065970952754156,0.6919092450336767
201,,,,,0.16593554755591752,0.7136542484670895
202,,,,,0.15496858892130744,0.7069065020653024
203,,,,,0.16158407717595885,0.7073314251314236
204,,,,,0.15094405461313842,0.6852041742511765
205,,,,,0.13654990513511445,0.6673076811145715
206,,,,,0.1478072688276418,0.6822049601508641
207,,,,,0.1512404915625101,0.696415951128717
208,,,,,0.15383891215388487,0.6925644034368597
209,,,,,0.1424279134355767,0.6782388227583896
210,,,,,0.13205846119936301,0.6722429797519841
211,,,,,0.15807782605465714,0.7059535623922817
212,,,,,0.15454368879090247,0.7019280809974026
213,,,,,0.1439255686726364,0.695651545627043
