step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.011111111111111112,0.7103778696924571
1,10,2.889,0.3525,0.7646,0.021371472407319018,0.8114849992457883
2,20,1.7911,0.4983,0.8636,0.7533069077375267,0.8005145008463453
3,30,1.4352,0.5375,0.8834,0.6961396184248644,0.8011897442802821
4,40,1.1497,0.5937,0.9113,0.6220776204499803,0.7608517201567493
5,50,1.014,0.6134,0.9223,0.5421682177698194,0.6973508301776341
6,60,0.8618,0.6619,0.9348,0.45999736675263003,0.6323734050246516
7,70,0.7592,0.6871,0.9406,0.42346803902164426,0.6175777564668681
8,80,0.7684,0.682,0.9394,0.3605174669208164,0.5662997430482244
9,90,0.6874,0.7015,0.9442,0.33816596393895954,0.5540584744788822
10,100,0.6291,0.7069,0.9468,0.3230176750357871,0.5413793502539552
11,110,0.6061,0.7093,0.947,0.3014560782466843,0.5422268843476038
12,120,0.5524,0.7131,0.9481,0.27528912613169126,0.5270534536344781
13,130,0.5419,0.7154,0.949,0.2676372690757188,0.5358541066560194
14,140,0.4878,0.725,0.949,0.22735743165869554,0.5025028500224332
15,150,0.4637,0.7161,0.9497,0.18782716106296454,0.4533307823999512
16,160,0.4557,0.7151,0.9493,0.17707100445912385,0.45806846004431684
17,170,0.3809,0.7266,0.9518,0.15784337388776518,0.44695263188590767
18,180,0.3544,0.7299,0.9527,0.16280960480365642,0.45670701110843326
19,190,0.3586,0.7224,0.951,0.15045642225682318,0.4573312124096274
20,200,0.3536,0.7259,0.9519,0.14290184218122104,0.4551342081814492
21,210,0.3379,0.7317,0.9531,0.14518244836962318,0.46887887661384914
22,220,0.283,0.741,0.9559,0.12568846432313827,0.48532834033208416
23,230,0.261,0.7425,0.9559,0.11514036600555541,0.4580597519966135
24,240,0.2529,0.7384,0.9553,0.1010803784396705,0.4429691010073169
25,250,0.242,0.7376,0.9526,0.09951759889437498,0.4686152654402016
26,260,0.2769,0.7346,0.9531,0.09670488334427149,0.4467064390509989
27,270,0.2399,0.7452,0.9561,0.10225542531293963,0.47730516912305965
28,280,0.239,0.7323,0.9531,0.09058780653415424,0.4810726147675717
29,290,0.1239,0.7525,0.9595,0.09644320229339563,0.49348672474990707
30,300,0.1865,0.7388,0.9554,0.08851204076329988,0.4860255219142232
31,310,0.189,0.7414,0.9569,0.09450716595591425,0.48145770300673074
32,320,0.1529,0.7464,0.9591,0.08758082178538888,0.4997861921298006
33,330,0.1908,0.7337,0.9559,0.06463362352094322,0.5299710782949533
34,340,0.1363,0.752,0.9594,0.07236220490961126,0.5130549345667271
35,350,0.1416,0.7422,0.9568,0.043751957397056215,0.5040038398108826
36,360,0.1539,0.7434,0.9586,0.0421438455052371,0.4870467662764084
37,370,0.2165,0.7408,0.9571,0.04482736489024769,0.483047202366708
38,380,0.1625,0.7492,0.9589,0.03783419641182385,0.4810995041861239
39,390,0.2463,0.7347,0.9553,0.03635963298511759,0.4958823277975983
40,400,0.1672,0.7475,0.9573,0.02111903020139358,0.4944526548436115
41,410,0.1638,0.7402,0.9562,0.016319983011659236,0.48236295371709265
42,420,0.1585,0.7452,0.9566,0.014664246247611189,0.47141801378860687
43,430,0.1802,0.7382,0.9558,0.01031371533747654,0.4542448714512985
44,440,0.1569,0.7386,0.957,0.01677182776909912,0.4299494958885707
45,450,0.2245,0.7288,0.9554,0.008109751780310627,0.43565301037155096
46,460,0.1587,0.7446,0.9572,0.00578941420202914,0.4293226769124166
47,470,0.1605,0.7422,0.9555,0.008584647815015157,0.4644932177751071
48,480,0.2142,0.7304,0.955,0.00992152425352954,0.46268242958054295
49,490,0.1721,0.7329,0.9568,0.03528270639117321,0.49354883177498493
50,500,0.1717,0.7353,0.957,0.03365615396549425,0.4913531855874331
51,510,0.1971,0.73,0.9566,0.03249641576214121,0.4784826708878243
52,520,0.1509,0.7451,0.9576,0.029465006083304126,0.503248904482182
53,530,0.1026,0.7548,0.9587,0.021414914884568967,0.4766443435868354
54,540,0.1316,0.7371,0.9562,0.01411473756111024,0.4602318526240537
55,550,0.213,0.734,0.9555,0.010951971524667509,0.46305259805663773
56,560,0.1471,0.7362,0.9545,0.010819127187274567,0.4279572520610293
57,570,0.1208,0.7411,0.9551,0.01116605405049428,0.4785786465025161
58,580,0.1645,0.7313,0.9553,0.010803660721481085,0.4794746933539574
59,590,0.1224,0.7441,0.9577,0.017399319128318512,0.46572461577065644
60,600,0.1279,0.736,0.9554,0.018813608667965956,0.46068394216997777
61,610,0.1484,0.737,0.9564,0.018259449186589807,0.4757894258743096
62,620,0.1263,0.7505,0.9586,0.030521422119457353,0.5205082312693085
63,630,0.2518,0.7191,0.9527,0.026877239826701885,0.5033131650398152
64,640,0.1558,0.7325,0.9561,0.020719996953598163,0.49732553470294283
65,650,0.1739,0.7324,0.9528,0.027122120528025654,0.5148966175067198
66,660,0.14,0.7401,0.9553,0.029653794588647437,0.5392046295244064
67,670,0.1496,0.7353,0.9558,0.02162853528547505,0.5283499132817367
68,680,0.1846,0.7264,0.9543,0.024521579473547266,0.5253825160505553
69,690,0.1319,0.7329,0.9562,0.032226850237366794,0.5796818081504094
70,700,0.1525,0.7359,0.9557,0.04068654620900617,0.5614203934315989
71,710,0.2185,0.727,0.9559,0.022170246476657666,0.552994093855549
72,720,0.1181,0.7348,0.9561,0.028084662307953156,0.5695602902398119
73,730,0.1307,0.7305,0.9555,0.03285519940871196,0.5890538960853802
74,740,0.1673,0.7226,0.9542,0.028444375458980615,0.5704156867282354
75,750,0.1235,0.7271,0.9552,0.0251998268221926,0.5632922095739646
76,760,0.1373,0.7304,0.955,0.021469291980426297,0.5609477610891379
77,770,0.1988,0.72,0.9527,0.02804363565357072,0.5613348378290038
78,780,0.1935,0.7328,0.9565,0.026429095767254406,0.5800456048217243
79,790,0.1751,0.7323,0.9567,0.028718501299920977,0.5796531207972998
80,800,0.1451,0.7343,0.9555,0.05046735734683974,0.6207143922083903
81,,,,,0.03546845486083499,0.604314773504191
82,,,,,0.03295345268059689,0.5839239507670302
83,,,,,0.03299780433256661,0.5860072377367935
84,,,,,0.03199650014937692,0.5679048528744024
85,,,,,0.02334561041695707,0.5517580183234791
86,,,,,0.029602655538374878,0.5463918992489926
87,,,,,0.04113816659143592,0.5879765615903148
88,,,,,0.03982812455309217,0.5660583082269162
89,,,,,0.04798117511468678,0.5697572250053566
90,,,,,0.053022897632009625,0.5892069973959251
91,,,,,0.058700830280756726,0.6094131943194802
92,,,,,0.04349729964045328,0.5790901881573834
93,,,,,0.04661390222752034,0.5694375068264803
94,,,,,0.04988057829797119,0.5763501374774251
95,,,,,0.059560367102840364,0.599659050927104
96,,,,,0.05031422755911054,0.5868564419909237
97,,,,,0.056850556875835394,0.5934230904449329
98,,,,,0.04958515804783608,0.5680771068493896
99,,,,,0.05374716310900994,0.572792369431197
100,,,,,0.06688795392029599,0.6204904115030973
101,,,,,0.06094033630865203,0.6129389247401781
102,,,,,0.05807625991610712,0.6154486086445635
103,,,,,0.04704111759037505,0.5990364976835704
104,,,,,0.05849424850682498,0.6090658064333955
105,,,,,0.050935096755670976,0.6004533523648876
106,,,,,0.04640636797120085,0.5786395586286729
107,,,,,0.0444491281861497,0.5794047765520329
108,,,,,0.03436957610653221,0.5654444843814557
109,,,,,0.030876206779768062,0.5691334564971582
110,,,,,0.040965515019774086,0.5858918048033568
111,,,,,0.05218968176838687,0.5980265736934501
112,,,,,0.03333159292631286,0.5818942830147088
113,,,,,0.05714438240148172,0.6192210089314572
114,,,,,0.049881600528856485,0.6224554742785819
115,,,,,0.051424629103623234,0.6159493962212113
116,,,,,0.049327964414725804,0.6209955071891958
117,,,,,0.0401235809648498,0.5955801769072896
118,,,,,0.06335787810917107,0.6253683707851532
119,,,,,0.07228928406217056,0.6367772495998393
120,,,,,0.09494551847337232,0.6530349872635979
121,,,,,0.07696098679994831,0.6447192429219953
122,,,,,0.08113291773305059,0.6470819116101978
123,,,,,0.08817761169878202,0.6390435812962246
124,,,,,0.10779689569416089,0.6589860641830891
125,,,,,0.11884454830744819,0.6760554867134605
126,,,,,0.10410261200547255,0.6521794723680863
127,,,,,0.1538060400578178,0.7062366558131874
128,,,,,0.15634177368204463,0.7094240176712969
129,,,,,0.15986384933488126,0.7083151531215884
130,,,,,0.12389483028739452,0.6752957200981489
131,,,,,0.1196555075316846,0.6693462744665377
132,,,,,0.0994979926658187,0.6478248228610007
133,,,,,0.09122205388477386,0.6374304623221297
134,,,,,0.06667557354748628,0.6012260275497437
135,,,,,0.09722537538745978,0.649121556087642
