step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.011111111111111112,0.7365343143755019
1,10,3.7681,0.1262,0.5752,0.831614084635353,0.8907963349537841
2,20,2.5505,0.2037,0.5957,0.7623748398088007,0.8771487773200912
3,30,2.4245,0.2082,0.6088,0.6786279670304505,0.8219202204482738
4,40,2.456,0.1486,0.5904,0.0016979661007961028,0.5360011801460068
5,50,2.3195,0.1892,0.5939,0.5290878699172381,0.7239975749060665
6,60,2.6302,0.1883,0.5753,0.4997298474386812,0.7328787827558304
7,70,2.7051,0.1947,0.5581,0.008518076021062878,0.2764652846815153
8,80,2.6221,0.1932,0.5488,0.36563291724501495,0.46088118530296357
9,90,2.5271,0.215,0.5468,0.34301214615500564,0.5215678868069452
10,100,2.3163,0.2537,0.5481,0.3609802162434581,0.5889144148935463
11,110,2.2444,0.2451,0.5606,0.28586257953046007,0.5627064161475999
12,120,2.2373,0.2806,0.5548,0.007057295714210762,0.37328358447938226
13,130,2.2686,0.2619,0.5465,0.24821119798828428,0.6214047278032033
14,140,2.2767,0.2818,0.5403,0.044652165967684114,0.3704612037473573
15,150,2.2368,0.2716,0.539,0.14050635684192694,0.3717253449317382
16,160,2.1512,0.3195,0.5403,0.11228551979315975,0.4143169068461959
17,170,1.8621,0.3601,0.5344,0.010222031141255718,0.395492321580489
18,180,1.9829,0.3471,0.5336,0.22096809179943264,0.5404491377218711
19,190,2.1083,0.2951,0.5307,0.18503698325407814,0.5062149165844325
20,200,1.9015,0.3269,0.5274,0.22997687152160323,0.5741888855145574
21,210,1.9842,0.3368,0.5275,0.1341033429894733,0.45945157766823136
22,220,1.7977,0.3751,0.5297,0.14256067317684085,0.675203028511255
23,230,1.7395,0.3763,0.5303,0.1717909320890366,0.6087149595612469
24,240,1.8799,0.3541,0.5239,0.1493225646046707,0.5235785861897976
25,250,1.6735,0.4106,0.5266,0.06926795307558817,0.4553773437197713
26,260,1.9517,0.3489,0.5239,0.06067855425742632,0.47294859069806755
27,270,1.6103,0.4197,0.5233,0.06161406889896843,0.4868755432113184
28,280,1.581,0.4268,0.5205,0.05189167808672899,0.4296247750490123
29,290,1.5673,0.4237,0.5214,0.2214425771462504,0.6949766316224162
30,300,1.6647,0.4105,0.5206,0.0302767900052451,0.3423030417537526
31,310,1.7945,0.379,0.5229,0.07086706599518024,0.5005843956971279
32,320,1.6075,0.4029,0.5216,0.1213249533713301,0.48655376241749837
33,330,1.5925,0.4007,0.5216,0.0351527786318265,0.4112822572706458
34,340,1.6107,0.4053,0.5185,0.029946522190521435,0.4097380789524591
35,350,1.5221,0.4251,0.5181,0.08517644077780623,0.4850737256494095
36,360,1.5411,0.4144,0.5188,0.03647810248019341,0.4230336631481514
37,370,1.5401,0.4198,0.5181,0.0014773532322696506,0.3390459719787856
38,380,1.6057,0.4112,0.5172,0.015257698042997708,0.32014319249177065
39,390,1.445,0.4512,0.5163,0.03962037441289952,0.4334664959686184
40,400,1.5371,0.4356,0.5161,0.09066727271907297,0.530144070925224
41,410,1.5734,0.4273,0.5157,0.06426662150232447,0.43060306824622885
42,420,1.639,0.4062,0.5162,0.010727656514226531,0.3745071136853231
43,430,1.6088,0.4014,0.5158,0.03168406050304977,0.4155028859527417
44,440,1.5947,0.4061,0.5135,0.05335998262667493,0.48511598913303167
45,450,1.5353,0.4159,0.5156,0.3883405289070972,0.7870696084665414
46,460,1.4679,0.4413,0.515,0.025286770810309375,0.4489475134970073
47,470,1.5683,0.4127,0.5128,0.020521002652743606,0.36547256163619846
48,480,1.6065,0.3994,0.5124,0.08148621160408158,0.575340241559068
49,490,1.5018,0.4297,0.5136,0.022657296097263267,0.40451545690390345
50,500,1.5936,0.4067,0.5117,0.09017585505286568,0.5164275907760487
51,510,1.5169,0.4295,0.5113,0.02637259156407249,0.3960268773905551
52,520,1.6489,0.3983,0.5114,0.12622860047319626,0.5705115905472321
53,530,1.6714,0.3737,0.5092,0.04352914884598164,0.47238028090000383
54,540,1.6178,0.3944,0.5098,0.020054463900193383,0.3984318951689021
55,550,1.593,0.4126,0.5114,0.04465626212069898,0.47143624861602557
56,560,1.6619,0.3805,0.5106,0.008043138873838365,0.418414624735888
57,570,1.7246,0.3709,0.5099,0.0014715412516518311,0.3990340574178444
58,580,1.5958,0.4057,0.5119,0.02217248809362673,0.42633691810848356
59,590,1.5872,0.4116,0.5108,0.051472955148208425,0.4647248380472312
60,600,1.8177,0.3533,0.5099,0.02020439939489802,0.41853174800114384
61,610,1.7668,0.3546,0.5096,0.009049661740954415,0.4088770189531286
62,620,1.6217,0.3922,0.5097,0.08428619727231162,0.500985110116148
63,630,1.6078,0.4037,0.5102,0.028147071601686502,0.5116964857135469
64,640,1.6591,0.3927,0.5091,0.010053081162764162,0.4738893638116159
65,650,1.6318,0.3976,0.5096,0.0022183911853236203,0.43206403500706597
66,660,1.6924,0.3689,0.5093,0.09795737324526846,0.530781679927763
67,670,1.6353,0.3939,0.5097,0.01684782799623952,0.43849269983644323
