step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.03368511269731624,0.7422147464533132
1,10,2.5267,0.1659,0.5855,0.020402204530111507,0.7890852884358746
2,20,2.4674,0.1986,0.5745,0.00026589089089089086,0.7199489165932612
3,30,2.5755,0.1231,0.5792,0.015528978832479542,0.6172640175689762
4,40,2.3634,0.181,0.5999,0.053750693562540204,0.4792792567476119
5,50,2.2883,0.2375,0.6017,0.024551228251670984,0.3894972819863348
6,60,2.672,0.1458,0.5812,0.009161655736244854,0.33083547446021466
7,70,2.7239,0.1902,0.5702,0.03365447999966406,0.41355498847382505
8,80,2.5052,0.2412,0.5564,0.05768507765593814,0.4357301614302925
9,90,2.408,0.2403,0.5534,0.01051909378740179,0.34011676059450213
10,100,3.0941,0.1347,0.5484,0.10035135325956508,0.5674054458144431
11,110,2.4978,0.179,0.5422,0.001962878241287332,0.3768931432660588
12,120,2.2531,0.275,0.5446,0.0005087388273228981,0.38780879625628695
13,130,2.3149,0.2596,0.5408,0.008991693951511321,0.4684836835018453
14,140,2.1123,0.2727,0.5392,0.05045458127586485,0.6073676647079287
15,150,2.2627,0.2656,0.5376,0.041794483916037226,0.5054497482060788
16,160,2.2298,0.2785,0.5305,0.05198076671330425,0.4878403445719273
17,170,2.191,0.2998,0.5278,0.21098614113669747,0.6459823209491525
18,180,2.0741,0.3258,0.5302,0.015994573677389382,0.3903650917528738
19,190,2.0549,0.3299,0.533,0.13227937260332626,0.6115842003226178
20,200,2.3516,0.2789,0.5294,0.11953001438107556,0.615289076687496
21,210,2.0618,0.3361,0.5237,0.04315015593469563,0.4506179577264594
22,220,1.8123,0.3808,0.5276,0.0287022239334347,0.43287378840338836
23,230,1.8982,0.3519,0.5282,0.007692767923093681,0.5610494823829217
24,240,2.0098,0.3664,0.5258,0.047857974834419025,0.4110862190057098
25,250,1.6374,0.4239,0.5262,0.015729882937169603,0.3655488635402873
26,260,1.7405,0.4076,0.5243,0.027576930662854687,0.4315938167158724
27,270,1.8634,0.3824,0.5223,0.01596046166398028,0.39076915301632176
28,280,1.8877,0.3705,0.5178,0.11128079698026545,0.5638087783412564
29,290,1.8615,0.3754,0.52,0.07772006896982128,0.5593223362150498
30,300,1.7269,0.4005,0.5202,0.059497945393282986,0.5147549430025115
31,310,1.7997,0.3954,0.5198,0.05120007624158847,0.4689231284986714
32,320,1.693,0.4095,0.5193,0.0950607363023642,0.47496255631542356
33,330,1.6695,0.4034,0.5192,0.00861953240318895,0.32874782264541996
34,340,1.6551,0.4057,0.5191,0.07077269001355237,0.533281088256979
35,350,1.5844,0.4199,0.5185,0.009141450978899018,0.3370158035721711
36,360,1.677,0.4167,0.5157,0.06310056067122974,0.4761635724060088
37,370,1.6548,0.4191,0.5163,0.011618660571826221,0.44002308789874994
38,380,1.7082,0.3962,0.5145,0.017277794476325294,0.41785179172536185
39,390,1.6892,0.3985,0.515,0.01643091844716414,0.4128987118483258
40,400,1.6368,0.4161,0.5161,0.032247637429844746,0.489764473797404
41,410,1.771,0.3864,0.5143,0.022206345310678607,0.47338385678949557
42,420,1.6949,0.4038,0.5104,0.08105519216197886,0.5509449977221225
43,430,1.7687,0.3883,0.5125,0.0179732389569376,0.44870412461395837
44,440,1.5993,0.4292,0.5121,0.07564350525976542,0.5289694155914031
45,450,1.61,0.4155,0.5125,0.015373472343330868,0.43760762097226097
46,460,1.6283,0.4137,0.513,0.1190114040219869,0.6198702259495751
47,470,1.6452,0.419,0.5128,0.014356951151733926,0.42636194302372227
48,480,1.7038,0.3959,0.5113,0.0717061072499842,0.5238456458013474
49,490,1.6975,0.3897,0.5118,0.024526980875296645,0.4530887040241647
50,500,1.755,0.3733,0.5105,0.23125620364679986,0.6425212304868798
51,510,1.7048,0.3974,0.5107,0.02675068886943136,0.45901602036762357
52,520,1.7192,0.3879,0.5101,0.021694482955082264,0.4583910853691177
53,530,1.8567,0.3421,0.5081,0.06364271990430352,0.5145041157122465
54,540,1.8089,0.3618,0.5097,0.013486254570954327,0.41769461807242697
55,550,1.815,0.3587,0.5093,0.00880941914276489,0.4286563659814536
56,560,1.7188,0.3847,0.5097,0.005682180783227487,0.3685514377456917
57,570,1.8103,0.3739,0.5084,0.037674008593995154,0.43335267019921897
58,580,1.7371,0.3792,0.5081,0.18182907420136385,0.5862721355768851
59,590,1.827,0.3388,0.5078,0.08083700564342222,0.4872574374035161
60,600,1.8508,0.3461,0.5077,0.040502310391488786,0.49647315206637865
61,610,1.7992,0.36,0.5091,0.08366901404547948,0.5396508742447138
62,620,1.7586,0.3815,0.5086,0.09021951372997102,0.5499600043152519
63,630,1.6822,0.3877,0.5086,0.021736540680158775,0.46193459357053207
64,640,1.7994,0.3597,0.5076,0.03622345180521429,0.4818040966390633
65,650,1.6962,0.3946,0.5068,0.053627677204328664,0.5247916368884098
66,660,1.7342,0.3798,0.5068,0.08203290744475672,0.5190877266328494
67,670,1.8428,0.3581,0.5068,0.07412632977135014,0.5345068383950162
68,680,2.0388,0.2909,0.5061,0.2094883420708965,0.5951713374637422
69,690,1.8355,0.3483,0.5071,0.1387242881523471,0.653227840725968
70,700,1.99,0.298,0.5059,0.03533102327584816,0.4938307215994169
71,710,1.8708,0.3404,0.5075,0.1162771265457479,0.5336226845832456
72,720,1.919,0.3155,0.507,0.010956299263425479,0.40238184797259174
73,730,1.8709,0.3356,0.5072,0.018698804720326485,0.49259632489903393
74,740,1.7545,0.3842,0.5073,0.06742881966959455,0.5495507437114334
75,750,1.9039,0.3478,0.5064,0.037031992849076815,0.46256225129521006
76,760,1.5592,0.4376,0.5093,0.19324601089363694,0.5927248019966537
77,770,1.6149,0.4161,0.5086,0.1686371417265656,0.5752170558438906
78,780,1.7231,0.3905,0.5078,0.054176566423741496,0.5336578170026234
79,790,1.7711,0.3824,0.5081,0.0831452693844611,0.5150841488030495
80,800,1.7375,0.3894,0.5082,0.2718778666495106,0.5991269791704036
81,,,,,0.13138428747834452,0.594741254286042
82,,,,,0.05442860829046969,0.5354627830142047
83,,,,,0.07549310496061866,0.5150348289309725
84,,,,,0.24057602294756555,0.5792341234377767
85,,,,,0.04022242675137181,0.4680239048117121
86,,,,,0.23975945228705292,0.5733589135108503
87,,,,,0.18603192661019716,0.5508043646707826
88,,,,,0.045055163667529076,0.515420402746872
89,,,,,0.14130214587003545,0.5299681416645026
90,,,,,0.23737261998759504,0.581443463723032
91,,,,,0.037920091173582283,0.48692995516466614
92,,,,,0.1969880589994751,0.5607219790886373
93,,,,,0.4722972194439186,0.6321584877846397
94,,,,,0.06979512051113912,0.4984874523498077
95,,,,,0.12149029500838669,0.5400594370434522
96,,,,,0.0306356884118014,0.5037815566969678
97,,,,,0.13889257058480675,0.5407146613310495
98,,,,,0.04494327703872555,0.5093325879738178
99,,,,,0.057012547110277444,0.5127216841030845
100,,,,,0.04054970826920706,0.5495756931957139
101,,,,,0.19125179676276133,0.5694358524193257
102,,,,,0.30924815704065095,0.5939703131110979
103,,,,,0.08070480202974949,0.5125111107495898
104,,,,,0.07036218894817173,0.5201772046084849
105,,,,,0.1795077452591796,0.538914204224162
106,,,,,0.07623708546671498,0.5153987497502034
107,,,,,0.2098714070387224,0.5398628978695468
108,,,,,0.08164595694752098,0.5060213153958985
109,,,,,0.10084918067208898,0.5179373236813033
110,,,,,0.15507211488910785,0.5286642139058455
111,,,,,0.23751161209664773,0.545261003251328
112,,,,,0.07592123737477165,0.5106667092750917
113,,,,,0.13681087792935148,0.520238148806396
114,,,,,0.26653807828130505,0.5446238505630147
115,,,,,0.19411060582490616,0.5334125326665431
116,,,,,0.12973692866596284,0.5264362115394138
117,,,,,0.38036636670236057,0.5533640712339514
118,,,,,0.16031667285373014,0.5161168163795661
119,,,,,0.12085164388121572,0.4998764458963817
120,,,,,0.13559839899560508,0.5082860107782284
121,,,,,0.14732531871001303,0.5212463795334193
122,,,,,0.19249337408036576,0.5221266126291096
123,,,,,0.4369712974703758,0.5440102255480901
124,,,,,0.17814476074276844,0.5231935356450789
125,,,,,0.37988255166963913,0.5552190618327096
126,,,,,0.39002796164749604,0.5493356627585413
127,,,,,0.3047575598117785,0.5351923478638981
128,,,,,0.3544080308263828,0.5465023444257832
129,,,,,0.2146559618206932,0.5265824155769141
130,,,,,0.23538105301118403,0.5221621297042279
131,,,,,0.29644161715428213,0.5383515881261179
132,,,,,0.43205292267985546,0.5536857642848948
133,,,,,0.2706726356563154,0.5254998674582286
134,,,,,0.3035051065090322,0.5494368558330525
135,,,,,0.37640032203854173,0.5516346670550742
136,,,,,0.168115760448447,0.5147469800830865
137,,,,,0.14285420695942694,0.5181453067147637
138,,,,,0.38553390313633273,0.5346052257757437
139,,,,,0.35887820613725546,0.5381180656993826
140,,,,,0.3858107283908002,0.5392613623306036
141,,,,,0.14639990226185012,0.5151881977309573
142,,,,,0.16928029112715692,0.5148296141534111
143,,,,,0.2212761723168331,0.5192592517296885
144,,,,,0.21390124741299,0.5214414335700384
145,,,,,0.310688881365128,0.5445801441771264
