step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.010426128452444242,0.7169827655706982
1,10,2.9444,0.1241,0.5622,0.01477100100511308,0.7839628376155853
2,20,2.4049,0.1463,0.5889,0.7569292704491024,0.8684898581643503
3,30,2.5673,0.19,0.5726,0.011244979919678714,0.2237523385810776
4,40,2.5428,0.1514,0.5741,0.646335888055453,0.8321503762462145
5,50,2.8694,0.1252,0.5654,0.07615291748640184,0.5326459481880063
6,60,2.5149,0.1981,0.5727,0.001214609956552862,0.4157090756377836
7,70,2.5063,0.1924,0.5658,0.42281562939389444,0.6003728927662643
8,80,2.4738,0.2306,0.5631,0.0040843734603412014,0.4395853929166792
9,90,2.7899,0.1896,0.5639,0.37166167205822337,0.6524920267415191
10,100,2.5927,0.2308,0.5474,0.30689770368563196,0.5211224901340589
11,110,2.6816,0.2236,0.5458,0.008723569030356305,0.40712122829890973
12,120,2.4568,0.2483,0.543,0.30383959366544944,0.5470318701790301
13,130,2.4523,0.2653,0.5424,0.24177446225765295,0.4716218985520885
14,140,2.3406,0.2809,0.5398,0.0007208393474178446,0.3251077431977956
15,150,2.5591,0.2645,0.5352,0.1641944147586203,0.381747982965434
16,160,2.1484,0.2999,0.5343,0.009484157305801778,0.3721781073149603
17,170,2.0477,0.3162,0.5313,0.0006938426150992996,0.2908193394378056
18,180,2.0676,0.3416,0.5366,0.027932617648427485,0.39323385126539223
19,190,2.0409,0.3288,0.5286,0.09693895219921739,0.43305593765095024
20,200,2.3712,0.2846,0.5279,0.09217501639345424,0.4175357011929322
21,210,1.9871,0.3382,0.528,0.08517307880693208,0.38598091723949823
22,220,2.0557,0.3284,0.5276,0.09013787063398351,0.40193197418670873
23,230,1.9054,0.3415,0.5247,0.00047394522027220193,0.29203601289928544
24,240,1.8221,0.3726,0.5227,0.0545372314109966,0.37804822088521595
25,250,1.8564,0.3781,0.5244,0.01871470785066335,0.3580875255635371
26,260,1.8388,0.3516,0.5231,0.0030192316451836585,0.3276176123711906
27,270,1.8335,0.3728,0.5244,0.06115258325409419,0.38228026117015806
28,280,1.647,0.4271,0.5227,0.05695943750807591,0.41394159087668697
29,290,1.6454,0.4095,0.5209,0.009409063217679205,0.3862293588773781
30,300,1.6345,0.4166,0.519,0.010521105705001406,0.3449173526472759
