step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4226,0.0,,0.0,
1,10,71.2659,0.1175,,0.3467482231052717,
2,20,83.4958,0.1987,,0.023314679339444207,
3,30,6.3897,0.1736,,0.020513540757037912,
4,40,14.0271,0.2353,,0.27726449311858575,
5,50,5.6651,0.2936,,0.00833408808604227,
6,60,1.4393,0.297,,0.28319204272911175,
7,70,1.5756,0.3675,,0.002711060381040734,
8,80,1.4385,0.3752,,0.01933986544838064,
9,90,1.0182,0.3994,,0.004098021364767708,
10,100,1.0437,0.4212,,0.15253076940620525,
11,110,0.8358,0.4361,,0.26108514889270823,
12,120,0.719,0.4369,,0.2822272099806365,
13,130,0.6142,0.4524,,0.094780158026294,
14,140,0.5185,0.4713,,0.07311566503090698,
15,150,0.4247,0.4549,,0.1891616411149961,
16,160,0.3806,0.4575,,0.2605355729365855,
17,170,0.3645,0.4755,,0.01617026922270843,
18,180,0.2903,0.4419,,0.22653810275974198,
19,190,0.2243,0.4926,,0.0069505881945999964,
20,200,0.2134,0.4966,,0.2301303013972155,
21,210,0.1682,0.4917,,0.1748822776394948,
22,220,0.1313,0.509,,0.19088168176454587,
23,230,0.114,0.4962,,0.20180779110117697,
24,240,0.1083,0.5084,,0.050044230909925484,
25,250,0.0957,0.5144,,0.022217461212272454,
26,260,0.0851,0.5078,,0.15168390210238983,
27,270,0.0801,0.4893,,0.020814178025506388,
28,280,0.0813,0.5115,,0.016271748753307648,
29,290,0.0861,0.5242,,0.013890160391220159,
30,300,0.0761,0.5121,,0.07809686673580953,
31,310,0.0595,0.546,,0.11788314854967322,
32,320,0.0556,0.528,,0.018206415121744073,
33,330,0.0523,0.5281,,0.01998344573309525,
34,340,0.0494,0.5339,,0.03681061972366507,
35,350,0.2541,0.5384,,0.11465852686493928,
36,360,0.257,0.538,,0.0632233624297057,
37,370,0.2636,0.5321,,0.10580186164655997,
38,380,0.2548,0.538,,0.009135474190469027,
39,390,0.2519,0.5395,,0.0473905817971451,
40,400,0.2549,0.5438,,0.04383669478135388,
41,410,0.2442,0.5522,,0.04216054040756419,
42,420,0.0519,0.5531,,0.030868880751399565,
43,430,0.0372,0.5564,,0.03384137993775434,
44,440,0.0367,0.5592,,0.06138046665441086,
45,450,0.0369,0.5603,,0.0737314531628159,
46,460,0.0361,0.5605,,0.029163860521164507,
47,470,0.0353,0.5595,,0.027147654048705276,
48,480,0.0337,0.5627,,0.03389716569016027,
49,490,0.0401,0.5665,,0.06866867244289145,
50,500,0.0322,0.5615,,0.06730224071665433,
51,510,0.0317,0.5668,,0.03579554667981583,
52,520,0.0312,0.5668,,0.023459649729552466,
53,530,0.0309,0.5675,,0.020967557494387855,
54,540,0.0309,0.5688,,0.02959805886473595,
55,550,0.0286,0.5694,,0.06934843697038566,
56,560,0.0314,0.5672,,0.05876014588457053,
57,570,0.0315,0.5656,,0.06119021401591617,
58,580,0.0288,0.5711,,0.04766981678459224,
59,590,0.0283,0.5649,,0.029039525338838787,
60,600,0.0277,0.5673,,0.02699044843582333,
61,610,0.0273,0.5703,,0.05489652251829315,
62,620,0.0267,0.5717,,0.023865397299964192,
63,630,0.0261,0.5738,,0.03677245704180514,
64,640,0.0254,0.5735,,0.0393516237024177,
65,650,0.0309,0.5721,,0.02091476242443117,
66,660,0.0287,0.5749,,0.03431101096362642,
67,670,0.0237,0.5755,,0.04174250071569225,
68,680,0.029,0.5688,,0.09781689193713108,
69,690,0.0232,0.5774,,0.06721912955470398,
70,700,0.0349,0.5689,,0.04954259158070217,
71,710,0.0233,0.5755,,0.05317309008957068,
72,720,0.0224,0.5776,,0.03636062631250581,
73,730,0.0224,0.573,,0.03763658061135841,
74,740,0.0215,0.5801,,0.034616545619351013,
75,750,0.0218,0.5784,,0.06394813471169652,
76,760,0.0226,0.5723,,0.04110930192224404,
77,770,0.0211,0.5784,,0.053977232846091155,
78,780,0.021,0.5743,,0.02354562605282281,
79,790,0.0211,0.5813,,0.027787110913673956,
80,800,0.0407,0.5778,,0.033342563581187486,
81,,,,,0.09603228837944607,
82,,,,,0.028882546728523757,
83,,,,,0.05469914552790186,
84,,,,,0.051979872174525404,
85,,,,,0.04415080219931534,
86,,,,,0.08335142713008949,
87,,,,,0.03739566416717367,
88,,,,,0.04101058620609142,
89,,,,,0.045472915027654624,
90,,,,,0.09234911851696394,
91,,,,,0.11554130946904438,
92,,,,,0.03831031432123412,
93,,,,,0.06134026808202163,
94,,,,,0.04757230149468153,
95,,,,,0.05764417127793588,
96,,,,,0.037650386955923945,
97,,,,,0.040235126485454374,
98,,,,,0.0476876113137876,
99,,,,,0.034347455465326665,
100,,,,,0.048625303748541064,
101,,,,,0.04850319428912364,
102,,,,,0.04756569099911015,
103,,,,,0.05917324948342241,
104,,,,,0.06707050907492625,
105,,,,,0.03167366204302215,
106,,,,,0.03526795569662862,
107,,,,,0.03022374703124742,
108,,,,,0.049482885920304594,
109,,,,,0.03347119425387279,
110,,,,,0.04580538683756797,
111,,,,,0.03436637160724334,
112,,,,,0.03189371221354009,
113,,,,,0.1181373279297002,
114,,,,,0.060995196027701565,
115,,,,,0.055982161509712636,
116,,,,,0.06890154692129595,
117,,,,,0.041907298939551633,
118,,,,,0.04518663592488197,
119,,,,,0.08680166522024223,
120,,,,,0.05343339209990613,
121,,,,,0.0353912634807618,
122,,,,,0.0938155706456594,
123,,,,,0.059132246497516326,
124,,,,,0.07013992754926146,
125,,,,,0.03299103347381392,
126,,,,,0.05874185012053917,
127,,,,,0.08269838890785505,
128,,,,,0.08978670916130363,
129,,,,,0.08814521788605964,
130,,,,,0.04940067666061793,
131,,,,,0.06539204308343984,
132,,,,,0.04912261133808497,
133,,,,,0.05945943014354682,
134,,,,,0.0978928666894263,
