step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.422,0.0,,0.0,
1,10,37.6271,0.109,,0.0020231138885713437,
2,20,8.9029,0.1234,,0.11777813864401276,
3,30,33.9627,0.2061,,0.024686915019963753,
4,40,30.2407,0.2413,,0.6681161271539358,
5,50,4.259,0.2918,,0.007589002831869375,
6,60,1.7086,0.2965,,0.333674899221061,
7,70,2.8024,0.3159,,0.0488969897931141,
8,80,1.1582,0.3762,,0.01943605463140841,
9,90,0.9867,0.3788,,0.16965739012478182,
10,100,0.8565,0.3985,,0.2901441629271254,
11,110,0.7909,0.4218,,0.292971159407294,
12,120,0.7019,0.3972,,0.006974130660101322,
13,130,0.6466,0.4217,,0.2758039615992036,
14,140,0.5885,0.441,,0.00041769385435789846,
15,150,0.5115,0.4659,,0.029412138642995488,
16,160,0.436,0.4838,,0.05435373640161683,
17,170,0.3211,0.4951,,0.2911104653998175,
18,180,0.2854,0.4773,,0.01802013681373361,
19,190,0.2283,0.5002,,0.021364311129609802,
20,200,0.163,0.503,,0.03677839698059665,
21,210,0.1466,0.4815,,0.018882932845329003,
22,220,0.1282,0.5277,,0.01812468401383218,
23,230,0.1121,0.5209,,0.14345301792696416,
24,240,0.0928,0.5403,,0.023916393945711198,
25,250,0.0841,0.5497,,0.03410168824069031,
26,260,0.1507,0.5456,,0.12899083648326515,
27,270,0.1438,0.5507,,0.11773707987417585,
28,280,0.1058,0.5123,,0.1390316349125137,
29,290,0.056,0.5705,,0.12399297258002483,
30,300,0.0621,0.5568,,0.12365152821475554,
31,310,0.0597,0.5703,,0.09334990776456444,
32,320,0.0442,0.5733,,0.11211769197203897,
33,330,0.0383,0.5776,,0.1108799236943535,
34,340,0.0544,0.5629,,0.018452764377383694,
35,350,0.0519,0.5752,,0.021111974619457997,
36,360,0.0401,0.5684,,0.09029738209835227,
37,370,0.0489,0.5737,,0.03029285736816626,
38,380,0.0708,0.5213,,0.018593962025233047,
39,390,0.2657,0.5669,,0.02606600786616066,
40,400,0.2644,0.5666,,0.016215557564415773,
41,410,0.0402,0.5669,,0.08533118598049366,
42,420,0.0876,0.5745,,0.0694826299823012,
43,430,0.084,0.579,,0.06318904349704825,
44,440,0.1017,0.5735,,0.04911804528887554,
45,450,0.0769,0.5753,,0.055667467530962876,
46,460,0.0524,0.578,,0.025254576444895246,
47,470,0.0497,0.583,,0.034071108528691926,
48,480,0.0272,0.5786,,0.02376554643071449,
49,490,0.058,0.5779,,0.021068193760595676,
50,500,0.0564,0.5802,,0.037833496188395106,
51,510,0.1273,0.5769,,0.03376346759609772,
52,520,0.0813,0.5743,,0.014955250435179819,
53,530,0.0845,0.5832,,0.05232644836439392,
54,540,0.0416,0.5815,,0.042416422111630686,
55,550,0.0346,0.5811,,0.03735855150416442,
56,560,0.0409,0.5766,,0.019452185088471418,
57,570,0.0341,0.5761,,0.039692449736175264,
58,580,0.0829,0.5761,,0.02669000285366122,
59,590,,0.0979,,0.03340064737533137,
60,600,,0.0991,,0.018027408168229526,
61,610,,0.0991,,0.02450670435541744,
62,620,,0.0991,,0.03432470145694229,
63,630,,0.0991,,0.033466299246342465,
64,640,,0.0991,,0.03379301874256499,
65,650,,0.0991,,0.03541735791646451,
66,660,,0.0991,,0.0382338622527372,
67,670,,0.0991,,0.05213239252368771,
68,680,,0.0991,,0.03776731536402227,
69,690,,0.0991,,0.07638665819246235,
70,700,,0.0991,,0.037427159804557214,
71,710,,0.0991,,0.030670965909229415,
72,720,,0.0991,,0.05020762121824756,
73,730,,0.0991,,0.021081274570557876,
74,740,,0.0991,,0.0490040615181214,
75,750,,0.0991,,0.04150215330522511,
76,760,,0.0991,,0.016526468294263977,
77,770,,0.0991,,0.05239563513518074,
78,780,,0.0991,,0.017719482461854893,
79,790,,0.0991,,0.025517801553898344,
80,800,,0.0991,,0.028907613832092924,
81,,,,,0.050040216249779175,
82,,,,,0.033959194826043426,
83,,,,,0.06111611781754426,
84,,,,,0.0452017033004272,
85,,,,,0.0546456785634397,
86,,,,,0.028004945596882727,
87,,,,,0.04217016004618953,
88,,,,,0.021586640535770356,
89,,,,,0.024331464268937255,
90,,,,,0.09164421001210218,
91,,,,,0.03153119884183979,
92,,,,,0.07981006414969992,
93,,,,,0.02480560429635048,
94,,,,,0.052005011811960815,
95,,,,,0.018073309678350434,
96,,,,,0.04021920598180146,
97,,,,,0.03286642095083602,
98,,,,,0.035485966558547105,
99,,,,,0.02231285682331765,
100,,,,,0.05471627518278766,
101,,,,,0.03521122020819279,
102,,,,,0.03438120071002217,
103,,,,,0.024357359661771494,
104,,,,,0.02203458652136048,
105,,,,,0.025931648020138094,
106,,,,,0.03262772053915716,
107,,,,,0.04834833278143784,
108,,,,,0.027639075323553353,
109,,,,,0.03674819530983905,
110,,,,,0.03066405402357169,
111,,,,,0.03316287051951307,
112,,,,,0.05422954843514366,
113,,,,,0.049138764382347204,
114,,,,,0.03995857005687096,
115,,,,,0.03027670406661182,
116,,,,,0.03248236510113907,
117,,,,,0.05931835308441928,
118,,,,,0.03392653628155182,
119,,,,,0.02835254810616039,
120,,,,,0.06084826289953474,
121,,,,,0.028025228415455735,
122,,,,,0.044752767202378495,
123,,,,,0.02083479219696226,
124,,,,,0.033644593659675176,
125,,,,,0.04198629612324555,
126,,,,,0.023686159026218977,
127,,,,,0.040066743128497055,
128,,,,,0.03710965079222976,
129,,,,,0.018078331073976057,
130,,,,,0.03960729172510676,
131,,,,,0.030835162129663033,
132,,,,,0.03541468172354778,
133,,,,,0.04708928519595382,
134,,,,,0.019112452744785947,
135,,,,,0.06805564532872992,
136,,,,,0.03286455396886611,
137,,,,,0.038863208647820974,
138,,,,,0.044372200024732876,
139,,,,,0.03598907180875443,
140,,,,,0.02670406132122487,
141,,,,,0.06339719911984856,
142,,,,,0.07075914216982161,
143,,,,,0.06288444267463465,
144,,,,,0.05084164325471658,
145,,,,,0.04087612627813942,
146,,,,,0.03578261795709825,
147,,,,,0.04084832578565248,
148,,,,,0.04342197682570769,
149,,,,,0.04149907303048843,
150,,,,,0.051230465886697225,
151,,,,,0.07272364978866028,
152,,,,,0.04521562605392324,
153,,,,,0.04737059322900439,
154,,,,,0.05079509244780307,
155,,,,,0.04459967418855487,
156,,,,,0.03854481168727585,
157,,,,,0.043138255872035416,
158,,,,,0.03725723104212357,
159,,,,,0.0226398227028644,
160,,,,,0.0649292652134533,
161,,,,,0.03964587842924162,
162,,,,,0.08557664577309929,
163,,,,,0.0336003769454433,
164,,,,,0.02560498856799764,
165,,,,,0.056181644269471705,
166,,,,,0.041787161136755346,
167,,,,,0.02895711879244647,
168,,,,,0.08333278219169121,
169,,,,,0.026254126003279903,
170,,,,,0.05239586570052504,
171,,,,,0.04575500758300686,
172,,,,,0.027047924230237847,
173,,,,,0.03002434713482873,
174,,,,,0.029415780695784724,
175,,,,,0.03799335290210389,
176,,,,,0.0375261985113261,
177,,,,,0.03622413740765706,
178,,,,,0.06906416187945667,
179,,,,,0.038834920511598835,
180,,,,,0.04192717245404148,
181,,,,,0.028960614065482053,
182,,,,,0.04349259298673495,
183,,,,,0.05184948317486592,
184,,,,,0.07491422374650859,
185,,,,,0.06511873150950293,
186,,,,,0.0446823862690469,
187,,,,,0.03818505700017992,
188,,,,,0.03346086852195638,
189,,,,,0.042358311599817663,
190,,,,,0.036325238021885656,
191,,,,,0.02421834087162972,
192,,,,,0.05033751197849126,
193,,,,,0.038562613203245506,
194,,,,,0.02868237647832135,
195,,,,,0.03764958866631209,
196,,,,,0.028448650237093184,
197,,,,,0.042778762353074096,
198,,,,,0.031479850506839886,
199,,,,,0.048793286277716,
200,,,,,0.023512163595265746,
201,,,,,0.020149565906991712,
202,,,,,0.025452385406387182,
203,,,,,0.02192397431802446,
204,,,,,0.023825406324251702,
205,,,,,0.022818076524434128,
206,,,,,0.029524399437004058,
207,,,,,0.011644360598588954,
208,,,,,0.03584792874860545,
209,,,,,0.02060726895778047,
210,,,,,0.021721152363481638,
211,,,,,0.054339076010426236,
212,,,,,0.033857074357902306,
213,,,,,0.022320364601914427,
214,,,,,0.03536069604276793,
215,,,,,0.021572150317029817,
216,,,,,0.03466326775828632,
217,,,,,0.024313761529900477,
218,,,,,0.03738474088841453,
219,,,,,0.039759539650208175,
220,,,,,0.019164032471735006,
221,,,,,0.05246449257862475,
222,,,,,0.02222496637580657,
223,,,,,0.03396562717474888,
224,,,,,0.016492736045415266,
225,,,,,0.027706709529637635,
226,,,,,0.03564243363934729,
227,,,,,0.02468453321341881,
228,,,,,0.047307595109347574,
229,,,,,0.028452676326155377,
230,,,,,0.017406349265045726,
231,,,,,0.028154192387702157,
232,,,,,0.04144253991750446,
233,,,,,0.046907767831735225,
234,,,,,0.03600586943716632,
235,,,,,0.03515419978368106,
236,,,,,0.033032629366586554,
237,,,,,0.018324891983970346,
238,,,,,0.022165141406414242,
239,,,,,0.020880955445587664,
240,,,,,0.02055206755187603,
241,,,,,0.015460027944667809,
242,,,,,0.016002781785160528,
243,,,,,0.028157713952315946,
244,,,,,0.02222727438813766,
245,,,,,0.02099737615038436,
246,,,,,0.014759420168753075,
247,,,,,0.026423401809575617,
248,,,,,0.018148178439821083,
249,,,,,0.027496224926985318,
250,,,,,0.024966775290182985,
251,,,,,0.032976211689554336,
252,,,,,0.026595192224947554,
253,,,,,0.030256015196178553,
254,,,,,0.023371163879019687,
255,,,,,0.03939817038645165,
256,,,,,0.023033253802639597,
257,,,,,0.035646045709604786,
258,,,,,0.0212895788657025,
259,,,,,0.06911538827413367,
260,,,,,0.019902940920544995,
261,,,,,0.02706322973797517,
262,,,,,0.03771687469061153,
263,,,,,0.026984216341090585,
264,,,,,0.04356267713496191,
265,,,,,0.031857912641422716,
266,,,,,0.03575688809978327,
267,,,,,0.04656781452814302,
268,,,,,0.02297374413248658,
269,,,,,0.02382598042622836,
270,,,,,0.017230557063760945,
271,,,,,0.0207825065459666,
272,,,,,0.01999897637076124,
273,,,,,0.03175223645220589,
274,,,,,0.029728201793854044,
275,,,,,0.04400499193803138,
276,,,,,0.04421426109343397,
277,,,,,0.025775969841308807,
278,,,,,0.02326618188131117,
279,,,,,0.027475296812097295,
