step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.022065273193986067,0.7148502838816384
1,10,2.6988,0.301,0.7164,0.7824454646722591,0.872562547686005
2,20,1.9208,0.3982,0.8167,0.03765916266423391,0.3859175044639495
3,30,1.5548,0.4493,0.8563,0.03799990819375916,0.5259302314757048
4,40,1.4911,0.4679,0.8696,0.04511726795619575,0.6073806110061949
5,50,1.6335,0.4237,0.8478,0.05875354767953174,0.6485455781550963
6,60,1.5087,0.4471,0.8634,0.5203848824099053,0.6907215904983269
7,70,1.3987,0.4763,0.8772,0.04606327431784341,0.6104231653024123
8,80,1.4414,0.4679,0.8713,0.37447122314206804,0.6387809122781479
9,90,1.4528,0.4526,0.8708,0.03409563685777554,0.5407953384067399
10,100,1.3555,0.4919,0.8847,0.018191659316362203,0.47426376549499644
11,110,1.427,0.4853,0.8808,0.02982258771876983,0.49957610337554154
12,120,1.337,0.5179,0.8906,0.027128307179279554,0.4912546675670385
13,130,1.3065,0.5115,0.8922,0.04155919863962589,0.4798943311410519
14,140,1.2627,0.5257,0.898,0.057686731447892985,0.456503227789655
15,150,1.2767,0.535,0.8951,0.06282823280371291,0.49959279913548726
16,160,1.2327,0.5452,0.8997,0.05222709900619624,0.48983903772566345
17,170,1.2252,0.5517,0.8997,0.05473021414663919,0.4958990246148323
18,180,1.1838,0.5552,0.9041,0.04873132862887921,0.4500267306707359
19,190,1.2041,0.5516,0.9036,0.04470174774996817,0.44317907723258904
20,200,1.1756,0.5592,0.9068,0.05036161628051661,0.4608198367474824
21,210,1.124,0.5805,0.9124,0.05258322908934364,0.41848308823234304
22,220,1.139,0.5766,0.9122,0.05412948976111487,0.4308919092330012
23,230,1.1092,0.5847,0.9153,0.052538939836535854,0.44194476382635745
24,240,1.0592,0.5945,0.9189,0.04617175865478266,0.4043462616948028
25,250,1.0544,0.5923,0.9182,0.05352450031716797,0.4215877665817372
26,260,1.0333,0.6066,0.9202,0.05033181905218775,0.4197653314155496
27,270,1.0294,0.6109,0.9215,0.05848786809496205,0.43652427655706966
28,280,1.0125,0.6181,0.9231,0.05219766865590905,0.42231750302333504
29,290,0.9966,0.6259,0.9245,0.05041562406318571,0.4407373009950276
30,300,1.0031,0.6183,0.9239,0.08107217406594357,0.45925906945775324
31,310,1.0202,0.6188,0.9232,0.07755877647569472,0.47571340354876407
32,320,0.9882,0.627,0.9266,0.07494174540249537,0.46763457427347305
33,330,0.9957,0.6253,0.9265,0.07682738924192141,0.45390849462750765
34,340,1.0372,0.6225,0.925,0.07519907568678218,0.4415022045382029
35,350,0.9885,0.6333,0.9277,0.08126380356038415,0.4451764767219101
36,360,1.0598,0.6225,0.9239,0.09668463057429079,0.4401076877584537
37,370,0.9992,0.632,0.9267,0.08569818378697701,0.4274914661258095
38,380,1.015,0.6297,0.926,0.0927143762430748,0.4391053247619597
39,390,0.976,0.6418,0.9263,0.07918445864702713,0.4340821505414365
40,400,1.0048,0.6221,0.9239,0.07497892873139517,0.42450032394912723
41,410,1.016,0.6298,0.9249,0.08103267970754803,0.4349109277261503
42,420,0.9747,0.6381,0.9289,0.059276492216972114,0.3969948020853124
43,430,0.9374,0.6491,0.9313,0.06494498173407268,0.41789135650511616
44,440,0.9738,0.6516,0.9313,0.07563426531723103,0.42494283516336373
45,450,1.0068,0.6299,0.9268,0.07608996386905181,0.425859250276598
46,460,0.9482,0.6488,0.9324,0.0660577949331197,0.4081281248548177
47,470,0.9081,0.6621,0.9348,0.05714151325851675,0.3968257371490096
48,480,0.9786,0.6652,0.9317,0.06831810346383543,0.4036698473346684
49,490,0.9212,0.6658,0.9344,0.06942950393457482,0.40786272285230674
50,500,0.9492,0.6649,0.9345,0.06103313084444471,0.4130721383116389
51,510,0.9415,0.6606,0.9328,0.06518904630911328,0.42533037189678774
52,520,0.9161,0.668,0.9341,0.05056228323570699,0.4124596788822301
53,530,0.9278,0.663,0.9329,0.059714773500100855,0.42163341781541025
54,540,0.9885,0.661,0.93,0.053825558915306576,0.4277481429845018
55,550,0.8891,0.6766,0.9379,0.0615686731026039,0.44059221936727766
56,560,0.9549,0.6624,0.9334,0.05708629788934137,0.4387006097199895
57,570,0.9629,0.6657,0.9333,0.06727474758931588,0.4518960891977093
58,580,0.964,0.6456,0.9309,0.06899695736785562,0.46124173240376426
59,590,0.9944,0.6371,0.929,0.05712401244807113,0.45908541904343686
60,600,1.0058,0.6476,0.9304,0.05543417499022048,0.44976779677563644
61,610,1.0814,0.6036,0.9194,0.05358366776671949,0.4504423839323056
62,620,1.2448,0.5986,0.9159,0.05317467738688915,0.44686045818013204
63,630,1.173,0.6175,0.9213,0.051064390669840774,0.4557840991163085
64,640,1.2667,0.5507,0.902,0.04917989587014898,0.45020492515188915
65,650,1.2729,0.5412,0.8981,0.06802714829143258,0.45305163639743773
66,660,1.1041,0.6025,0.9148,0.06884220869419443,0.4612052595794975
67,670,1.1188,0.5957,0.9125,0.06611961917583917,0.4681272072575369
68,680,1.022,0.6201,0.9238,0.06012589883431012,0.4580639174917087
69,690,0.9756,0.6359,0.9286,0.04349681230116461,0.44621507582696635
70,700,0.9469,0.6437,0.9333,0.03969184674988021,0.4593906267774014
71,710,0.9758,0.6403,0.9306,0.04882153588121611,0.4557304478544368
72,720,1.025,0.628,0.9258,0.04773882011619963,0.46226745542937514
73,730,0.9767,0.6449,0.9295,0.039242148339815,0.4440997111593836
74,740,1.1157,0.5872,0.9156,0.051319710007722306,0.45707192699463967
75,750,1.0578,0.6042,0.9192,0.05034100137315029,0.4782027239929126
76,760,1.0189,0.6217,0.9246,0.031157906837120792,0.461544151147627
77,770,1.1313,0.5897,0.9146,0.045689571659269686,0.46307985985508576
78,780,0.9896,0.6358,0.9276,0.039231680748424855,0.46291614047980334
79,790,0.8905,0.667,0.9374,0.03778404446339496,0.4440246015237262
80,800,0.985,0.6418,0.9292,0.045580319929572365,0.4370707967875822
81,,,,,0.04293501958520203,0.44652134562334117
82,,,,,0.031743617347276015,0.42612207771845517
83,,,,,0.05066865867168744,0.44348674364333884
84,,,,,0.049102794358183426,0.43816288484767046
85,,,,,0.05076397967348211,0.43907126883452974
86,,,,,0.04323651197343374,0.4296087802228427
87,,,,,0.04992188163682999,0.44102791719812146
88,,,,,0.0407193550138002,0.42908805141218087
89,,,,,0.04643167761572683,0.4246977720050842
90,,,,,0.03422051178006618,0.41560976424303303
91,,,,,0.036705745833436276,0.4098426270004496
92,,,,,0.028619199543537702,0.4216270567726925
93,,,,,0.04077312745412159,0.4269828913237171
94,,,,,0.03324670731891361,0.4277094449553317
95,,,,,0.047702037696109874,0.43881513954334717
96,,,,,0.0440174286986524,0.450243149556622
97,,,,,0.03894308477407326,0.43425112407381067
98,,,,,0.04434263333862136,0.4393928037357245
99,,,,,0.05562002565528035,0.44260751610439486
100,,,,,0.05560057885767616,0.45584112315919234
101,,,,,0.04577031192619612,0.44465347162472996
102,,,,,0.05260322512374813,0.4462806320072754
103,,,,,0.04516964612071111,0.4378336687921581
104,,,,,0.045062654023399366,0.45072401246402005
105,,,,,0.05269640150028027,0.45098858101820033
106,,,,,0.05755243786947704,0.4489405842375878
107,,,,,0.04537791200380836,0.4509092751175544
108,,,,,0.06599858427121215,0.45367642287992466
109,,,,,0.04976607084666751,0.4568768435639917
110,,,,,0.044448570103943257,0.4502564350111052
111,,,,,0.050186396065684806,0.46383821056185665
112,,,,,0.051968722859966406,0.46102969716645115
113,,,,,0.05021932962415295,0.4603659097261128
114,,,,,0.05344848270309553,0.47290389126720156
115,,,,,0.05327254331796101,0.4775420842104787
116,,,,,0.051795764600724166,0.477751032174593
117,,,,,0.05995856948532771,0.47767985264069296
118,,,,,0.06779748127837201,0.48627544394255207
119,,,,,0.06307136233702383,0.48736154781154223
120,,,,,0.07271147933898213,0.5019264013756346
121,,,,,0.06731409777306925,0.49191974641184394
122,,,,,0.076945446343894,0.4926671121031286
123,,,,,0.07003506398829205,0.505309683562964
124,,,,,0.06655481629738849,0.4913903798548384
125,,,,,0.06128263227958841,0.4944783748916717
126,,,,,0.06960721262583906,0.5112498814252017
127,,,,,0.0727957341783409,0.5115850450615775
128,,,,,0.07967940787135416,0.5223475760469803
