step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.0,0.7408813368617911
1,10,4.4239,0.2928,0.7124,0.0,0.8190733341001188
2,20,1.7192,0.4284,0.8245,0.0,0.7773954383831668
3,30,1.5011,0.4569,0.8619,0.0005206554166381999,0.7818488574924456
4,40,1.4193,0.4895,0.876,0.012198658835826978,0.7433984088134847
5,50,1.2609,0.5362,0.8965,0.012133355596371125,0.7462798522907776
6,60,1.2083,0.5461,0.9015,0.013735445105836663,0.7022089437814517
7,70,1.1777,0.5568,0.9057,0.04016551401463192,0.6795742148675361
8,80,1.1396,0.5651,0.9078,0.04481765804353385,0.5919297715142056
9,90,1.1035,0.5818,0.9132,0.03276391220034888,0.44656990480549463
10,100,1.0661,0.6024,0.9186,0.035632982111577755,0.41433283341995075
11,110,1.0385,0.6064,0.9205,0.039238457245680064,0.4254839432118093
12,120,1.0405,0.6109,0.9211,0.049017851786228535,0.43602463885700976
13,130,1.0721,0.6199,0.9213,0.05791162764641338,0.4393059348032146
14,140,1.0321,0.6388,0.9246,0.0611108024554886,0.44980381768116245
15,150,0.9451,0.6486,0.9297,0.07069519674593361,0.4586747253754479
16,160,0.8877,0.6532,0.9324,0.06414247026968357,0.4399427782133803
17,170,0.8702,0.6677,0.935,0.07371458029839742,0.4707116767228957
18,180,0.9007,0.6645,0.9336,0.07229970621159361,0.48053194721439874
19,190,0.8691,0.6589,0.9356,0.06915753220323845,0.48180952049221193
20,200,0.8508,0.6659,0.9355,0.07103666236876992,0.5006802061194173
21,210,0.8515,0.6717,0.9368,0.07034657669925815,0.5223995816034324
22,220,0.9096,0.654,0.9338,0.08452694550171316,0.5510251393949835
23,230,0.8723,0.681,0.9383,0.07273975720440157,0.5379565418204343
24,240,0.7966,0.6962,0.9425,0.07982382227734336,0.5234686180293345
25,250,0.834,0.6921,0.9406,0.07084600813701533,0.5216488049578664
26,260,0.7815,0.7022,0.9432,0.06457686822775766,0.5088953697829477
27,270,0.7638,0.7127,0.9442,0.05601104656553117,0.48966923532774714
28,280,0.7412,0.7158,0.9447,0.05761556838017962,0.49868179208822816
29,290,0.7161,0.7174,0.9468,0.061251153475226645,0.49858817121546195
30,300,0.794,0.7135,0.9443,0.07277870778955524,0.5006458253496334
31,310,0.8163,0.7034,0.9414,0.09556718928604069,0.516505081677849
32,320,0.7195,0.726,0.9493,0.0649105352156256,0.4970974982283986
33,330,0.7718,0.7224,0.9456,0.06914146349667072,0.502441453964307
34,340,0.6568,0.735,0.9506,0.07986544265960206,0.5059841470467965
35,350,0.6896,0.7296,0.9488,0.09387101107430375,0.5288619675900509
36,360,0.6522,0.7329,0.951,0.0840173106384985,0.5019259112459094
37,370,0.7616,0.7097,0.9443,0.0869372812187501,0.5067229792725498
38,380,0.701,0.7362,0.9487,0.09349911251883854,0.5363914988876579
39,390,0.6772,0.7434,0.9492,0.09876642927551635,0.533602614258873
40,400,0.6349,0.7496,0.9502,0.08644822606023991,0.517960727458996
41,410,0.6069,0.7436,0.952,0.08081280191741289,0.5234791778486036
42,420,0.6116,0.755,0.9538,0.07869934968926837,0.5170793515325146
43,430,0.6082,0.7476,0.9531,0.07158915555112999,0.5096141581168989
44,440,0.5671,0.7602,0.9554,0.0829764857559372,0.5158532843284189
45,450,0.5373,0.7647,0.9568,0.08470278019769248,0.5254656059881768
46,460,0.5269,0.7638,0.9578,0.07093855546707457,0.5075800646839533
