step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.0,0.7113691709196088
1,10,3.5314,0.3263,0.7343,0.011703809072230125,0.7785300344736265
2,20,2.1858,0.3881,0.8003,0.012251767896929186,0.7593639473417031
3,30,1.5938,0.4454,0.8573,0.6343014066698277,0.7358797195099909
4,40,1.5072,0.4787,0.8728,0.5768243194462809,0.7295983084653443
5,50,1.5085,0.4475,0.8605,0.5231690117539229,0.6801028697639449
6,60,1.4413,0.4646,0.8683,0.5005230794704479,0.6890855267164228
7,70,1.3569,0.501,0.883,0.014848402971460893,0.5168495814996604
8,80,1.205,0.5516,0.9022,0.03442127273591253,0.5618602475918751
9,90,1.2214,0.5574,0.9032,0.03295920954677102,0.4685420226938073
10,100,1.205,0.5538,0.9037,0.031935013037991206,0.46938852875566367
11,110,1.3751,0.4952,0.8842,0.03806383434976908,0.5136530362323545
12,120,1.198,0.5526,0.9051,0.049200090363816146,0.5178679520592347
13,130,1.2771,0.5183,0.8945,0.04601699239979397,0.4845907738053745
14,140,1.2151,0.5507,0.9011,0.04666857919546208,0.4822953846956248
15,150,1.0998,0.5814,0.9148,0.04711660550962254,0.4966522059828152
16,160,1.1004,0.5845,0.9139,0.039042956200024105,0.4888307095551434
17,170,1.121,0.5867,0.9145,0.046376505215420534,0.4919895762825183
18,180,1.0911,0.5921,0.9161,0.1803728914526169,0.47642325976599187
19,190,1.063,0.6015,0.9194,0.17717881770493316,0.4945215282039126
20,200,1.0414,0.611,0.9227,0.04339478479963896,0.46691498478749055
21,210,0.9891,0.6234,0.9264,0.03307846376628481,0.4332089670442214
22,220,1.0421,0.6065,0.9201,0.02965321322864016,0.411727157478226
23,230,0.9939,0.6223,0.9248,0.03476737613197171,0.401661194154867
24,240,0.9746,0.6261,0.9275,0.0425826987382186,0.40112481987546267
25,250,1.0576,0.6054,0.9194,0.051032355176796565,0.4175080098378326
26,260,0.9703,0.6357,0.9283,0.0532159021263546,0.41849144612758704
27,270,0.9633,0.6476,0.9299,0.05090154888810861,0.4100113955561598
28,280,0.957,0.6403,0.9305,0.039398070063135344,0.38268948246828816
29,290,1.2343,0.5992,0.9164,0.04572268201315513,0.38673216366101265
30,300,1.1123,0.6427,0.9302,0.045448769462138924,0.4112458337739463
31,310,0.885,0.67,0.9337,0.04622616523709783,0.4070287251569923
32,320,0.8825,0.6754,0.9372,0.043597788678465636,0.4005026228757833
33,330,0.8545,0.6789,0.9386,0.04139118481632465,0.40689852169782864
34,340,0.8548,0.6767,0.9393,0.04609762109315015,0.40860623684591785
35,350,0.8573,0.6686,0.9362,0.04977032223195674,0.41734501420250886
36,360,0.8314,0.6814,0.9403,0.05255344360911773,0.42954305484650585
37,370,0.8701,0.6873,0.9392,0.0512288650377248,0.4373078147924745
38,380,0.8885,0.6978,0.9395,0.06412885587723585,0.4509533889455746
39,390,0.8566,0.6998,0.9407,0.06431610741915804,0.45529019665806486
40,400,0.7434,0.7099,0.9445,0.0663937028864755,0.45750085225449716
41,410,0.7567,0.7146,0.9448,0.06537797925886707,0.4655808648672506
42,420,0.7202,0.7192,0.9473,0.06584146940907507,0.4737074900556737
43,430,0.7324,0.7168,0.9444,0.057569447182536364,0.4680812677515834
44,440,0.724,0.7243,0.9466,0.0529039278925538,0.44686889531213586
45,450,0.6637,0.7278,0.9503,0.05340775257185478,0.4543669949419527
46,460,0.7139,0.7242,0.9485,0.04593701057735185,0.434316303585738
47,470,0.7165,0.7236,0.9487,0.03939238005810449,0.4284123436023535
48,480,0.6593,0.7268,0.9507,0.03803229018319258,0.423235043960175
49,490,0.6664,0.7266,0.9518,0.03507425894778953,0.42373215403944525
50,500,0.6523,0.7342,0.9521,0.03418412585702521,0.42924548471814616
51,510,0.8374,0.6968,0.9419,0.037890938413541304,0.43849246629706634
52,520,0.6907,0.7191,0.9486,0.04677108373975601,0.44465240498949565
53,530,0.7182,0.7093,0.9465,0.04474771463078323,0.4614929394839307
54,540,1.2311,0.7078,0.9419,0.03959225637484079,0.4423307461258594
55,550,0.7992,0.7147,0.9434,0.04035800575047643,0.43755695853366994
56,560,0.8013,0.7081,0.94,0.0369475184156131,0.4434030630051084
57,570,0.7688,0.7261,0.9492,0.040310581444916053,0.44896868995338435
