step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4217,0.1065,0.5006,0.015615615615615617,0.7185762946591672
1,10,4.2519,0.1415,0.5964,0.00180166511048864,0.7456328874538879
2,20,2.9695,0.1595,0.6273,0.7434648340267883,0.8496121326656212
3,30,2.1432,0.2412,0.7143,0.011868352446780047,0.42953592967407644
4,40,2.005,0.2785,0.7303,0.6495085679262651,0.8386514929340027
5,50,1.9613,0.3024,0.7447,0.5531331287431825,0.6928121982998587
6,60,1.7164,0.3793,0.7904,0.44821917577326975,0.6329884962151763
7,70,1.8147,0.3373,0.7524,0.38272876010424234,0.5961857456057591
8,80,1.8594,0.3413,0.7428,0.43662974438411484,0.7079006818832523
9,90,1.6289,0.4207,0.7657,0.39435289548277663,0.6283447539037995
10,100,1.6106,0.4024,0.7775,0.39745952160747205,0.7014201739938725
11,110,1.5926,0.4143,0.7574,0.21747096233320617,0.5135939663564286
12,120,1.7211,0.3903,0.7575,0.298640574884911,0.5689361517246335
13,130,1.5362,0.4337,0.7698,0.24444264513388836,0.5703607799105741
14,140,1.5159,0.4325,0.758,0.3302105759208925,0.6625171998649615
15,150,1.5924,0.4442,0.7315,0.24590182189711104,0.5623782092300803
16,160,1.6319,0.416,0.7286,0.3304519205434143,0.7348283354338385
17,170,1.5091,0.4174,0.7075,0.09317453407930167,0.5439636127687641
18,180,1.7546,0.3846,0.6936,0.2655986406619627,0.6804895990302823
19,190,1.5454,0.4151,0.7057,0.038577059633511726,0.49681750533608543
20,200,1.6382,0.4142,0.6899,0.17969452712981182,0.5273756496754329
21,210,1.6183,0.4287,0.6963,0.14277104311873354,0.519263605148135
22,220,1.6724,0.4088,0.7115,0.006813444142017493,0.4121757371108095
23,230,1.5396,0.4256,0.6851,0.001484956030410576,0.4277006640649415
24,240,1.6468,0.3952,0.6744,0.0002904923359468814,0.38514382904563393
25,250,1.7965,0.3746,0.6646,0.10845562890671614,0.5714629885098829
26,260,1.8063,0.3738,0.6665,0.2757184579739385,0.6832200508541776
27,270,1.7162,0.3953,0.6655,0.29681719907630194,0.6812897286612936
28,280,1.8206,0.39,0.6555,0.06234053169288079,0.44906333626148504
29,290,1.6719,0.3874,0.6654,0.11200341037088424,0.571960877171461
30,300,1.8165,0.4104,0.6602,0.05688168549557244,0.5007167938687795
31,310,1.5995,0.4137,0.653,0.1881273979247847,0.6113499523927839
32,320,1.5782,0.4197,0.653,0.1488548950614208,0.5639076743701187
33,330,1.7172,0.3831,0.6401,0.08308425212175659,0.4452653515272623
34,340,1.4974,0.4103,0.6506,0.08237405750607585,0.4930316427207968
35,350,1.9176,0.4013,0.6553,0.207771466031575,0.5956030497918439
36,360,1.6888,0.4361,0.6597,0.1343963324689832,0.5767328044642703
37,370,1.6079,0.376,0.6528,0.032088012805104094,0.5304767667941744
38,380,1.6069,0.415,0.6609,0.09567469923342846,0.5817509124658707
39,390,1.5625,0.4236,0.6428,0.20459582284253466,0.5999237252802522
40,400,1.3902,0.4361,0.6406,0.07407812695329932,0.5042348099545216
41,410,1.5041,0.4216,0.6401,0.028559175256462024,0.4740338906590049
42,420,1.4943,0.4248,0.6409,0.024736866842413403,0.508985675910309
43,430,1.4353,0.4185,0.6383,0.05067579829902637,0.5698539293927973
44,440,1.3787,0.4288,0.6395,0.13906707437719754,0.5900718688292956
45,450,1.6,0.4356,0.6386,0.04079539453873328,0.43789293051479444
46,460,1.5617,0.3875,0.6202,0.010285947219221115,0.37998216663345985
47,470,1.4227,0.4376,0.6358,0.141234718168879,0.5766043714346631
48,480,1.3626,0.4441,0.6409,0.0671819264364258,0.5187982736487727
49,490,1.4149,0.4568,0.6501,0.23245282963337768,0.6506558460259892
50,500,1.34,0.4562,0.6451,0.19366624219346312,0.6156991511863205
51,510,1.4213,0.4558,0.6448,0.07373342386644083,0.4711253877973195
52,520,1.3661,0.4573,0.6441,0.08780456423641,0.5479334337903502
53,530,1.3886,0.4665,0.6434,0.026033364567712627,0.4682266828865677
54,540,1.2361,0.466,0.6518,0.06637848679499857,0.5280960632692748
55,550,1.2359,0.479,0.6475,0.015725917401880965,0.435977580037708
56,560,1.2462,0.4718,0.6476,0.15090591006615448,0.6148616062952468
57,570,1.1648,0.4878,0.6442,0.09447661094725208,0.5805551836461303
58,580,1.1684,0.48,0.6472,0.07210918170993835,0.5681225503391482
59,590,1.1619,0.4808,0.6445,0.18439518233173338,0.6103406347379746
60,600,1.1389,0.4832,0.6515,0.0090938313280948,0.4534372856500074
