step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.0,0.7239304283830107
1,10,6.0852,0.1829,0.6063,0.010898892418577895,0.501181696503541
2,20,2.773,0.2515,0.6642,0.817383825633193,0.9027774870000588
3,30,2.2854,0.2316,0.6838,0.0005376344086021505,0.1645326321856944
4,40,2.1593,0.2603,0.6987,0.0168879405721511,0.1831696945363162
5,50,1.9085,0.3104,0.7515,0.00896037014458067,0.269235981467828
6,60,1.7998,0.3522,0.7738,0.12436310903791783,0.3811763317432679
7,70,1.8377,0.357,0.7739,0.06642420051069757,0.34685245577332535
8,80,1.7859,0.3604,0.7615,0.1224786427410607,0.5170439173180742
9,90,1.6932,0.4073,0.7762,0.04268267822686157,0.3979676117412166
10,100,1.601,0.4167,0.7777,0.13282950226264986,0.4803548559841217
11,110,1.6095,0.4352,0.7607,0.2123364655648529,0.6079536724178052
12,120,1.8671,0.3671,0.7508,0.010080640242055398,0.4474146851926426
13,130,1.5005,0.4488,0.7546,0.0279242933986254,0.40298640159046595
14,140,1.4804,0.4552,0.7533,0.06389015312471637,0.47358266535730587
15,150,1.6156,0.4281,0.7471,0.21941628724425602,0.633687077673932
16,160,1.4664,0.4421,0.7381,0.09060533365573617,0.5628899180031446
17,170,1.4625,0.4408,0.7327,0.02708724576022609,0.47224435929893616
18,180,1.4532,0.4363,0.73,0.00923829853156495,0.47950022441608625
19,190,1.6533,0.4168,0.7175,0.1423555749151191,0.5385836161712473
20,200,1.7546,0.4043,0.7112,0.005529139826099233,0.4429769412220607
21,210,1.5271,0.4267,0.7044,0.006830864577022687,0.45278728453513606
22,220,1.5949,0.4138,0.6885,0.009493281826169526,0.4516182028481478
23,230,2.0068,0.3646,0.6731,0.10491228289729038,0.5879937061904521
24,240,1.5753,0.4211,0.6806,0.07394621775206185,0.4905714339058652
25,250,1.578,0.4268,0.6766,0.21715798917305587,0.6655591836506385
26,260,1.7042,0.399,0.665,0.19133640598425317,0.6178670691995611
27,270,1.923,0.406,0.6753,0.36654204071187535,0.6915219513343609
28,280,1.8456,0.3688,0.6695,0.008396652111812425,0.49781092244334596
29,290,1.5779,0.4371,0.6679,0.11384257460071301,0.6150573605888675
30,300,1.6473,0.3911,0.6441,0.07765194027150975,0.5463069370932564
31,310,1.7988,0.391,0.649,0.04731220381017025,0.48799154770294684
32,320,2.005,0.3704,0.6484,0.14549690414719596,0.5366180068904408
33,330,1.6086,0.4037,0.6345,0.16517692455810679,0.5607103156571464
34,340,1.955,0.3987,0.6516,0.011389214291812232,0.45936589256191224
35,350,1.757,0.385,0.6415,0.11060527080127201,0.5480258510674633
36,360,1.6248,0.3976,0.6427,0.12777632951062048,0.5324232846039634
37,370,1.7529,0.3915,0.6381,0.267701632032573,0.6472435287006947
38,380,1.939,0.397,0.6401,0.15411326460959102,0.5864192437605791
39,390,1.7521,0.4141,0.6432,0.2408262784675507,0.682124934802559
40,400,1.6486,0.4209,0.6412,0.48152337605145007,0.817306441333127
41,410,1.6417,0.4113,0.631,0.16637721355935162,0.5936116443892753
42,420,1.8327,0.3949,0.6188,0.006200105264899772,0.5180315661952336
43,430,1.7193,0.386,0.622,0.08463708832920282,0.5114518889003145
44,440,1.7504,0.4098,0.6317,0.01701168880033274,0.5050320120069601
45,450,1.8815,0.4059,0.6312,0.17280777755995316,0.6702058237892877
46,460,1.7112,0.4156,0.6225,0.23596564816491758,0.6472600821993282
47,470,1.5739,0.4306,0.6282,0.18986017549469036,0.5869710541528378
48,480,1.6611,0.4144,0.6137,0.11192098239716103,0.5052631726081298
49,490,1.4677,0.397,0.6137,0.17750893301086842,0.5826016253478943
50,500,1.5038,0.4215,0.6223,0.2389184652127709,0.65490030075774
51,510,1.4996,0.4084,0.628,0.025402774916639764,0.5080009513714561
52,520,1.3881,0.4336,0.626,0.006866164937808485,0.5098741455130879
53,530,1.3934,0.4417,0.6318,0.0168659456435884,0.5266214186769015
54,540,1.3238,0.4469,0.6234,0.10834142414668767,0.6365966535469982
55,550,1.2827,0.451,0.6274,0.04807888526755854,0.5683120357381423
56,560,1.1815,0.4543,0.6355,0.04493321758416038,0.45961141169184855
57,570,1.2981,0.4538,0.6305,0.055157163936653014,0.470463943448146
58,580,1.2611,0.4606,0.6282,0.02551434328623184,0.4393843913513995
59,590,1.2244,0.4544,0.6315,0.0829158956906593,0.48447076941480915
60,600,1.4509,0.461,0.6273,0.01826821736081444,0.44819691073886375
61,610,1.2268,0.4557,0.6296,0.14434595676674045,0.5936730898503925
62,620,1.2262,0.465,0.6353,0.23575272490128762,0.6259649868816838
63,630,1.2741,0.4747,0.6373,0.28301967943135187,0.6704221217918215
64,640,1.3656,0.4472,0.6258,0.057770591755602965,0.5080380921121498
65,650,1.206,0.4692,0.6313,0.03724913971276291,0.49271075121702573
66,660,1.196,0.47,0.6317,0.11574837519216555,0.4968563102929621
67,670,1.167,0.4804,0.6367,0.18170623036718409,0.6175471076320749
68,680,1.129,0.4837,0.6383,0.25027184016321874,0.6427245361349367
69,690,1.2665,0.4791,0.6378,0.12958907353222396,0.5986394548728203
70,700,1.2926,0.4837,0.6339,0.01480867741201889,0.40885230581274934
