step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.0002525252525252525,0.7222968512899212
1,10,4.2402,0.1548,0.5804,0.4168073843357027,0.8241262192266812
2,20,2.9107,0.2221,0.6561,0.00010683760683760684,0.4761362533310531
3,30,2.1356,0.2824,0.7211,0.0009485094850948511,0.559365580744058
4,40,1.944,0.3161,0.7498,0.00230211331002782,0.6994451092651026
5,50,1.9396,0.3097,0.7442,0.5882618010300922,0.769264227148972
6,60,1.9133,0.3077,0.7654,0.02412506583867428,0.4832250109603574
7,70,1.7,0.3759,0.7742,0.4932938838736472,0.6556768500825925
8,80,1.7465,0.3487,0.7721,0.0004570784706608136,0.3123796498630091
9,90,1.5581,0.4312,0.7981,0.022475076883749084,0.58065967961486
10,100,1.5662,0.4319,0.7876,0.35481895549314585,0.5599839399729497
11,110,1.5951,0.414,0.7776,0.4278285799137346,0.6917438509027372
12,120,1.5229,0.4425,0.7804,0.35136105302351345,0.5981791916524771
13,130,1.5475,0.4278,0.7417,0.36487747624040656,0.6310382241523536
14,140,1.6015,0.4245,0.7327,0.31523714660046814,0.5403396463725638
15,150,1.5095,0.4384,0.7316,0.003632963972241198,0.43207762810413575
16,160,1.4614,0.4483,0.7338,0.21439046895783082,0.503095829510668
17,170,1.7176,0.391,0.7016,0.2918715459201263,0.6125262109473889
18,180,1.5555,0.4352,0.7062,0.3030287684269798,0.6336617190264553
19,190,1.53,0.432,0.7016,0.2350786432316112,0.5218055761445436
20,200,1.5394,0.4298,0.7009,0.17746399853366912,0.47835627101226275
21,210,1.4813,0.4327,0.6848,0.23846041282193606,0.5564495348222989
22,220,1.5366,0.4141,0.688,0.18508086611289415,0.4944604635915282
23,230,1.9682,0.3768,0.6697,0.08072411077234716,0.3915408360200117
24,240,1.6624,0.383,0.6549,0.12282685121562564,0.4393133974037127
25,250,1.6438,0.4087,0.6753,0.021143055544918757,0.35207381057623854
26,260,1.4862,0.4246,0.6873,0.054770965682437556,0.372723578660984
27,270,1.6985,0.401,0.668,0.1187461597017683,0.4808706248171416
28,280,1.6624,0.3894,0.6699,0.04677397308909667,0.3830174909636385
29,290,1.5984,0.396,0.6641,0.006002746513504615,0.40530715984492643
30,300,1.665,0.393,0.6649,0.07059353156241058,0.39581786148129194
31,310,1.4548,0.4144,0.662,0.1788212079478336,0.5755931859698458
32,320,1.4982,0.4064,0.6554,0.017466597713874134,0.3642909813263944
33,330,1.4648,0.3998,0.6553,0.13394661727603846,0.4809121860584534
34,340,1.6107,0.4063,0.659,0.006293614122227372,0.2913710979278042
35,350,1.518,0.4157,0.6532,0.0014408334406766884,0.3058729594484174
36,360,1.7003,0.4043,0.6353,0.009798088223800874,0.31338295795568916
37,370,1.4127,0.4217,0.6444,0.14592204383995114,0.5473427509963822
38,380,1.4151,0.4165,0.6533,0.01622348634828758,0.4289660577929267
39,390,1.2443,0.4329,0.6518,0.3311870366876669,0.750928510639886
40,400,1.2148,0.4312,0.644,0.29808642777729816,0.6860142562355934
41,410,1.3427,0.412,0.6329,0.04651294899770157,0.47192552529052423
42,420,1.4371,0.4283,0.6477,0.15090620928394177,0.5961854588722624
43,430,1.2372,0.4369,0.636,0.08645177370088943,0.5964933508548221
44,440,1.2904,0.4328,0.63,0.09349484577543184,0.594613052666648
45,450,1.2778,0.4375,0.6446,0.1554605752586398,0.6680246325109607
46,460,1.1279,0.4519,0.6419,0.05376538254802428,0.5504774747724215
47,470,1.1949,0.4383,0.6356,0.09234083573179591,0.6038095474357615
48,480,1.1605,0.4366,0.642,0.19874655020981816,0.7133771812626607
49,490,1.2569,0.4474,0.6419,0.08187468514828504,0.5732280290401109
50,500,1.2105,0.4532,0.6304,0.109171208501027,0.581685790671181
51,510,1.1945,0.4513,0.6375,0.023580574114808586,0.513519137673759
52,520,1.1429,0.4559,0.6324,0.37487020930937714,0.8246993671369057
53,530,1.1826,0.456,0.6347,0.4193314408676217,0.8538427153680127
54,540,1.0947,0.4675,0.6376,0.6276677062177514,0.9181318529471214
55,550,1.1438,0.4651,0.6349,0.362761315710165,0.8175798481791816
56,560,1.0401,0.4624,0.634,0.4037322742286627,0.7868646644973076
57,570,1.0636,0.4557,0.6324,0.4938365757493988,0.842914938828234
58,580,0.9374,0.4755,0.6397,0.7263261919839389,0.9301720341706045
59,590,0.8738,0.4859,0.6426,0.6078098849782055,0.8996067056951669
60,600,1.0095,0.458,0.6294,0.47322320284107877,0.8500610070889318
61,610,1.0756,0.4731,0.6342,0.46622212574947164,0.8268256882937238
62,620,0.868,0.4783,0.6301,0.6958691897392072,0.9255215037985819
63,630,0.9474,0.4844,0.6398,0.665012003380821,0.9074454692559605
64,640,0.809,0.4716,0.6357,0.5484117955000923,0.8589938190531641
65,650,0.6782,0.486,0.6429,0.6079933346928404,0.897206434916311
66,660,0.8506,0.4826,0.6381,0.8304813687781437,0.9619477921810566
67,670,0.6517,0.4861,0.6402,0.7534060001822959,0.9333781183568789
68,680,0.7902,0.4918,0.6438,0.7424457502911281,0.9251625427542076
69,690,0.8358,0.4969,0.6474,0.8551632719567381,0.9653084542858537
70,700,0.7902,0.4949,0.6456,0.7521164187348948,0.9382130032490541
71,710,0.7228,0.5065,0.6447,0.8488803328154162,0.9581879379643807
72,720,0.4904,0.5017,0.641,0.7132872381938026,0.9209339334346931
73,730,0.5567,0.5012,0.6422,0.7494441084223837,0.9422717769199198
74,740,0.5942,0.5041,0.6429,0.8437855043134634,0.9585942898295632
75,750,0.5712,0.5086,0.6465,0.7288465785657249,0.9294482702560732
76,760,0.6801,0.5032,0.646,0.8355575370229442,0.954408041383241
77,770,0.7471,0.5016,0.6461,0.6015189422995099,0.8890070567628936
78,780,0.6421,0.4998,0.6473,0.8444455541812989,0.9588492063388798
79,790,0.694,0.5047,0.6495,0.8989467656332001,0.9763632592567761
80,800,0.5396,0.5116,0.6507,0.890478902513936,0.9768978227871349
81,,,,,0.8045346085337498,0.9584834910674899
