tag,file,rounds_seen,best_acc,best_round,final_acc,final_auc,final_train_loss,final_asr,final_attack_auc,mean_acc_last_10,mean_asr_last_10,mean_round_time
A01_BADNET_NO_CL,A01_BADNET_NO_CL.log,801,0.8083374854675303,660,0.7832,0.961,0.2935,0.3976603610900617,0.8339874320891895,0.79409,0.3780875582498776,5.966953677928701
A02_BADNET_NO_MASK,A02_BADNET_NO_MASK.log,801,0.7933067596744727,740,0.7866,0.9644,0.1786,0.5265317636103478,0.8976660705658402,0.78949,0.5345231566806797,5.5094062523002485
A03_BADNET_NO_BOTH,A03_BADNET_NO_BOTH.log,801,0.7797708021923269,710,0.7769,0.9625,0.0824,0.5698231887931506,0.9026151328842881,0.77333,0.5699088080494369,5.562060952037759
A04_BLEND_NO_CL,A04_BLEND_NO_CL.log,801,0.7825112107623319,720,0.7782,0.9606,0.178,0.11328122840182982,0.6292302637417109,0.7630600000000001,0.10655101585926488,6.285907998067163
A05_BLEND_NO_MASK,A05_BLEND_NO_MASK.log,801,0.7852516193323368,570,0.781,0.9614,0.2181,0.195319374159162,0.760368839625268,0.78029,0.18378969118963714,5.903953546888373
A06_SIG_NO_CL,A06_SIG_NO_CL.log,801,0.8028566683275203,760,0.7804,0.9572,0.3992,0.04426165750741361,0.579676403494693,0.7908799999999999,0.04809231967549319,6.029254516561082
A07_SIG_NO_MASK,A07_SIG_NO_MASK.log,801,0.7877428998505231,710,0.7858,0.9643,0.1222,0.42879939420327834,0.8523504951347181,0.77918,0.4113433480580391,5.519843433680159
B01_BULYAN_BADNET,B01_BULYAN_BADNET.log,801,0.48090018269390467,780,0.4777,0.6263,1.1398,0.9166895433526931,0.8616439271247387,0.46931,0.9058385104148451,4.590470581911923
B02_BULYAN_BLEND,B02_BULYAN_BLEND.log,801,0.46736422521175885,760,0.4635,0.613,1.0611,0.662863806218982,0.7062138771593534,0.45606,0.7008753218705668,4.623770795660222
B03_BULYAN_SIG,B03_BULYAN_SIG.log,801,0.46661684105630297,790,0.464,0.6166,1.243,0.977661324479169,0.9278455423557231,0.45122,0.9846756507505333,4.740280117434955
F00_CLCM_BADNET_T6A03_800,F00_CLCM_BADNET_T6A03_800.log,801,0.8147317721308752,800,0.8147,0.9675,0.3097,0.39495668517366594,0.8396831780653212,0.7945599999999999,0.4615427758091869,5.97626199436545
F01_CLCM_BLEND_T6A03_800,F01_CLCM_BLEND_T6A03_800.log,801,0.8029397110114599,710,0.7905,0.9633,0.3794,0.09698131773071589,0.6371163463541057,0.7841400000000001,0.11923231827443062,6.069944185264101
