step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.036369132443753505,0.744465209273797
1,1,36.2897,0.1226,0.5344,0.8301525670055124,0.8293841090128264
2,2,68.1299,0.1423,0.5642,0.7782608695652173,0.8125807835579639
3,3,25.2175,0.1706,0.5987,0.6980659918534372,0.7393198032901108
4,4,18.222,0.2123,0.6255,0.038340552468126836,0.6940276289254064
5,5,11.817,0.2452,0.6526,0.12560993598227693,0.6620027326152603
6,6,11.9022,0.2362,0.6641,0.49188505002970695,0.6352191452806639
7,7,7.3196,0.2726,0.6923,0.3848698014375097,0.6007700373562745
8,8,8.9656,0.2776,0.7012,0.42452721959841505,0.6032363016325943
9,9,7.3782,0.2884,0.7076,0.35899459180446136,0.5633186072269687
10,10,6.2614,0.3073,0.7281,0.3414506886607953,0.5810665884197388
11,11,5.7949,0.3123,0.7358,0.29988141372015226,0.5468425276241405
12,12,5.1058,0.3252,0.753,0.29844717437667,0.5606700933938675
13,13,4.8255,0.3341,0.7633,0.30418366381245865,0.5748628789454637
14,14,6.1308,0.3446,0.7722,0.29310364657759036,0.5884458553680355
15,15,5.0616,0.3391,0.7715,0.27637944497552147,0.5689003587364411
16,16,5.3034,0.3468,0.7833,0.24388890057645404,0.5730516914364823
17,17,4.2097,0.3661,0.7951,0.23159973583324814,0.5619315454143294
18,18,3.783,0.3722,0.7991,0.20714253733836557,0.5535200514888815
19,19,3.5275,0.3923,0.8083,0.19709226400736446,0.5450475188853408
20,20,3.735,0.3883,0.8063,0.18378483141414365,0.5442485969752605
21,21,3.6897,0.4209,0.8238,0.1815841623134019,0.5638957953492818
22,22,3.0908,0.4306,0.8273,0.17291784174023822,0.5769444518134994
23,23,2.8255,0.4347,0.83,0.15516685507710748,0.5605271428884104
24,24,2.5572,0.4306,0.828,0.12378970000375582,0.5349808471629021
25,25,2.2954,0.4327,0.8339,0.12756970011486723,0.5409450729786701
26,26,2.1841,0.4501,0.8424,0.13140242758081414,0.5565842349445068
27,27,2.1817,0.4448,0.8402,0.11770997103093453,0.5505593858167822
28,28,2.1035,0.4684,0.8506,0.12963526297389058,0.5650504297052829
29,29,2.1913,0.4717,0.8524,0.12207138739754515,0.5661362803227974
30,30,2.0503,0.4831,0.862,0.1335336316143369,0.5766594698340223
31,31,2.1805,0.4775,0.861,0.13314243664684017,0.5781712173704291
32,32,2.0542,0.481,0.8646,0.12656526441026042,0.5663911166673201
33,33,1.7658,0.4963,0.876,0.12884967179903883,0.5804595514054136
34,34,1.8256,0.4909,0.8712,0.11616941382255441,0.5628781582080742
35,35,1.729,0.5164,0.88,0.11019932952495655,0.5371180220830858
36,36,1.7062,0.5151,0.8813,0.08595839759048816,0.5371005800868418
37,37,1.7475,0.5158,0.8825,0.09581603135090357,0.5341639589476002
38,38,1.654,0.5313,0.8876,0.08019136560517635,0.5461896556645262
39,39,1.6156,0.5374,0.8901,0.057149024368428857,0.5085333746282336
40,40,1.48,0.5521,0.8966,0.06878469632192255,0.5214309579308306
41,41,1.4208,0.5557,0.8986,0.0666142986793442,0.5305702544386787
42,42,1.3893,0.5604,0.9018,0.07805024884419498,0.5582227131836105
43,43,1.3076,0.5715,0.9083,0.0618643217295293,0.528895817724356
44,44,1.3065,0.5724,0.9087,0.05195193770979773,0.5177854862299506
45,45,1.3224,0.5742,0.911,0.06117766490987556,0.5277201900470084
46,46,1.3192,0.5797,0.9126,0.05264094772543959,0.5331302096191922
47,47,1.0867,0.5792,0.9143,0.05090737642354882,0.5205580187661745
48,48,1.0704,0.5857,0.9164,0.059393863078652194,0.5465048156456236
49,49,1.0887,0.5771,0.9143,0.0561780878668148,0.5431579244661994
50,50,1.0452,0.5943,0.9194,0.05564169860408051,0.5394596249404928
51,51,1.0149,0.6047,0.921,0.052696706408129984,0.5388737602089129
52,52,1.0158,0.604,0.9209,0.05232019528714686,0.5165105585820332
53,53,1.0265,0.6001,0.9209,0.0514980239490742,0.5038370363592162
54,54,1.0249,0.6008,0.9214,0.05120888277321111,0.5078311982778976
55,55,1.0476,0.5897,0.9188,0.051672022685596924,0.5121518121120732
56,56,1.0169,0.5997,0.9204,0.05463697950942634,0.518274816630049
57,57,0.9825,0.616,0.9225,0.05347650037345112,0.5254711735293839
58,58,0.9627,0.6199,0.9244,0.06794874028178831,0.552334624766025
59,59,0.9766,0.6124,0.9234,0.06951056938028351,0.5451057033955735
60,60,0.9572,0.6219,0.9262,0.06697798924305667,0.5371962109612065
61,61,0.9525,0.6223,0.927,0.0709366542968071,0.5282849579736487
62,62,0.949,0.6246,0.9274,0.06473489544365035,0.5185476997690384
63,63,0.9775,0.612,0.925,0.07167265100608279,0.5278332515053026
64,64,0.9431,0.6256,0.928,0.0847579821873981,0.5608365142738995
65,65,0.9028,0.6417,0.9312,0.07648723315810406,0.549675329685091
66,66,0.9266,0.6354,0.9282,0.06424913123237122,0.5154721009705914
