step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4221,0.1065,0.5006,0.00019665683382497542,0.7248918135976533
1,10,8.5434,0.3132,0.7175,0.004326450344149459,0.7503528287023512
2,20,2.452,0.4502,0.8317,0.7537210883449821,0.8083579032542548
3,30,2.0785,0.5205,0.8686,0.6779079511933495,0.78503001059711
4,40,1.1781,0.5782,0.9054,0.5908061174512307,0.7349181257731742
5,50,1.054,0.6055,0.9169,0.5175432295453078,0.6928886510047696
6,60,1.005,0.6139,0.9209,0.4846035682153141,0.6534438052318795
7,70,0.9374,0.6282,0.9257,0.4400968084863226,0.6354885010366986
8,80,0.9068,0.6432,0.9306,0.43053295187875357,0.6291155431939499
9,90,0.857,0.6531,0.9339,0.4146244885437203,0.6235617207533983
10,100,0.7905,0.684,0.9394,0.38012782058314065,0.5998882484559243
11,110,0.7309,0.6901,0.9432,0.3590688388608626,0.5909179274843559
12,120,0.69,0.6999,0.9459,0.30703164337850897,0.5454781003393562
13,130,0.677,0.6989,0.9455,0.29242757991334833,0.5529055000780039
14,140,0.6362,0.7133,0.9476,0.27406928845957934,0.5295038088604566
15,150,0.602,0.7253,0.9492,0.2676640126593721,0.5452402762228028
16,160,0.5359,0.737,0.9525,0.23725585084181147,0.5395399226883676
17,170,0.5094,0.7344,0.9521,0.21411600877753934,0.5225945475838467
18,180,0.4592,0.7454,0.9554,0.18401713702849956,0.5010682231409398
19,190,0.4375,0.7448,0.9553,0.17358373081449818,0.4923005671919505
20,200,0.4223,0.7398,0.9537,0.15824647707627118,0.484773305303749
21,210,0.3571,0.7613,0.9572,0.1302963037379886,0.48226641275885446
22,220,0.3273,0.7554,0.9588,0.11903684060544363,0.5111075174146519
23,230,0.3207,0.7466,0.9566,0.1336154529267493,0.5206089603753763
24,240,0.2894,0.7512,0.9569,0.09072830681284964,0.5165228128049497
25,250,0.2734,0.7539,0.9569,0.11023716987109294,0.5282062025666009
26,260,0.2203,0.7642,0.959,0.07436806019621404,0.5134722089976856
27,270,0.2167,0.7591,0.9578,0.06964042515866598,0.4879535881334093
28,280,0.1836,0.7672,0.9597,0.06528485639871486,0.48991326520947415
29,290,0.1843,0.7636,0.9581,0.05408985591751312,0.48622729544142257
30,300,0.1398,0.7686,0.9601,0.06586059858502476,0.5044018308189161
31,310,0.1479,0.7619,0.9592,0.06659929199999172,0.48830767291418165
32,320,0.1389,0.7688,0.961,0.06158226403083725,0.4908330877251764
33,330,0.1457,0.7625,0.9595,0.06773469533509038,0.5017167067057898
34,340,0.1302,0.7632,0.9597,0.057538964626475064,0.4786014730036331
35,350,0.1565,0.7605,0.9585,0.06463087792752242,0.498360634336428
