step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.011571979219038044,0.7271301021468297
1,1,110.0293,0.1089,0.5259,0.016942576982737625,0.8133163003189692
2,2,98.4947,0.1334,0.5609,0.016619183285849954,0.8108302863465061
3,3,65.0562,0.154,0.5908,0.00528690315839329,0.676734223331109
4,4,45.8671,0.1844,0.616,0.007227212549182246,0.7094152820857361
5,5,35.6148,0.2222,0.6549,0.5518364761167791,0.7036765199643914
6,6,28.0888,0.2401,0.6705,0.5071277769679469,0.6749779339484734
7,7,21.13,0.2595,0.6917,0.47223106959423833,0.6387519204465293
8,8,24.8037,0.2826,0.7072,0.4479750476023692,0.6370668313251605
9,9,22.4402,0.2894,0.7103,0.4141807417423151,0.6241569614506978
10,10,19.2936,0.3102,0.7283,0.38687355336478235,0.6102607775773451
11,11,19.4394,0.3118,0.7311,0.3701815803463888,0.5814740315713284
12,12,16.0288,0.3275,0.7399,0.3267500401038696,0.5578375352552526
13,13,10.9698,0.3504,0.7567,0.2942298564459055,0.531060192436611
14,14,10.0344,0.3659,0.7666,0.27471251849809525,0.5220583465019887
15,15,10.1192,0.3732,0.7832,0.21738333861828482,0.4797516914471336
16,16,7.9532,0.3915,0.7988,0.21261663413288842,0.4780809960081609
17,17,7.367,0.4008,0.809,0.20271558748901494,0.46860267520076926
18,18,6.9219,0.4173,0.819,0.179509186421361,0.460770504652836
19,19,5.501,0.4242,0.8232,0.15510012911089754,0.4366463269223388
20,20,4.8567,0.442,0.8282,0.14402271974512412,0.4351104997653496
21,21,4.538,0.4588,0.8381,0.14546288396384163,0.4451949297006774
22,22,4.4025,0.4591,0.8365,0.13897875270993573,0.4389312744972378
23,23,4.2188,0.4621,0.8369,0.13884918330679286,0.4446373264692601
24,24,4.3555,0.4846,0.8474,0.12794916835295778,0.45774535073956985
25,25,3.4152,0.4914,0.85,0.1304062859303866,0.45843378026305953
26,26,3.7542,0.4981,0.8533,0.12285285745153192,0.4741211932401693
27,27,3.4457,0.5007,0.8553,0.10395314137449116,0.4665463237489342
28,28,3.168,0.5084,0.8597,0.10389877677713454,0.4717946529986188
29,29,2.9418,0.5116,0.863,0.09361857289587311,0.47399534162474777
30,30,2.9416,0.5162,0.8666,0.09312632871410936,0.5176272625109378
31,31,2.4093,0.5224,0.8709,0.08026071844587546,0.5036804628434607
32,32,2.3224,0.5326,0.8788,0.08269428594523798,0.5144299563286151
33,33,2.3123,0.539,0.8787,0.06047187057976638,0.5062100801034595
34,34,1.9588,0.5441,0.883,0.06563297808628757,0.5059934790029775
35,35,2.0028,0.5421,0.8824,0.06339551683782027,0.5096290594735797
36,36,1.8069,0.5326,0.8807,0.031276325530644924,0.504510988631175
37,37,1.8166,0.5512,0.8874,0.06001823709402974,0.5180092361267977
38,38,2.0052,0.542,0.8849,0.06742427735545303,0.5416295595002097
39,39,1.8911,0.5513,0.8861,0.0703074867321143,0.556957294577583
40,40,1.9119,0.5652,0.8911,0.07116789762693522,0.5575818641994388
41,41,1.793,0.555,0.888,0.0656819794391225,0.5298820116803536
