step_idx,round,train_loss,test_acc,test_auc,asr,attack_auc
0,0,2.4215,0.1065,0.5006,0.00018518518518518518,0.6977495596508634
1,10,5.225,0.3268,0.7117,0.6295384131229714,0.8301022471027862
2,20,2.9491,0.449,0.8156,0.767944936086529,0.8274429959155987
3,30,1.7781,0.5242,0.8719,0.024359502902023947,0.7716623418442203
4,40,1.314,0.5697,0.9008,0.6337984967676016,0.7818962154518662
5,50,1.2661,0.5954,0.9093,0.04675837274728579,0.7088437932495786
6,60,1.164,0.6217,0.9159,0.5232008278163981,0.6963534064481767
7,70,1.0181,0.6392,0.9203,0.4675265218838136,0.6719736001124824
8,80,0.8453,0.6548,0.9326,0.4378863049976763,0.666446089309397
9,90,0.7768,0.6759,0.9397,0.41494490471305717,0.6353181737619485
10,100,0.7613,0.6838,0.9409,0.10076080066468963,0.5862898392291814
11,110,0.6986,0.7013,0.9451,0.09282830446012066,0.6101511662496061
12,120,0.674,0.707,0.9462,0.08548227935263035,0.5818866431432248
13,130,0.6467,0.7079,0.946,0.04694277272984878,0.5458425120548114
14,140,0.5956,0.7177,0.9495,0.04727389844934713,0.5197345841101713
15,150,0.5537,0.7218,0.9502,0.047631288726005236,0.5065632429087292
16,160,0.5405,0.7233,0.9491,0.04906071115769836,0.5273149539257321
17,170,0.5221,0.7289,0.9521,0.04549449906728963,0.519731474263242
18,180,0.4706,0.7306,0.9519,0.049432726258485694,0.5164047329822853
19,190,0.4656,0.7319,0.9516,0.0316772468376305,0.5003499072558658
20,200,0.3908,0.7488,0.9561,0.03849954739730152,0.49407351438632185
21,210,0.3723,0.7492,0.9549,0.034891607788927886,0.46540016077571855
22,220,0.4774,0.7221,0.9463,0.028353194374264735,0.4613818011136657
23,230,0.3193,0.7534,0.9563,0.03524351417892563,0.4767571910911582
24,240,0.2816,0.7554,0.9577,0.03950097140932946,0.4755479446612816
25,250,0.2662,0.7577,0.9564,0.04063742613163411,0.47457507884195455
26,260,0.2835,0.7518,0.9559,0.04548094363664097,0.4716453315098473
27,270,0.2265,0.7577,0.9572,0.04594617356781595,0.48739515214003276
28,280,0.3852,0.7475,0.9495,0.0467370126754071,0.47891332537403364
29,290,0.2451,0.7534,0.9536,0.042928538536476095,0.4814991901932791
30,300,0.1661,0.7743,0.9601,0.044873721805216746,0.4845767276483046
31,310,0.2047,0.7652,0.9593,0.05138725073467721,0.49654392579145157
32,320,0.1705,0.762,0.9582,0.04365063986616399,0.47005671076194
33,330,0.2667,0.7526,0.9527,0.03659896986869647,0.4494798850665022
34,340,0.1515,0.7632,0.9585,0.020872903263917497,0.415085948129545
35,350,0.2408,0.7559,0.9551,0.020880783118935632,0.4140157719121864
36,360,0.226,0.7467,0.9528,0.0321521316466175,0.43544102965361825
37,370,0.2781,0.7516,0.9503,0.03551502414183137,0.44420946872699274
38,380,0.1401,0.7625,0.958,0.031312766503518503,0.4497201801759273
39,390,0.0914,0.7762,0.962,0.027663120500723462,0.4346653054948753
40,400,0.1722,0.7648,0.9585,0.02161314470734872,0.42858601866861973
41,410,0.3196,0.7494,0.95,0.020908878324085053,0.44642676820951205
42,420,0.2363,0.7706,0.9582,0.02436192045783517,0.44534129350309004
43,430,0.1425,0.771,0.9593,0.02858239483174084,0.4773553752708582
44,440,0.1648,0.7548,0.9576,0.028542014081809588,0.4832507516775707
45,450,0.1942,0.7617,0.9593,0.016303026126095133,0.44465230563660574
46,460,0.1397,0.769,0.9608,0.01461038678093829,0.4304403027511887
47,470,0.1343,0.7724,0.9601,0.014388716636378389,0.44275638214226165
48,480,0.1093,0.7736,0.9616,0.019979508613875922,0.45773692288868006
49,490,0.1798,0.7633,0.957,0.02524289297442975,0.4689402270308286
50,500,0.2468,0.7487,0.9544,0.018887998662037067,0.46852012936555254
51,510,0.337,0.736,0.9507,0.02411252481865711,0.4814852601969733
52,520,0.2786,0.7547,0.957,0.01760439044461417,0.4598847625599071
53,530,0.3944,0.7568,0.9562,0.022985787786475316,0.4631978187146854
54,540,0.3656,0.7453,0.9552,0.02328601065991849,0.4699716656373703
55,550,0.1479,0.7559,0.9578,0.021558113296588553,0.4727635044790998
56,560,0.1476,0.76,0.9586,0.024982341325917264,0.5098624857134286
57,570,0.2203,0.7543,0.955,0.018705691749936595,0.4722194642408388
58,580,0.219,0.7516,0.9561,0.015026906448048718,0.4464515287769032
59,590,0.1458,0.7591,0.9578,0.01646037062267592,0.4708726561838765
60,600,0.1745,0.749,0.9553,0.010731718459757823,0.4547675064244509
61,,,,,0.015032084996365032,0.471220282552879
62,,,,,0.0282286656171049,0.5054067998102357
63,,,,,0.022516178151120454,0.49356439501423155
64,,,,,0.034506450785531266,0.5019362932232518
65,,,,,0.016363126480213024,0.4831849735880033
66,,,,,0.0237073482768857,0.5060990941525181
67,,,,,0.01571136809090288,0.48193666900918486
68,,,,,0.020235035249256222,0.4948536727961784
69,,,,,0.029911489802378382,0.5268005054249552
70,,,,,0.029069109785874972,0.5066083215047387
71,,,,,0.021416767438804774,0.4973826880497835
72,,,,,0.01751675433852179,0.4878759880883392
73,,,,,0.020247685548169792,0.48799663329343057
74,,,,,0.021060715940133184,0.5076954946237949
75,,,,,0.02071413192057655,0.504063184941153
76,,,,,0.019811750096552748,0.5140336316240263
77,,,,,0.02610550022216415,0.5270393822051448
78,,,,,0.021760394975939852,0.5116691081074376
79,,,,,0.020356008120224006,0.5094240531367102
80,,,,,0.0219613608530342,0.5098217191266552
81,,,,,0.027573397734708068,0.5396076160826366
82,,,,,0.02788273503399211,0.5424727147844096
83,,,,,0.02622905114235941,0.5284541622823155
84,,,,,0.03046351655452236,0.5260894226529251
85,,,,,0.034237216322230334,0.5333204970519019
86,,,,,0.029351366731097228,0.5412089191612586
87,,,,,0.02352893109207813,0.5204619814848004
88,,,,,0.023714337476146256,0.5034733907425157
89,,,,,0.01766468721430091,0.5086165849335201
90,,,,,0.024760926699534953,0.5262565493040947
91,,,,,0.022540734563574822,0.5164354261786543
92,,,,,0.014828837684053594,0.48819904448337936
93,,,,,0.016326711695451808,0.4938391993338601
94,,,,,0.01329290216437525,0.4804606266636694
95,,,,,0.014560732911858078,0.5025367557819874
96,,,,,0.0166398747103531,0.5341040868345038
97,,,,,0.01896812702360616,0.5347649586756857
98,,,,,0.01286409173046841,0.5165692524330772
99,,,,,0.023437286883199977,0.5344342665716335
100,,,,,0.017224692869714862,0.517407513005549
101,,,,,0.021079381557665512,0.5566322196153892
102,,,,,0.023824794623241462,0.5745674743658459
103,,,,,0.01748784350313574,0.5550120770398765
104,,,,,0.019759126216556663,0.5568863491540976
105,,,,,0.03286917953335073,0.5952005945633141
106,,,,,0.03407494613491612,0.6126555580180474
107,,,,,0.025120175567055897,0.5821846867407134
108,,,,,0.022444078670366734,0.5659299673784545
109,,,,,0.021380540209490793,0.5704396907996313
110,,,,,0.017311931678351104,0.565872414667569
111,,,,,0.018434840017711576,0.5617278799678915
112,,,,,0.021530191215209684,0.5697576487316963
113,,,,,0.0312517730088581,0.5865877751824881
114,,,,,0.029759016926023656,0.5582335848058767
115,,,,,0.025990042227072845,0.5680246582126071
116,,,,,0.03161620453882708,0.5613286551166893
117,,,,,0.03355648424916505,0.5664113356668413
118,,,,,0.031283088375676206,0.5715115273554323
119,,,,,0.02095636523965215,0.5361500993355536
120,,,,,0.02754986301110956,0.5779367269803216
121,,,,,0.023019356270117978,0.5744662986304292
122,,,,,0.026021134774826794,0.5678037538319444
123,,,,,0.03374900943428943,0.5834766375149355
124,,,,,0.04648926565228483,0.6214857299910584
